60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:20:59.0 (158593)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:20:59.0 (192664)|EXECUTION_STARTED
16:20:59.0 (205955)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:20:59.0 (663725)|HEAP_ALLOCATE|[95]|Bytes:3
16:20:59.0 (749717)|HEAP_ALLOCATE|[100]|Bytes:152
16:20:59.0 (769778)|HEAP_ALLOCATE|[417]|Bytes:408
16:20:59.0 (790888)|HEAP_ALLOCATE|[430]|Bytes:408
16:20:59.0 (818239)|HEAP_ALLOCATE|[317]|Bytes:6
16:20:59.0 (843270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:20:59.0 (848640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:20:59.0 (852010)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:20:59.0 (860410)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:20:59.0 (865800)|STATEMENT_EXECUTE|[1]
16:20:59.0 (871800)|STATEMENT_EXECUTE|[1]
16:20:59.0 (917801)|HEAP_ALLOCATE|[68]|Bytes:5
16:20:59.0 (946152)|HEAP_ALLOCATE|[74]|Bytes:5
16:20:59.0 (955822)|HEAP_ALLOCATE|[82]|Bytes:7
16:20:59.0 (965402)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:20:59.0 (975893)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:20:59.0 (980863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:59.0 (990013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:20:59.0 (995663)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:20:59.0 (999033)|STATEMENT_EXECUTE|[15]
16:20:59.0 (1005233)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:20:59.0 (1009753)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:20:59.0 (1040104)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:59.0 (1045734)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:20:59.0 (1110376)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xedac742"}|0x110fe3d2
16:20:59.0 (1116606)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:20:59.0 (1253019)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:20:59.0 (1258519)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:20:59.0 (1510415)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000006ZScXAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000006ZScXAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005ypOFAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005ypOFAAY"},"CreatedDate":"2025-09-29T05:57:17.000Z","Id":"801e2000007wHpIAAU","RMD_ECC_Order_ID__c":"6691206513"}]|0x1da2a97d
16:20:59.0 (1528816)|HEAP_ALLOCATE|[17]|Bytes:5
16:20:59.0 (1533966)|STATEMENT_EXECUTE|[16]
16:20:59.0 (1536526)|STATEMENT_EXECUTE|[17]
16:20:59.0 (1539986)|HEAP_ALLOCATE|[17]|Bytes:18
16:20:59.0 (1593037)|HEAP_ALLOCATE|[17]|Bytes:1
16:20:59.0 (1608968)|HEAP_ALLOCATE|[17]|Bytes:19
16:20:59.0 (1633218)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:20:59.0 (1643028)|STATEMENT_EXECUTE|[18]
16:20:59.0 (1659039)|HEAP_ALLOCATE|[18]|Bytes:4
16:20:59.0 (1712490)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:20:59.0 (1753951)|HEAP_ALLOCATE|[19]|Bytes:5
16:20:59.0 (1798412)|HEAP_ALLOCATE|[19]|Bytes:40
16:20:59.0 (1812322)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:20:59.0 (1964706)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t000006ZScXAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000006ZScXAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005ypOFAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005ypOFAAY"},"CreatedDate":"2025-09-29T05:57:17.000Z","Id":"801e2000007wHpIAAU","RMD_ECC_Order_ID__c":"6691206513"}|0x5b9794a5
16:20:59.0 (1975646)|STATEMENT_EXECUTE|[19]
16:20:59.0 (1978246)|STATEMENT_EXECUTE|[20]
16:20:59.0 (2008047)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:20:59.0 (2027347)|HEAP_ALLOCATE|[19]|Bytes:5
16:20:59.0 (2042158)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:20:59.0 (2047878)|STATEMENT_EXECUTE|[23]
16:20:59.0 (2051248)|HEAP_ALLOCATE|[23]|Bytes:13
16:20:59.0 (2076519)|HEAP_ALLOCATE|[23]|Bytes:1
16:20:59.0 (2092179)|HEAP_ALLOCATE|[23]|Bytes:14
16:20:59.0 (2106889)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:20:59.0 (2117289)|STATEMENT_EXECUTE|[24]
16:20:59.0 (2136820)|HEAP_ALLOCATE|[24]|Bytes:20
16:20:59.0 (2152250)|HEAP_ALLOCATE|[24]|Bytes:33
16:20:59.0 (2164291)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007wHpIAAU}
16:20:59.0 (2184321)|STATEMENT_EXECUTE|[25]
16:20:59.0 (2187081)|STATEMENT_EXECUTE|[26]
16:20:59.0 (2201261)|HEAP_ALLOCATE|[26]|Bytes:122
16:20:59.0 (2207162)|HEAP_ALLOCATE|[26]|Bytes:24
16:20:59.0 (2211322)|HEAP_ALLOCATE|[26]|Bytes:187
16:20:59.0 (2220862)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:20:59.0 (2225962)|STATEMENT_EXECUTE|[1]
16:20:59.0 (2229992)|STATEMENT_EXECUTE|[1]
16:20:59.0 (2236912)|HEAP_ALLOCATE|[26]|Bytes:5
16:20:59.0 (2241822)|STATEMENT_EXECUTE|[998]
16:20:59.0 (2244672)|STATEMENT_EXECUTE|[1015]
16:20:59.0 (2247433)|STATEMENT_EXECUTE|[1036]
16:20:59.0 (2255343)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:20:59.0 (2264593)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:20:59.0 (2270933)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:20:59.0 (2285093)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007wHpIAAU"]|0x75d2f3a9
16:20:59.0 (2295184)|HEAP_ALLOCATE|[59]|Bytes:5
16:20:59.0 (2300764)|STATEMENT_EXECUTE|[57]
16:20:59.0 (2303324)|STATEMENT_EXECUTE|[59]
16:20:59.0 (2307324)|HEAP_ALLOCATE|[59]|Bytes:27
16:20:59.0 (2343315)|HEAP_ALLOCATE|[59]|Bytes:96
16:20:59.0 (2349955)|HEAP_ALLOCATE|[59]|Bytes:69
16:20:59.0 (2415907)|HEAP_ALLOCATE|[59]|Bytes:33
16:20:59.0 (2424897)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:20:59.0 (2429157)|STATEMENT_EXECUTE|[1]
16:20:59.0 (2436437)|SYSTEM_METHOD_EXIT|[1]|Type
16:20:59.0 (2442757)|HEAP_ALLOCATE|[59]|Bytes:8
16:20:59.0 (2457557)|HEAP_ALLOCATE|[59]|Bytes:8
16:20:59.0 (2462668)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:20:59.0 (2483758)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x40d5e13a
16:20:59.0 (2489918)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:20:59.0 (2563580)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:20:59.0 (4570637)|HEAP_ALLOCATE|[59]|Bytes:8
16:20:59.0 (4604768)|HEAP_ALLOCATE|[59]|Bytes:24
16:20:59.0 (4616058)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:20:59.0 (4623429)|STATEMENT_EXECUTE|[1]
16:20:59.0 (4630069)|SYSTEM_METHOD_EXIT|[1]|JSON
16:20:59.0 (4642619)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:20:59.0 (5103740)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:20:59.0 (5119580)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:20:59.0 (5160431)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x2ff37bae
16:20:59.0 (5167551)|HEAP_ALLOCATE|[60]|Bytes:9
16:20:59.0 (5195432)|STATEMENT_EXECUTE|[60]
16:20:59.0 (5198132)|STATEMENT_EXECUTE|[67]
16:20:59.0 (5200152)|STATEMENT_EXECUTE|[67]
16:20:59.0 (5202292)|STATEMENT_EXECUTE|[68]
16:20:59.0 (5243903)|HEAP_ALLOCATE|[68]|Bytes:4
16:20:59.0 (5286704)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:20:59.0 (5304825)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x40c0935b
16:20:59.0 (5311595)|STATEMENT_EXECUTE|[70]
16:20:59.0 (5327195)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:20:59.0 (5334455)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:20:59.0 (5338835)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:20:59.0 (5344106)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:20:59.0 (5348716)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:20:59.0 (5353296)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:20:59.0 (5364746)|HEAP_ALLOCATE|[70]|Bytes:150
16:20:59.0 (5370076)|HEAP_ALLOCATE|[70]|Bytes:51
16:20:59.0 (5373756)|HEAP_ALLOCATE|[70]|Bytes:13
16:20:59.0 (5391067)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:20:59.0 (5395857)|HEAP_ALLOCATE|[70]|Bytes:7
16:20:59.0 (5403127)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:20:59.0 (5442808)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:20:59.0 (5447868)|STATEMENT_EXECUTE|[6]
16:20:59.0 (5451228)|STATEMENT_EXECUTE|[6]
16:20:59.0 (6039232)|SYSTEM_MODE_ENTER|false
16:20:59.0 (6049372)|HEAP_ALLOCATE|[7]|Bytes:5
16:20:59.0 (6055192)|STATEMENT_EXECUTE|[7]
16:20:59.0 (6059282)|HEAP_ALLOCATE|[7]|Bytes:12
16:20:59.0 (6092313)|HEAP_ALLOCATE|[7]|Bytes:68
16:20:59.0 (6113824)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:20:59.0 (6118894)|STATEMENT_EXECUTE|[9]
16:20:59.0 (6123914)|HEAP_ALLOCATE|[9]|Bytes:5
16:20:59.0 (6132244)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:20:59.0 (6136174)|STATEMENT_EXECUTE|[12]
16:20:59.0 (6147624)|HEAP_ALLOCATE|[12]|Bytes:53
16:20:59.0 (6154805)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:20:59.0 (6159145)|STATEMENT_EXECUTE|[1]
16:20:59.0 (6162375)|STATEMENT_EXECUTE|[1]
16:20:59.0 (6167785)|METHOD_EXIT|[1]|RMDSelectorUser
16:20:59.0 (6176505)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:20:59.0 (6182315)|STATEMENT_EXECUTE|[124]
16:20:59.0 (6184705)|STATEMENT_EXECUTE|[125]
16:20:59.0 (6187695)|HEAP_ALLOCATE|[125]|Bytes:99
16:20:59.0 (6202536)|HEAP_ALLOCATE|[125]|Bytes:4
16:20:59.0 (6732448)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:20:59.0 (13472207)|SOQL_EXECUTE_END|[125]|Rows:1
16:20:59.0 (13506427)|HEAP_ALLOCATE|[125]|Bytes:8
16:20:59.0 (13527758)|HEAP_ALLOCATE|[125]|Bytes:60
16:20:59.0 (13579909)|HEAP_ALLOCATE|[125]|Bytes:8
16:20:59.0 (13605650)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:20:59.0 (13713572)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x21df0d48
16:20:59.0 (13725493)|SYSTEM_MODE_EXIT|false
16:20:59.0 (13740723)|METHOD_EXIT|[6]|RMDCommonHelper
16:20:59.0 (13753133)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:20:59.0 (13767254)|SYSTEM_MODE_ENTER|false
16:20:59.0 (13775834)|HEAP_ALLOCATE|[446]|Bytes:5
16:20:59.0 (13780914)|STATEMENT_EXECUTE|[445]
16:20:59.0 (13783334)|STATEMENT_EXECUTE|[446]
16:20:59.0 (13807595)|HEAP_ALLOCATE|[446]|Bytes:16
16:20:59.0 (13816025)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:20:59.0 (13820075)|STATEMENT_EXECUTE|[1]
16:20:59.0 (13824485)|STATEMENT_EXECUTE|[1]
16:20:59.0 (13828485)|METHOD_EXIT|[1]|RMDSelectorCommon
16:20:59.0 (13835045)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:20:59.0 (13840505)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:20:59.0 (13851886)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:20:59.0 (13856716)|STATEMENT_EXECUTE|[3]
16:20:59.0 (13858926)|STATEMENT_EXECUTE|[4]
16:20:59.0 (13873876)|HEAP_ALLOCATE|[4]|Bytes:4
16:20:59.0 (13895857)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:20:59.0 (13904137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:20:59.0 (13912117)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x298162a9
16:20:59.0 (13916387)|STATEMENT_EXECUTE|[5]
16:20:59.0 (13920337)|HEAP_ALLOCATE|[5]|Bytes:42
16:20:59.0 (13934117)|HEAP_ALLOCATE|[5]|Bytes:4
16:20:59.0 (14112222)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:20:59.0 (16429726)|SOQL_EXECUTE_END|[5]|Rows:1
16:20:59.0 (16462327)|HEAP_ALLOCATE|[5]|Bytes:8
16:20:59.0 (16479777)|HEAP_ALLOCATE|[5]|Bytes:46
16:20:59.0 (16527378)|HEAP_ALLOCATE|[5]|Bytes:8
16:20:59.0 (16611550)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x49b0f4ad
16:20:59.0 (16618171)|STATEMENT_EXECUTE|[7]
16:20:59.0 (16628981)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:20:59.0 (16638091)|VARIABLE_SCOPE_BEGIN|[446]|listOfOrg|List<Organization>|true|false
16:20:59.0 (16671722)|VARIABLE_ASSIGNMENT|[446]|listOfOrg|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x49b0f4ad
16:20:59.0 (16679362)|STATEMENT_EXECUTE|[450]
16:20:59.0 (16685812)|VARIABLE_SCOPE_BEGIN|[450]|IsSandbox|Boolean|false|false
16:20:59.0 (16698312)|HEAP_ALLOCATE|[450]|Bytes:5
16:20:59.0 (16709943)|VARIABLE_ASSIGNMENT|[450]|IsSandbox|false
16:20:59.0 (16745433)|STATEMENT_EXECUTE|[451]
16:20:59.0 (16747954)|STATEMENT_EXECUTE|[452]
16:20:59.0 (16774914)|HEAP_ALLOCATE|[452]|Bytes:12
16:20:59.0 (16799005)|VARIABLE_ASSIGNMENT|[452]|IsSandbox|false
16:20:59.0 (16803495)|STATEMENT_EXECUTE|[454]
16:20:59.0 (16810525)|SYSTEM_MODE_EXIT|false
16:20:59.0 (16823295)|METHOD_EXIT|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:20:59.0 (16829735)|VARIABLE_SCOPE_BEGIN|[70]|IsSandbox|Boolean|false|false
16:20:59.0 (16836716)|VARIABLE_ASSIGNMENT|[70]|IsSandbox|false
16:20:59.0 (16841636)|STATEMENT_EXECUTE|[74]
16:20:59.0 (16843986)|STATEMENT_EXECUTE|[75]
16:20:59.0 (16848836)|HEAP_ALLOCATE|[75]|Bytes:9
16:20:59.0 (16853806)|HEAP_ALLOCATE|[75]|Bytes:10
16:20:59.0 (16857326)|HEAP_ALLOCATE|[75]|Bytes:9
16:20:59.0 (16871466)|METHOD_ENTRY|[75]|01p7F00000VLtZg|RMDCommonHelper.getIntegrationConfig(String, String, String)
16:20:59.0 (16877087)|VARIABLE_SCOPE_BEGIN|[461]|vendor|String|false|false
16:20:59.0 (16886197)|VARIABLE_ASSIGNMENT|[461]|vendor|"SFDCTOSAP"
16:20:59.0 (16907697)|VARIABLE_SCOPE_BEGIN|[461]|instance|String|false|false
16:20:59.0 (16917728)|VARIABLE_ASSIGNMENT|[461]|instance|"PRODUCTION"
16:20:59.0 (16921108)|VARIABLE_SCOPE_BEGIN|[461]|requestType|String|false|false
16:20:59.0 (16927428)|VARIABLE_ASSIGNMENT|[461]|requestType|"ORDERSYNC"
16:20:59.0 (16937708)|SYSTEM_MODE_ENTER|false
16:20:59.0 (16943178)|HEAP_ALLOCATE|[462]|Bytes:5
16:20:59.0 (16947148)|STATEMENT_EXECUTE|[461]
16:20:59.0 (16949238)|STATEMENT_EXECUTE|[462]
16:20:59.0 (16952528)|HEAP_ALLOCATE|[462]|Bytes:1
16:20:59.0 (16966299)|HEAP_ALLOCATE|[462]|Bytes:30
16:20:59.0 (16973379)|VARIABLE_SCOPE_BEGIN|[462]|configName|String|false|false
16:20:59.0 (16982679)|VARIABLE_ASSIGNMENT|[462]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:20:59.0 (16986599)|STATEMENT_EXECUTE|[463]
16:20:59.0 (16993689)|METHOD_ENTRY|[463]|01p7F00000VLtaw|RMDSelectorCommon.getIntegrationConfig(String)
16:20:59.0 (16998699)|VARIABLE_SCOPE_BEGIN|[10]|configName|String|false|false
16:20:59.0 (17005780)|VARIABLE_ASSIGNMENT|[10]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:20:59.0 (17010850)|STATEMENT_EXECUTE|[10]
16:20:59.0 (17012930)|STATEMENT_EXECUTE|[11]
16:20:59.0 (17029500)|HEAP_ALLOCATE|[11]|Bytes:4
16:20:59.0 (17049631)|VARIABLE_SCOPE_BEGIN|[11]|listConfig|List<RMD_Integration_Config__c>|true|false
16:20:59.0 (17056461)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:20:59.0 (17065641)|VARIABLE_ASSIGNMENT|[11]|listConfig|[]|0x690fabce
16:20:59.0 (17070151)|STATEMENT_EXECUTE|[12]
16:20:59.0 (17074321)|HEAP_ALLOCATE|[12]|Bytes:141
16:20:59.0 (17086732)|HEAP_ALLOCATE|[12]|Bytes:4
16:20:59.0 (17094952)|HEAP_ALLOCATE|[12]|Bytes:7
