60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:42.0 (166324)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:42.0 (224805)|EXECUTION_STARTED
16:21:42.0 (238765)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:42.0 (743036)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:42.0 (836019)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:42.0 (856839)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:42.0 (875500)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:42.0 (908991)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:42.0 (937182)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:42.0 (943641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:42.0 (948571)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:42.0 (959272)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:42.0 (966561)|STATEMENT_EXECUTE|[1]
16:21:42.0 (974172)|STATEMENT_EXECUTE|[1]
16:21:42.0 (1006113)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:42.0 (1035944)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:42.0 (1044973)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:42.0 (1056435)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:42.0 (1067875)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:42.0 (1073004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:42.0 (1081625)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:21:42.0 (1087345)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:21:42.0 (1090785)|STATEMENT_EXECUTE|[15]
16:21:42.0 (1097985)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:21:42.0 (1101586)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:21:42.0 (1136226)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:42.0 (1141797)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:21:42.0 (1218068)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1ef094ed"}|0x110fe3d2
16:21:42.0 (1225618)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:21:42.0 (1410982)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:21:42.0 (1420222)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:21:42.0 (1660298)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000BSmZhAAL","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000BSmZhAAL","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005ywz8AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005ywz8AAA"},"CreatedDate":"2025-09-29T06:01:06.000Z","Id":"801e2000007wOXPAA2","RMD_ECC_Order_ID__c":"6691206599"}]|0x37f5685e
16:21:42.0 (1683618)|HEAP_ALLOCATE|[17]|Bytes:5
