60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:25.0 (192944)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:23:25.0 (226334)|EXECUTION_STARTED
16:23:25.0 (243926)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:23:25.0 (663395)|HEAP_ALLOCATE|[95]|Bytes:3
16:23:25.0 (748037)|HEAP_ALLOCATE|[100]|Bytes:152
16:23:25.0 (772107)|HEAP_ALLOCATE|[417]|Bytes:408
16:23:25.0 (794609)|HEAP_ALLOCATE|[430]|Bytes:408
16:23:25.0 (827269)|HEAP_ALLOCATE|[317]|Bytes:6
16:23:25.0 (854730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:23:25.0 (860519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:23:25.0 (863750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:25.0 (871861)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:23:25.0 (878221)|STATEMENT_EXECUTE|[1]
16:23:25.0 (884320)|STATEMENT_EXECUTE|[1]
16:23:25.0 (914492)|HEAP_ALLOCATE|[68]|Bytes:5
16:23:25.0 (944841)|HEAP_ALLOCATE|[74]|Bytes:5
16:23:25.0 (953912)|HEAP_ALLOCATE|[82]|Bytes:7
16:23:25.0 (964592)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:23:25.0 (976253)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:23:25.0 (981562)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:25.0 (990814)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:23:25.0 (996934)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:23:25.0 (1000824)|STATEMENT_EXECUTE|[15]
16:23:25.0 (1008704)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:23:25.0 (1012883)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:23:25.0 (1043564)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:25.0 (1049425)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:23:25.0 (1125667)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x39bb4c43"}|0x427f84f1
16:23:25.0 (1134657)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:23:25.0 (1250519)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:23:25.0 (1257740)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:23:25.0 (1547176)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000002QGKCIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QGKCIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061UqHAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061UqHAAU"},"CreatedDate":"2025-09-29T12:55:26.000Z","Id":"801e2000007yrgcAAA","RMD_ECC_Order_ID__c":"6691211439"}]|0x62ddbc37
16:23:25.0 (1567766)|HEAP_ALLOCATE|[17]|Bytes:5
16:23:25.0 (1573317)|STATEMENT_EXECUTE|[16]
16:23:25.0 (1576077)|STATEMENT_EXECUTE|[17]
16:23:25.0 (1579566)|HEAP_ALLOCATE|[17]|Bytes:18
16:23:25.0 (1633589)|HEAP_ALLOCATE|[17]|Bytes:1
16:23:25.0 (1649778)|HEAP_ALLOCATE|[17]|Bytes:19
16:23:25.0 (1673369)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:23:25.0 (1682739)|STATEMENT_EXECUTE|[18]
16:23:25.0 (1694550)|HEAP_ALLOCATE|[18]|Bytes:4
16:23:25.0 (1739460)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:23:25.0 (1776141)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:25.0 (1818092)|HEAP_ALLOCATE|[19]|Bytes:40
16:23:25.0 (1830182)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:23:25.0 (1948686)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie000002QGKCIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QGKCIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061UqHAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061UqHAAU"},"CreatedDate":"2025-09-29T12:55:26.000Z","Id":"801e2000007yrgcAAA","RMD_ECC_Order_ID__c":"6691211439"}|0x4659726e
16:23:25.0 (1957655)|STATEMENT_EXECUTE|[19]
16:23:25.0 (1959855)|STATEMENT_EXECUTE|[20]
16:23:25.0 (1985386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:23:25.0 (2001176)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:25.0 (2015638)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:23:25.0 (2020417)|STATEMENT_EXECUTE|[23]
16:23:25.0 (2023558)|HEAP_ALLOCATE|[23]|Bytes:13
16:23:25.0 (2044897)|HEAP_ALLOCATE|[23]|Bytes:1
16:23:25.0 (2056898)|HEAP_ALLOCATE|[23]|Bytes:14
16:23:25.0 (2066468)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:23:25.0 (2075049)|STATEMENT_EXECUTE|[24]
16:23:25.0 (2090018)|HEAP_ALLOCATE|[24]|Bytes:20
16:23:25.0 (2100629)|HEAP_ALLOCATE|[24]|Bytes:33
16:23:25.0 (2109930)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007yrgcAAA}
16:23:25.0 (2127210)|STATEMENT_EXECUTE|[25]
16:23:25.0 (2129549)|STATEMENT_EXECUTE|[26]
16:23:25.0 (2140110)|HEAP_ALLOCATE|[26]|Bytes:122
16:23:25.0 (2144910)|HEAP_ALLOCATE|[26]|Bytes:24
16:23:25.0 (2148211)|HEAP_ALLOCATE|[26]|Bytes:187
16:23:25.0 (2156251)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:23:25.0 (2162251)|STATEMENT_EXECUTE|[1]
16:23:25.0 (2166851)|STATEMENT_EXECUTE|[1]
16:23:25.0 (2173390)|HEAP_ALLOCATE|[26]|Bytes:5
16:23:25.0 (2179162)|STATEMENT_EXECUTE|[998]
16:23:25.0 (2182031)|STATEMENT_EXECUTE|[1015]
16:23:25.0 (2184871)|STATEMENT_EXECUTE|[1036]
16:23:25.0 (2192821)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
