60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:31.0 (146773)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:15:31.0 (177753)|EXECUTION_STARTED
16:15:31.0 (191564)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:15:31.0 (1365081)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:31.0 (1446843)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:31.0 (1465132)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:31.0 (1480093)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:31.0 (1506333)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:31.0 (1529264)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:31.0 (1534014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:15:31.0 (1537195)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:31.0 (1547555)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:15:31.0 (1552865)|STATEMENT_EXECUTE|[1]
16:15:31.0 (1557476)|STATEMENT_EXECUTE|[1]
16:15:31.0 (1584655)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:31.0 (1611986)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:31.0 (1621887)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:31.0 (1632106)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:31.0 (1644387)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:15:31.0 (1650038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:31.0 (1658227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:31.0 (1664208)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:31.0 (1667568)|STATEMENT_EXECUTE|[15]
16:15:31.0 (1673417)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:31.0 (1677198)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:31.0 (1710938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:31.0 (1716439)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:15:31.0 (1779990)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7aa220ef"}|0x7c4f7bc8
16:15:31.0 (1785171)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:15:31.0 (1941993)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7fa9afcd
16:15:31.0 (1949375)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:15:31.0 (2216470)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bidc3QAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bidc3QAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mRxXAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mRxXAAU"},"CreatedDate":"2025-09-26T05:47:22.000Z","Id":"801e2000007jBL6AAM","RMD_ECC_Order_ID__c":"6691193759"}]|0x9ec60be
