60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:41:22.0 (161364)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:41:22.0 (192335)|EXECUTION_STARTED
16:41:22.0 (208215)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:41:22.0 (1685559)|HEAP_ALLOCATE|[95]|Bytes:3
16:41:22.0 (1776961)|HEAP_ALLOCATE|[100]|Bytes:152
16:41:22.0 (1813012)|HEAP_ALLOCATE|[417]|Bytes:408
16:41:22.0 (1835442)|HEAP_ALLOCATE|[430]|Bytes:408
16:41:22.0 (1868344)|HEAP_ALLOCATE|[317]|Bytes:6
16:41:22.0 (1894604)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:41:22.0 (1900555)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:41:22.0 (1904004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:41:22.0 (1913774)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:41:22.0 (1919774)|STATEMENT_EXECUTE|[1]
16:41:22.0 (1925764)|STATEMENT_EXECUTE|[1]
16:41:22.0 (1958575)|HEAP_ALLOCATE|[68]|Bytes:5
16:41:22.0 (1989037)|HEAP_ALLOCATE|[74]|Bytes:5
16:41:22.0 (2000357)|HEAP_ALLOCATE|[82]|Bytes:7
16:41:22.0 (2014136)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:41:22.0 (2027478)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:41:22.0 (2032927)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:22.0 (2041398)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:41:22.0 (2048167)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:41:22.0 (2051828)|STATEMENT_EXECUTE|[15]
16:41:22.0 (2058807)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:41:22.0 (2062908)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:41:22.0 (2092439)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:22.0 (2098829)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:41:22.0 (2161591)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2ee89a30"}|0x68cc3718
16:41:22.0 (2167551)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:41:22.0 (2310244)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x262bb53a
16:41:22.0 (2317703)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:41:22.0 (2573370)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjF93QAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjF93QAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075TgUAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075TgUAAU"},"CreatedDate":"2025-10-14T07:07:31.000Z","Id":"801e20000098JJmAAM","RMD_ECC_Order_ID__c":"6691270087"}]|0x72913aa4
16:41:22.0 (2595980)|HEAP_ALLOCATE|[17]|Bytes:5
16:41:22.0 (2601220)|STATEMENT_EXECUTE|[16]
16:41:22.0 (2603550)|STATEMENT_EXECUTE|[17]
16:41:22.0 (2621470)|HEAP_ALLOCATE|[17]|Bytes:18
16:41:22.0 (2678382)|HEAP_ALLOCATE|[17]|Bytes:1
16:41:22.0 (2697512)|HEAP_ALLOCATE|[17]|Bytes:19
16:41:22.0 (2721433)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:41:22.0 (2731143)|STATEMENT_EXECUTE|[18]
16:41:22.0 (2746033)|HEAP_ALLOCATE|[18]|Bytes:4
16:41:22.0 (2791485)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x68cc3718
16:41:22.0 (2827155)|HEAP_ALLOCATE|[19]|Bytes:5
16:41:22.0 (2867327)|HEAP_ALLOCATE|[19]|Bytes:40
16:41:22.0 (2880516)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:41:22.0 (3000879)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bjF93QAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjF93QAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075TgUAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075TgUAAU"},"CreatedDate":"2025-10-14T07:07:31.000Z","Id":"801e20000098JJmAAM","RMD_ECC_Order_ID__c":"6691270087"}|0x680572e6
16:41:22.0 (3012239)|STATEMENT_EXECUTE|[19]
16:41:22.0 (3014580)|STATEMENT_EXECUTE|[20]
16:41:22.0 (3038341)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:41:22.0 (3056760)|HEAP_ALLOCATE|[19]|Bytes:5
16:41:22.0 (3071311)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:41:22.0 (3076782)|STATEMENT_EXECUTE|[23]
16:41:22.0 (3079761)|HEAP_ALLOCATE|[23]|Bytes:13
16:41:22.0 (3101422)|HEAP_ALLOCATE|[23]|Bytes:1
16:41:22.0 (3113522)|HEAP_ALLOCATE|[23]|Bytes:14
16:41:22.0 (3123463)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:41:22.0 (3130792)|STATEMENT_EXECUTE|[24]
16:41:22.0 (3145792)|HEAP_ALLOCATE|[24]|Bytes:20
16:41:22.0 (3157784)|HEAP_ALLOCATE|[24]|Bytes:33
16:41:22.0 (3167214)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098JJmAAM}
16:41:22.0 (3186043)|STATEMENT_EXECUTE|[25]
16:41:22.0 (3188113)|STATEMENT_EXECUTE|[26]
16:41:22.0 (3199175)|HEAP_ALLOCATE|[26]|Bytes:122
16:41:22.0 (3203954)|HEAP_ALLOCATE|[26]|Bytes:24
16:41:22.0 (3207175)|HEAP_ALLOCATE|[26]|Bytes:187
16:41:22.0 (3215724)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:41:22.0 (3220375)|STATEMENT_EXECUTE|[1]
16:41:22.0 (3224524)|STATEMENT_EXECUTE|[1]
16:41:22.0 (3230705)|HEAP_ALLOCATE|[26]|Bytes:5
16:41:22.0 (3234905)|STATEMENT_EXECUTE|[998]
16:41:22.0 (3237044)|STATEMENT_EXECUTE|[1015]
16:41:22.0 (3239456)|STATEMENT_EXECUTE|[1036]
16:41:22.0 (3245995)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:41:22.0 (3253656)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:41:22.0 (3259936)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:41:22.0 (3270805)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000098JJmAAM"]|0x6f11412
16:41:22.0 (3280355)|HEAP_ALLOCATE|[59]|Bytes:5
16:41:22.0 (3285316)|STATEMENT_EXECUTE|[57]
16:41:22.0 (3287497)|STATEMENT_EXECUTE|[59]
16:41:22.0 (3291587)|HEAP_ALLOCATE|[59]|Bytes:27
16:41:22.0 (3327037)|HEAP_ALLOCATE|[59]|Bytes:96
16:41:22.0 (3333397)|HEAP_ALLOCATE|[59]|Bytes:69
16:41:22.0 (3392518)|HEAP_ALLOCATE|[59]|Bytes:33
16:41:22.0 (3401299)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:41:22.0 (3404579)|STATEMENT_EXECUTE|[1]
16:41:22.0 (3411619)|SYSTEM_METHOD_EXIT|[1]|Type
16:41:22.0 (3417639)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:22.0 (3431430)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:22.0 (3436479)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:41:22.0 (3453839)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x365437ae
16:41:22.0 (3459471)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:41:22.0 (3510331)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6be33015
16:41:22.0 (6967861)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:22.0 (7095594)|HEAP_ALLOCATE|[59]|Bytes:24
16:41:22.0 (7113785)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:41:22.0 (7121625)|STATEMENT_EXECUTE|[1]
16:41:22.0 (7132875)|SYSTEM_METHOD_EXIT|[1]|JSON
16:41:22.0 (7148915)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:41:22.0 (7691088)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:41:22.0 (7706937)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:41:22.0 (7752938)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x7b5a2af6
16:41:22.0 (7764909)|HEAP_ALLOCATE|[60]|Bytes:9
16:41:22.0 (7805180)|STATEMENT_EXECUTE|[60]
16:41:22.0 (7809340)|STATEMENT_EXECUTE|[67]
16:41:22.0 (7812590)|STATEMENT_EXECUTE|[67]
16:41:22.0 (7815761)|STATEMENT_EXECUTE|[68]
16:41:22.0 (7869532)|HEAP_ALLOCATE|[68]|Bytes:4
16:41:22.0 (7919323)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:41:22.0 (7941134)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x6d2253b8
16:41:22.0 (7949903)|STATEMENT_EXECUTE|[70]
16:41:22.0 (7968583)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:41:22.0 (7980165)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:41:22.0 (7989045)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:41:22.0 (7998565)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:41:22.0 (8008045)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:41:22.0 (8018154)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:41:22.0 (8034915)|HEAP_ALLOCATE|[70]|Bytes:150
16:41:22.0 (8043726)|HEAP_ALLOCATE|[70]|Bytes:51
