60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:01.0 (277786)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:37:01.0 (328738)|EXECUTION_STARTED
17:37:01.0 (341798)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:37:01.0 (1681180)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:01.0 (1823364)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:01.0 (1849164)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:01.0 (1872495)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:01.0 (1910936)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:01.0 (1943687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:01.0 (1951217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:37:01.0 (1955867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:01.0 (1988888)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:37:01.0 (1998968)|STATEMENT_EXECUTE|[1]
17:37:01.0 (2006488)|STATEMENT_EXECUTE|[1]
17:37:01.0 (2046959)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:01.0 (2075880)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:01.0 (2085060)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:01.0 (2096850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:01.0 (2131091)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:37:01.0 (2138721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:01.0 (2148031)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:01.0 (2155952)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:01.0 (2159502)|STATEMENT_EXECUTE|[15]
17:37:01.0 (2170142)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:01.0 (2174592)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:01.0 (2217733)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:01.0 (2224373)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:37:01.0 (2300225)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5545e408"}|0xbef81e1
17:37:01.0 (2305825)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:37:01.0 (2472249)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:37:01.0 (2478709)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:37:01.0 (2773927)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"001Ie00000953SIIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000953SIIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003efwIIAQ","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003efwIIAQ"},"CreatedDate":"2025-06-07T17:32:09.000Z","Coupon_Type__c":"P","Id":"801Ie000001K9YEIA0","RMD_ECC_Order_ID__c":"6690558499"}]|0xeb97e44
17:37:01.0 (2803357)|HEAP_ALLOCATE|[17]|Bytes:5
17:37:01.0 (2811157)|STATEMENT_EXECUTE|[16]
17:37:01.0 (2814498)|STATEMENT_EXECUTE|[17]
17:37:01.0 (2818728)|HEAP_ALLOCATE|[17]|Bytes:18
17:37:01.0 (2891699)|HEAP_ALLOCATE|[17]|Bytes:1
17:37:01.0 (2915650)|HEAP_ALLOCATE|[17]|Bytes:19
17:37:01.0 (2947841)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:37:01.0 (2961591)|STATEMENT_EXECUTE|[18]
17:37:01.0 (2981892)|HEAP_ALLOCATE|[18]|Bytes:4
17:37:01.0 (3042933)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:37:01.0 (3092984)|HEAP_ALLOCATE|[19]|Bytes:5
17:37:01.0 (3146476)|HEAP_ALLOCATE|[19]|Bytes:44
17:37:01.0 (3160986)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:37:01.0 (3358721)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"001Ie00000953SIIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000953SIIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003efwIIAQ","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003efwIIAQ"},"CreatedDate":"2025-06-07T17:32:09.000Z","Coupon_Type__c":"P","Id":"801Ie000001K9YEIA0","RMD_ECC_Order_ID__c":"6690558499"}|0x3b413abb
17:37:01.0 (3372031)|STATEMENT_EXECUTE|[19]
17:37:01.0 (3375631)|STATEMENT_EXECUTE|[20]
17:37:01.0 (3413052)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:37:01.0 (3441443)|HEAP_ALLOCATE|[19]|Bytes:5
17:37:01.0 (3459473)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:37:01.0 (3466863)|STATEMENT_EXECUTE|[23]
17:37:01.0 (3470763)|HEAP_ALLOCATE|[23]|Bytes:13
17:37:01.0 (3543795)|HEAP_ALLOCATE|[23]|Bytes:1
17:37:01.0 (3562986)|HEAP_ALLOCATE|[23]|Bytes:14
17:37:01.0 (3580826)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:37:01.0 (3593066)|STATEMENT_EXECUTE|[24]
17:37:01.0 (3614407)|HEAP_ALLOCATE|[24]|Bytes:20
17:37:01.0 (3628627)|HEAP_ALLOCATE|[24]|Bytes:33
17:37:01.0 (3640587)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001K9YEIA0}
17:37:01.0 (3661388)|STATEMENT_EXECUTE|[25]
17:37:01.0 (3663568)|STATEMENT_EXECUTE|[26]
17:37:01.0 (3677808)|HEAP_ALLOCATE|[26]|Bytes:122
17:37:01.0 (3683028)|HEAP_ALLOCATE|[26]|Bytes:24
17:37:01.0 (3686369)|HEAP_ALLOCATE|[26]|Bytes:187
17:37:01.0 (3695509)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:37:01.0 (3699539)|STATEMENT_EXECUTE|[1]
17:37:01.0 (3703359)|STATEMENT_EXECUTE|[1]
17:37:01.0 (3712249)|HEAP_ALLOCATE|[26]|Bytes:5
17:37:01.0 (3716339)|STATEMENT_EXECUTE|[998]
17:37:01.0 (3718929)|STATEMENT_EXECUTE|[1015]
17:37:01.0 (3721629)|STATEMENT_EXECUTE|[1036]
17:37:01.0 (3739010)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:37:01.0 (3749180)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:37:01.0 (3755920)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:37:01.0 (3773471)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001K9YEIA0"]|0x203d87b7
17:37:01.0 (3783621)|HEAP_ALLOCATE|[59]|Bytes:5
17:37:01.0 (3789131)|STATEMENT_EXECUTE|[57]
17:37:01.0 (3791311)|STATEMENT_EXECUTE|[59]
17:37:01.0 (3794921)|HEAP_ALLOCATE|[59]|Bytes:27
17:37:01.0 (3832032)|HEAP_ALLOCATE|[59]|Bytes:96
17:37:01.0 (3838512)|HEAP_ALLOCATE|[59]|Bytes:69
17:37:01.0 (3903674)|HEAP_ALLOCATE|[59]|Bytes:33
17:37:01.0 (3913624)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:37:01.0 (3916824)|STATEMENT_EXECUTE|[1]
17:37:01.0 (3927504)|SYSTEM_METHOD_EXIT|[1]|Type
17:37:01.0 (3934395)|HEAP_ALLOCATE|[59]|Bytes:8
17:37:01.0 (3948265)|HEAP_ALLOCATE|[59]|Bytes:8
17:37:01.0 (3952855)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:37:01.0 (3973045)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6bfe9dc4
17:37:01.0 (3978196)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:37:01.0 (4051857)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:37:01.0 (7364938)|HEAP_ALLOCATE|[59]|Bytes:8
17:37:01.0 (7441759)|HEAP_ALLOCATE|[59]|Bytes:24
17:37:01.0 (7457020)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:37:01.0 (7464730)|STATEMENT_EXECUTE|[1]
17:37:01.0 (7525721)|SYSTEM_METHOD_EXIT|[1]|JSON
17:37:01.0 (7546002)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:37:01.0 (8069865)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:37:01.0 (8083465)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:37:01.0 (8130576)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x1594c251
