60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:25:15.0 (188275)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:25:15.0 (231815)|EXECUTION_STARTED
16:25:15.0 (249655)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:25:15.0 (723167)|HEAP_ALLOCATE|[95]|Bytes:3
16:25:15.0 (823239)|HEAP_ALLOCATE|[100]|Bytes:152
16:25:15.0 (846880)|HEAP_ALLOCATE|[417]|Bytes:408
16:25:15.0 (867841)|HEAP_ALLOCATE|[430]|Bytes:408
16:25:15.0 (905281)|HEAP_ALLOCATE|[317]|Bytes:6
16:25:15.0 (932351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:25:15.0 (938462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:25:15.0 (942162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:25:15.0 (951991)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:25:15.0 (956903)|STATEMENT_EXECUTE|[1]
16:25:15.0 (963023)|STATEMENT_EXECUTE|[1]
16:25:15.0 (992773)|HEAP_ALLOCATE|[68]|Bytes:5
16:25:15.0 (1022574)|HEAP_ALLOCATE|[74]|Bytes:5
16:25:15.0 (1032833)|HEAP_ALLOCATE|[82]|Bytes:7
16:25:15.0 (1044394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:25:15.0 (1055855)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:25:15.0 (1061215)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:15.0 (1069794)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:25:15.0 (1075265)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:25:15.0 (1078674)|STATEMENT_EXECUTE|[15]
16:25:15.0 (1085406)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:25:15.0 (1089536)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:25:15.0 (1123647)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:15.0 (1130396)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:25:15.0 (1200938)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3af824a7"}|0x427f84f1
16:25:15.0 (1207277)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:25:15.0 (1353862)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:25:15.0 (1359552)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:25:15.0 (1647859)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"001Ie000002RQesIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RQesIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000069Jb4AAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000069Jb4AAE"},"CreatedDate":"2025-10-01T05:41:05.000Z","Coupon_Type__c":"P","Id":"801e20000087RIDAA2","RMD_ECC_Order_ID__c":"6691215691"}]|0x32577c6e
16:25:15.0 (1676860)|HEAP_ALLOCATE|[17]|Bytes:5
16:25:15.0 (1684160)|STATEMENT_EXECUTE|[16]
16:25:15.0 (1687009)|STATEMENT_EXECUTE|[17]
16:25:15.0 (1691070)|HEAP_ALLOCATE|[17]|Bytes:18
16:25:15.0 (1757481)|HEAP_ALLOCATE|[17]|Bytes:1
16:25:15.0 (1778342)|HEAP_ALLOCATE|[17]|Bytes:19
16:25:15.0 (1808612)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:25:15.0 (1821172)|STATEMENT_EXECUTE|[18]
16:25:15.0 (1838363)|HEAP_ALLOCATE|[18]|Bytes:4
16:25:15.0 (1897214)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:25:15.0 (1944026)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:15.0 (1991637)|HEAP_ALLOCATE|[19]|Bytes:44
16:25:15.0 (2006727)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:25:15.0 (2249453)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"001Ie000002RQesIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RQesIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000069Jb4AAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000069Jb4AAE"},"CreatedDate":"2025-10-01T05:41:05.000Z","Coupon_Type__c":"P","Id":"801e20000087RIDAA2","RMD_ECC_Order_ID__c":"6691215691"}|0x63348852
16:25:15.0 (2264113)|STATEMENT_EXECUTE|[19]
16:25:15.0 (2267363)|STATEMENT_EXECUTE|[20]
16:25:15.0 (2332125)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:25:15.0 (2357845)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:15.0 (2376366)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:25:15.0 (2383425)|STATEMENT_EXECUTE|[23]
16:25:15.0 (2387416)|HEAP_ALLOCATE|[23]|Bytes:13
16:25:15.0 (2420137)|HEAP_ALLOCATE|[23]|Bytes:1
16:25:15.0 (2436777)|HEAP_ALLOCATE|[23]|Bytes:14
16:25:15.0 (2450178)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:25:15.0 (2458458)|STATEMENT_EXECUTE|[24]
16:25:15.0 (2474778)|HEAP_ALLOCATE|[24]|Bytes:20
16:25:15.0 (2485488)|HEAP_ALLOCATE|[24]|Bytes:33
16:25:15.0 (2493908)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000087RIDAA2}
16:25:15.0 (2512559)|STATEMENT_EXECUTE|[25]
16:25:15.0 (2514979)|STATEMENT_EXECUTE|[26]
16:25:15.0 (2527489)|HEAP_ALLOCATE|[26]|Bytes:122
16:25:15.0 (2533300)|HEAP_ALLOCATE|[26]|Bytes:24
16:25:15.0 (2536520)|HEAP_ALLOCATE|[26]|Bytes:187
16:25:15.0 (2544720)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:25:15.0 (2549069)|STATEMENT_EXECUTE|[1]
16:25:15.0 (2552770)|STATEMENT_EXECUTE|[1]
16:25:15.0 (2559970)|HEAP_ALLOCATE|[26]|Bytes:5
16:25:15.0 (2564490)|STATEMENT_EXECUTE|[998]
16:25:15.0 (2566810)|STATEMENT_EXECUTE|[1015]
16:25:15.0 (2569040)|STATEMENT_EXECUTE|[1036]
16:25:15.0 (2577341)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:25:15.0 (2585501)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:25:15.0 (2664272)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:25:15.0 (2678763)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000087RIDAA2"]|0x2d4a50b5
16:25:15.0 (2687952)|HEAP_ALLOCATE|[59]|Bytes:5
16:25:15.0 (2694093)|STATEMENT_EXECUTE|[57]
16:25:15.0 (2696243)|STATEMENT_EXECUTE|[59]
16:25:15.0 (2699784)|HEAP_ALLOCATE|[59]|Bytes:27
16:25:15.0 (2734444)|HEAP_ALLOCATE|[59]|Bytes:96
16:25:15.0 (2741175)|HEAP_ALLOCATE|[59]|Bytes:69
16:25:15.0 (2802715)|HEAP_ALLOCATE|[59]|Bytes:33
16:25:15.0 (2811115)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:25:15.0 (2814576)|STATEMENT_EXECUTE|[1]
16:25:15.0 (2820555)|SYSTEM_METHOD_EXIT|[1]|Type
16:25:15.0 (2827017)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:15.0 (2841467)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:15.0 (2846007)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:25:15.0 (2866457)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6de06893
16:25:15.0 (2872388)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:25:15.0 (2925859)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:25:15.0 (5088620)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:15.0 (5121910)|HEAP_ALLOCATE|[59]|Bytes:24
16:25:15.0 (5132781)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:25:15.0 (5137401)|STATEMENT_EXECUTE|[1]
16:25:15.0 (5143191)|SYSTEM_METHOD_EXIT|[1]|JSON
16:25:15.0 (5155951)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:25:15.0 (5519280)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:25:15.0 (5530560)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:25:15.0 (5566331)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x55613972
16:25:15.0 (5573771)|HEAP_ALLOCATE|[60]|Bytes:9
16:25:15.0 (5600541)|STATEMENT_EXECUTE|[60]
16:25:15.0 (5602972)|STATEMENT_EXECUTE|[67]
16:25:15.0 (5605021)|STATEMENT_EXECUTE|[67]
16:25:15.0 (5607522)|STATEMENT_EXECUTE|[68]
16:25:15.0 (5642523)|HEAP_ALLOCATE|[68]|Bytes:4
16:25:15.0 (5676853)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:25:15.0 (5695284)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x5f5581a8
16:25:15.0 (5700234)|STATEMENT_EXECUTE|[70]
16:25:15.0 (5711623)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:25:15.0 (5716774)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:25:15.0 (5721294)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:25:15.0 (5726535)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:25:15.0 (5731125)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:25:15.0 (5735915)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:25:15.0 (5744784)|HEAP_ALLOCATE|[70]|Bytes:150
16:25:15.0 (5749635)|HEAP_ALLOCATE|[70]|Bytes:51
16:25:15.0 (5753365)|HEAP_ALLOCATE|[70]|Bytes:13
16:25:15.0 (5770516)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:25:15.0 (5776116)|HEAP_ALLOCATE|[70]|Bytes:7
16:25:15.0 (5783846)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:25:15.0 (5808757)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:25:15.0 (5813397)|STATEMENT_EXECUTE|[6]
16:25:15.0 (5817037)|STATEMENT_EXECUTE|[6]
16:25:15.0 (6560734)|SYSTEM_MODE_ENTER|false
16:25:15.0 (6573344)|HEAP_ALLOCATE|[7]|Bytes:5
16:25:15.0 (6580145)|STATEMENT_EXECUTE|[7]
16:25:15.0 (6585155)|HEAP_ALLOCATE|[7]|Bytes:12
16:25:15.0 (6620386)|HEAP_ALLOCATE|[7]|Bytes:68
16:25:15.0 (6642796)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:25:15.0 (6647346)|STATEMENT_EXECUTE|[9]
16:25:15.0 (6652456)|HEAP_ALLOCATE|[9]|Bytes:5
16:25:15.0 (6661177)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:25:15.0 (6664917)|STATEMENT_EXECUTE|[12]
16:25:15.0 (6677206)|HEAP_ALLOCATE|[12]|Bytes:53
16:25:15.0 (6686097)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:25:15.0 (6690317)|STATEMENT_EXECUTE|[1]
16:25:15.0 (6693457)|STATEMENT_EXECUTE|[1]
16:25:15.0 (6697846)|METHOD_EXIT|[1]|RMDSelectorUser
16:25:15.0 (6705998)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:25:15.0 (6712718)|STATEMENT_EXECUTE|[124]
16:25:15.0 (6715047)|STATEMENT_EXECUTE|[125]
16:25:15.0 (6718108)|HEAP_ALLOCATE|[125]|Bytes:99
16:25:15.0 (6732878)|HEAP_ALLOCATE|[125]|Bytes:4
16:25:15.0 (7208469)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:25:15.0 (12441701)|SOQL_EXECUTE_END|[125]|Rows:1
16:25:15.0 (12470742)|HEAP_ALLOCATE|[125]|Bytes:8
16:25:15.0 (12492393)|HEAP_ALLOCATE|[125]|Bytes:60
16:25:15.0 (12540085)|HEAP_ALLOCATE|[125]|Bytes:8
16:25:15.0 (12563155)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:25:15.0 (12671568)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x1570dbce
16:25:15.0 (12684218)|SYSTEM_MODE_EXIT|false
16:25:15.0 (12698898)|METHOD_EXIT|[6]|RMDCommonHelper
16:25:15.0 (12708548)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:25:15.0 (12721948)|SYSTEM_MODE_ENTER|false
16:25:15.0 (12736359)|HEAP_ALLOCATE|[446]|Bytes:5
16:25:15.0 (12741188)|STATEMENT_EXECUTE|[445]
16:25:15.0 (12743748)|STATEMENT_EXECUTE|[446]
16:25:15.0 (12759349)|HEAP_ALLOCATE|[446]|Bytes:16
16:25:15.0 (12767540)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:25:15.0 (12771570)|STATEMENT_EXECUTE|[1]
16:25:15.0 (12775160)|STATEMENT_EXECUTE|[1]
16:25:15.0 (12778780)|METHOD_EXIT|[1]|RMDSelectorCommon
16:25:15.0 (12786109)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:25:15.0 (12793470)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:25:15.0 (12802681)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:25:15.0 (12807891)|STATEMENT_EXECUTE|[3]
16:25:15.0 (12810121)|STATEMENT_EXECUTE|[4]
16:25:15.0 (12824110)|HEAP_ALLOCATE|[4]|Bytes:4
16:25:15.0 (12846871)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
