60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:37.0 (225496)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:37.0 (269677)|EXECUTION_STARTED
17:07:37.0 (286437)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:37.0 (1623440)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:37.0 (1741972)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:37.0 (1765233)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:37.0 (1789554)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:37.0 (1829094)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:37.0 (1858885)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:37.0 (1865475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:37.0 (1870785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:37.0 (1882256)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:37.0 (1890196)|STATEMENT_EXECUTE|[1]
17:07:37.0 (1898406)|STATEMENT_EXECUTE|[1]
17:07:37.0 (1931567)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:37.0 (1959058)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:37.0 (1969338)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:37.0 (1981258)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:37.0 (1996279)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:37.0 (2003169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:37.0 (2014899)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:37.0 (2022659)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:37.0 (2027419)|STATEMENT_EXECUTE|[15]
17:07:37.0 (2035559)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:37.0 (2040780)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:37.0 (2083581)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:37.0 (2091591)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:37.0 (2167963)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x37ce2efc"}|0x726104f7
17:07:37.0 (2176223)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:37.0 (2356237)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:07:37.0 (2366277)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:07:37.0 (2989872)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002R3TFIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3TFIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H1BmIAK","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H1BmIAK"},"CreatedDate":"2025-01-11T10:41:32.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrC8IAK","RMD_ECC_Order_ID__c":"Akhil1622"}]|0xd51a1dc
17:07:37.0 (3023353)|HEAP_ALLOCATE|[17]|Bytes:5
17:07:37.0 (3031573)|STATEMENT_EXECUTE|[16]
17:07:37.0 (3034794)|STATEMENT_EXECUTE|[17]
17:07:37.0 (3039934)|HEAP_ALLOCATE|[17]|Bytes:18
17:07:37.0 (3109635)|HEAP_ALLOCATE|[17]|Bytes:1
17:07:37.0 (3132596)|HEAP_ALLOCATE|[17]|Bytes:19
17:07:37.0 (3163357)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:07:37.0 (3176237)|STATEMENT_EXECUTE|[18]
17:07:37.0 (3233378)|HEAP_ALLOCATE|[18]|Bytes:4
17:07:37.0 (3307210)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:07:37.0 (3353711)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:37.0 (3404382)|HEAP_ALLOCATE|[19]|Bytes:44
17:07:37.0 (3419483)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:07:37.0 (3655868)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002R3TFIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3TFIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H1BmIAK","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H1BmIAK"},"CreatedDate":"2025-01-11T10:41:32.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrC8IAK","RMD_ECC_Order_ID__c":"Akhil1622"}|0x34fa17c1
17:07:37.0 (3672139)|STATEMENT_EXECUTE|[19]
17:07:37.0 (3675259)|STATEMENT_EXECUTE|[20]
17:07:37.0 (3709390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:07:37.0 (3735850)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:37.0 (3754751)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:07:37.0 (3762511)|STATEMENT_EXECUTE|[23]
17:07:37.0 (3766521)|HEAP_ALLOCATE|[23]|Bytes:13
17:07:37.0 (3801652)|HEAP_ALLOCATE|[23]|Bytes:1
17:07:37.0 (3819272)|HEAP_ALLOCATE|[23]|Bytes:14
17:07:37.0 (3835973)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:07:37.0 (3848223)|STATEMENT_EXECUTE|[24]
17:07:37.0 (3868904)|HEAP_ALLOCATE|[24]|Bytes:20
17:07:37.0 (3883384)|HEAP_ALLOCATE|[24]|Bytes:33
17:07:37.0 (3894464)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HrC8IAK}
17:07:37.0 (3915195)|STATEMENT_EXECUTE|[25]
17:07:37.0 (3918095)|STATEMENT_EXECUTE|[26]
17:07:37.0 (3932515)|HEAP_ALLOCATE|[26]|Bytes:122
17:07:37.0 (3939475)|HEAP_ALLOCATE|[26]|Bytes:24
17:07:37.0 (3944335)|HEAP_ALLOCATE|[26]|Bytes:187
17:07:37.0 (3954886)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:07:37.0 (3960396)|STATEMENT_EXECUTE|[1]
17:07:37.0 (3964946)|STATEMENT_EXECUTE|[1]
17:07:37.0 (3972926)|HEAP_ALLOCATE|[26]|Bytes:5
17:07:37.0 (3978846)|STATEMENT_EXECUTE|[998]
17:07:37.0 (3981866)|STATEMENT_EXECUTE|[1015]
17:07:37.0 (3984956)|STATEMENT_EXECUTE|[1036]
17:07:37.0 (4022107)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:07:37.0 (4034347)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:07:37.0 (4042728)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:07:37.0 (4061358)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001HrC8IAK"]|0x2363aea8
17:07:37.0 (4074308)|HEAP_ALLOCATE|[59]|Bytes:5
17:07:37.0 (4080649)|STATEMENT_EXECUTE|[57]
17:07:37.0 (4094739)|STATEMENT_EXECUTE|[59]
17:07:37.0 (4100059)|HEAP_ALLOCATE|[59]|Bytes:27
17:07:37.0 (4143270)|HEAP_ALLOCATE|[59]|Bytes:96
17:07:37.0 (4153390)|HEAP_ALLOCATE|[59]|Bytes:69
