60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:17:27.0 (208565)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:17:27.0 (248375)|EXECUTION_STARTED
16:17:27.0 (261546)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:17:27.0 (777908)|HEAP_ALLOCATE|[95]|Bytes:3
16:17:27.0 (869332)|HEAP_ALLOCATE|[100]|Bytes:152
16:17:27.0 (887972)|HEAP_ALLOCATE|[417]|Bytes:408
16:17:27.0 (904142)|HEAP_ALLOCATE|[430]|Bytes:408
16:17:27.0 (930613)|HEAP_ALLOCATE|[317]|Bytes:6
16:17:27.0 (957404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:17:27.0 (962654)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:17:27.0 (965913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:17:27.0 (975873)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:17:27.0 (998514)|STATEMENT_EXECUTE|[1]
16:17:27.0 (1004975)|STATEMENT_EXECUTE|[1]
16:17:27.0 (1036376)|HEAP_ALLOCATE|[68]|Bytes:5
16:17:27.0 (1063075)|HEAP_ALLOCATE|[74]|Bytes:5
16:17:27.0 (1072577)|HEAP_ALLOCATE|[82]|Bytes:7
16:17:27.0 (1083497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:17:27.0 (1096697)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:17:27.0 (1102427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:27.0 (1111928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:17:27.0 (1117818)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:17:27.0 (1121148)|STATEMENT_EXECUTE|[15]
16:17:27.0 (1127778)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:17:27.0 (1131957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:17:27.0 (1173278)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:27.0 (1179518)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:17:27.0 (1259171)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2bb18012"}|0x7175f86f
16:17:27.0 (1265461)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:17:27.0 (1425575)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:17:27.0 (1432076)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:17:27.0 (1735033)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000AH5HuAAL","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000AH5HuAAL","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005miGqAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005miGqAAI"},"CreatedDate":"2025-09-26T06:46:11.000Z","Id":"801e2000007jQGvAAM","RMD_ECC_Order_ID__c":"6691195411"}]|0x27ccc3d7
16:17:27.0 (1759434)|HEAP_ALLOCATE|[17]|Bytes:5
16:17:27.0 (1764954)|STATEMENT_EXECUTE|[16]
16:17:27.0 (1767364)|STATEMENT_EXECUTE|[17]
16:17:27.0 (1770394)|HEAP_ALLOCATE|[17]|Bytes:18
16:17:27.0 (1826525)|HEAP_ALLOCATE|[17]|Bytes:1
16:17:27.0 (1844215)|HEAP_ALLOCATE|[17]|Bytes:19
16:17:27.0 (1871367)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:17:27.0 (1881227)|STATEMENT_EXECUTE|[18]
16:17:27.0 (1897757)|HEAP_ALLOCATE|[18]|Bytes:4
16:17:27.0 (1945558)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:17:27.0 (1981658)|HEAP_ALLOCATE|[19]|Bytes:5
16:17:27.0 (2025730)|HEAP_ALLOCATE|[19]|Bytes:40
16:17:27.0 (2042491)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:17:27.0 (2187184)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t00000AH5HuAAL","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000AH5HuAAL","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005miGqAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005miGqAAI"},"CreatedDate":"2025-09-26T06:46:11.000Z","Id":"801e2000007jQGvAAM","RMD_ECC_Order_ID__c":"6691195411"}|0x411c166b
16:17:27.0 (2197835)|STATEMENT_EXECUTE|[19]
16:17:27.0 (2200384)|STATEMENT_EXECUTE|[20]
16:17:27.0 (2226716)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:17:27.0 (2246086)|HEAP_ALLOCATE|[19]|Bytes:5
16:17:27.0 (2260396)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:17:27.0 (2265566)|STATEMENT_EXECUTE|[23]
16:17:27.0 (2268466)|HEAP_ALLOCATE|[23]|Bytes:13
16:17:27.0 (2292717)|HEAP_ALLOCATE|[23]|Bytes:1
16:17:27.0 (2304837)|HEAP_ALLOCATE|[23]|Bytes:14
16:17:27.0 (2315787)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:17:27.0 (2323818)|STATEMENT_EXECUTE|[24]
16:17:27.0 (2339907)|HEAP_ALLOCATE|[24]|Bytes:20
16:17:27.0 (2351259)|HEAP_ALLOCATE|[24]|Bytes:33
16:17:27.0 (2359609)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jQGvAAM}
16:17:27.0 (2377369)|STATEMENT_EXECUTE|[25]
16:17:27.0 (2379479)|STATEMENT_EXECUTE|[26]
16:17:27.0 (2391730)|HEAP_ALLOCATE|[26]|Bytes:122
16:17:27.0 (2397020)|HEAP_ALLOCATE|[26]|Bytes:24
16:17:27.0 (2400420)|HEAP_ALLOCATE|[26]|Bytes:187
16:17:27.0 (2408109)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:17:27.0 (2412589)|STATEMENT_EXECUTE|[1]
16:17:27.0 (2417629)|STATEMENT_EXECUTE|[1]
16:17:27.0 (2422789)|HEAP_ALLOCATE|[26]|Bytes:5
16:17:27.0 (2427251)|STATEMENT_EXECUTE|[998]
16:17:27.0 (2429670)|STATEMENT_EXECUTE|[1015]
16:17:27.0 (2431961)|STATEMENT_EXECUTE|[1036]
16:17:27.0 (2440310)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:17:27.0 (2448411)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:17:27.0 (2454161)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:17:27.0 (2467462)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jQGvAAM"]|0x11a4cf33
16:17:27.0 (2475702)|HEAP_ALLOCATE|[59]|Bytes:5
16:17:27.0 (2480742)|STATEMENT_EXECUTE|[57]
16:17:27.0 (2483162)|STATEMENT_EXECUTE|[59]
16:17:27.0 (2487151)|HEAP_ALLOCATE|[59]|Bytes:27
16:17:27.0 (2531552)|HEAP_ALLOCATE|[59]|Bytes:96
16:17:27.0 (2540893)|HEAP_ALLOCATE|[59]|Bytes:69
16:17:27.0 (2610674)|HEAP_ALLOCATE|[59]|Bytes:33
16:17:27.0 (2620354)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:17:27.0 (2623685)|STATEMENT_EXECUTE|[1]
16:17:27.0 (2630046)|SYSTEM_METHOD_EXIT|[1]|Type
16:17:27.0 (2636715)|HEAP_ALLOCATE|[59]|Bytes:8
16:17:27.0 (2649755)|HEAP_ALLOCATE|[59]|Bytes:8
16:17:27.0 (2654346)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:17:27.0 (2675337)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1feacd68
16:17:27.0 (2680247)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:17:27.0 (2747019)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x22b7ce30
16:17:27.0 (3959059)|HEAP_ALLOCATE|[59]|Bytes:8
16:17:27.0 (3978849)|HEAP_ALLOCATE|[59]|Bytes:24
16:17:27.0 (3986600)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:17:27.0 (3990000)|STATEMENT_EXECUTE|[1]
16:17:27.0 (3994749)|SYSTEM_METHOD_EXIT|[1]|JSON
16:17:27.0 (4004480)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:17:27.0 (4324997)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:17:27.0 (4336957)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:17:27.0 (4367518)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x98eb208
16:17:27.0 (4382139)|HEAP_ALLOCATE|[60]|Bytes:9
16:17:27.0 (4405039)|STATEMENT_EXECUTE|[60]
16:17:27.0 (4407670)|STATEMENT_EXECUTE|[67]
16:17:27.0 (4409679)|STATEMENT_EXECUTE|[67]
16:17:27.0 (4411730)|STATEMENT_EXECUTE|[68]
16:17:27.0 (4444951)|HEAP_ALLOCATE|[68]|Bytes:4
