60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:59.0 (183874)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:59.0 (219485)|EXECUTION_STARTED
17:07:59.0 (235315)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:59.0 (1500666)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:59.0 (1590209)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:59.0 (1608939)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:59.0 (1624119)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:59.0 (1648549)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:59.0 (1673051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:59.0 (1679080)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:59.0 (1682331)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:59.0 (1692212)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:59.0 (1698532)|STATEMENT_EXECUTE|[1]
17:07:59.0 (1704161)|STATEMENT_EXECUTE|[1]
17:07:59.0 (1737293)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:59.0 (1762493)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:59.0 (1771762)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:59.0 (1781463)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:59.0 (1795233)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:59.0 (1800043)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:59.0 (1808054)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:59.0 (1814243)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:59.0 (1817624)|STATEMENT_EXECUTE|[15]
17:07:59.0 (1824204)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:59.0 (1829634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:59.0 (1859625)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:59.0 (1865725)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:59.0 (1939737)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7c528ee3"}|0x726104f7
17:07:59.0 (1944877)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:59.0 (2164752)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:07:59.0 (2172052)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:07:59.0 (2671344)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002R3QMIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3QMIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H18qIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H18qIAC"},"CreatedDate":"2025-01-11T10:47:40.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrDhIAK","RMD_ECC_Order_ID__c":"Akhil1628"}]|0x7445e0d3
17:07:59.0 (2702485)|HEAP_ALLOCATE|[17]|Bytes:5
17:07:59.0 (2707735)|STATEMENT_EXECUTE|[16]
17:07:59.0 (2710065)|STATEMENT_EXECUTE|[17]
17:07:59.0 (2713525)|HEAP_ALLOCATE|[17]|Bytes:18
17:07:59.0 (2776158)|HEAP_ALLOCATE|[17]|Bytes:1
17:07:59.0 (2795598)|HEAP_ALLOCATE|[17]|Bytes:19
17:07:59.0 (2822488)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:07:59.0 (2832698)|STATEMENT_EXECUTE|[18]
17:07:59.0 (2848248)|HEAP_ALLOCATE|[18]|Bytes:4
17:07:59.0 (2894779)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:07:59.0 (2931090)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:59.0 (2972362)|HEAP_ALLOCATE|[19]|Bytes:44
17:07:59.0 (2986662)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:07:59.0 (3110715)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002R3QMIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3QMIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H18qIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H18qIAC"},"CreatedDate":"2025-01-11T10:47:40.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrDhIAK","RMD_ECC_Order_ID__c":"Akhil1628"}|0x51597ec6
17:07:59.0 (3121286)|STATEMENT_EXECUTE|[19]
17:07:59.0 (3123595)|STATEMENT_EXECUTE|[20]
17:07:59.0 (3151127)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:07:59.0 (3169826)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:59.0 (3182676)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:07:59.0 (3188648)|STATEMENT_EXECUTE|[23]
17:07:59.0 (3191537)|HEAP_ALLOCATE|[23]|Bytes:13
17:07:59.0 (3214737)|HEAP_ALLOCATE|[23]|Bytes:1
17:07:59.0 (3227187)|HEAP_ALLOCATE|[23]|Bytes:14
17:07:59.0 (3237338)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:07:59.0 (3244718)|STATEMENT_EXECUTE|[24]
17:07:59.0 (3260678)|HEAP_ALLOCATE|[24]|Bytes:20
17:07:59.0 (3271559)|HEAP_ALLOCATE|[24]|Bytes:33
17:07:59.0 (3279450)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HrDhIAK}
17:07:59.0 (3297059)|STATEMENT_EXECUTE|[25]
17:07:59.0 (3299239)|STATEMENT_EXECUTE|[26]
17:07:59.0 (3311360)|HEAP_ALLOCATE|[26]|Bytes:122
17:07:59.0 (3316470)|HEAP_ALLOCATE|[26]|Bytes:24
17:07:59.0 (3319710)|HEAP_ALLOCATE|[26]|Bytes:187
17:07:59.0 (3328100)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:07:59.0 (3332651)|STATEMENT_EXECUTE|[1]
17:07:59.0 (3335980)|STATEMENT_EXECUTE|[1]
17:07:59.0 (3341630)|HEAP_ALLOCATE|[26]|Bytes:5
17:07:59.0 (3345860)|STATEMENT_EXECUTE|[998]
17:07:59.0 (3348020)|STATEMENT_EXECUTE|[1015]
17:07:59.0 (3350131)|STATEMENT_EXECUTE|[1036]
17:07:59.0 (3382421)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:07:59.0 (3390252)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
