60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:27:18.0 (156973)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:27:18.0 (224675)|EXECUTION_STARTED
16:27:18.0 (237545)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:27:18.0 (1154219)|HEAP_ALLOCATE|[95]|Bytes:3
16:27:18.0 (1226992)|HEAP_ALLOCATE|[100]|Bytes:152
16:27:18.0 (1243701)|HEAP_ALLOCATE|[417]|Bytes:408
16:27:18.0 (1258372)|HEAP_ALLOCATE|[430]|Bytes:408
16:27:18.0 (1281473)|HEAP_ALLOCATE|[317]|Bytes:6
16:27:18.0 (1303714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:27:18.0 (1309724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:27:18.0 (1312814)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:27:18.0 (1321814)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:27:18.0 (1327974)|STATEMENT_EXECUTE|[1]
16:27:18.0 (1333223)|STATEMENT_EXECUTE|[1]
16:27:18.0 (1361735)|HEAP_ALLOCATE|[68]|Bytes:5
16:27:18.0 (1387206)|HEAP_ALLOCATE|[74]|Bytes:5
16:27:18.0 (1395566)|HEAP_ALLOCATE|[82]|Bytes:7
16:27:18.0 (1406966)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:27:18.0 (1419777)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:27:18.0 (1425107)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:18.0 (1433307)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:27:18.0 (1439727)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:27:18.0 (1443127)|STATEMENT_EXECUTE|[15]
16:27:18.0 (1448967)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:27:18.0 (1452827)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:27:18.0 (1479978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:18.0 (1486288)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:27:18.0 (1548380)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x666635dd"}|0x161dfdae
16:27:18.0 (1554580)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:27:18.0 (1685904)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:27:18.0 (1692204)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:27:18.0 (1946780)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bip8PQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bip8PQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006InlMAAS","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006InlMAAS"},"CreatedDate":"2025-10-03T11:55:23.000Z","Id":"801e2000008J0mBAAS","RMD_ECC_Order_ID__c":"6691221914"}]|0x947fa80
16:27:18.0 (1964881)|HEAP_ALLOCATE|[17]|Bytes:5
16:27:18.0 (1970801)|STATEMENT_EXECUTE|[16]
16:27:18.0 (1973161)|STATEMENT_EXECUTE|[17]
16:27:18.0 (1976361)|HEAP_ALLOCATE|[17]|Bytes:18
16:27:18.0 (2057763)|HEAP_ALLOCATE|[17]|Bytes:1
16:27:18.0 (2075704)|HEAP_ALLOCATE|[17]|Bytes:19
16:27:18.0 (2100014)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:27:18.0 (2108524)|STATEMENT_EXECUTE|[18]
16:27:18.0 (2120335)|HEAP_ALLOCATE|[18]|Bytes:4
16:27:18.0 (2160176)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:27:18.0 (2195207)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:18.0 (2231498)|HEAP_ALLOCATE|[19]|Bytes:40
16:27:18.0 (2243538)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:27:18.0 (2360381)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bip8PQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bip8PQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006InlMAAS","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006InlMAAS"},"CreatedDate":"2025-10-03T11:55:23.000Z","Id":"801e2000008J0mBAAS","RMD_ECC_Order_ID__c":"6691221914"}|0x4e3679c3
16:27:18.0 (2369581)|STATEMENT_EXECUTE|[19]
16:27:18.0 (2371861)|STATEMENT_EXECUTE|[20]
16:27:18.0 (2395272)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:27:18.0 (2410282)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:18.0 (2423453)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:27:18.0 (2428243)|STATEMENT_EXECUTE|[23]
16:27:18.0 (2430883)|HEAP_ALLOCATE|[23]|Bytes:13
16:27:18.0 (2453173)|HEAP_ALLOCATE|[23]|Bytes:1
16:27:18.0 (2464544)|HEAP_ALLOCATE|[23]|Bytes:14
16:27:18.0 (2474434)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:27:18.0 (2481914)|STATEMENT_EXECUTE|[24]
16:27:18.0 (2496895)|HEAP_ALLOCATE|[24]|Bytes:20
16:27:18.0 (2507565)|HEAP_ALLOCATE|[24]|Bytes:33
16:27:18.0 (2515745)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008J0mBAAS}
16:27:18.0 (2534387)|STATEMENT_EXECUTE|[25]
16:27:18.0 (2536387)|STATEMENT_EXECUTE|[26]
16:27:18.0 (2545456)|HEAP_ALLOCATE|[26]|Bytes:122
16:27:18.0 (2549926)|HEAP_ALLOCATE|[26]|Bytes:24
16:27:18.0 (2553176)|HEAP_ALLOCATE|[26]|Bytes:187
16:27:18.0 (2559096)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:27:18.0 (2563476)|STATEMENT_EXECUTE|[1]
16:27:18.0 (2566707)|STATEMENT_EXECUTE|[1]
16:27:18.0 (2571727)|HEAP_ALLOCATE|[26]|Bytes:5
16:27:18.0 (2576807)|STATEMENT_EXECUTE|[998]
16:27:18.0 (2579487)|STATEMENT_EXECUTE|[1015]
