60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:24:10.0 (164134)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:24:10.0 (209535)|EXECUTION_STARTED
16:24:10.0 (226075)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:24:10.0 (701177)|HEAP_ALLOCATE|[95]|Bytes:3
16:24:10.0 (789609)|HEAP_ALLOCATE|[100]|Bytes:152
16:24:10.0 (807429)|HEAP_ALLOCATE|[417]|Bytes:408
16:24:10.0 (821999)|HEAP_ALLOCATE|[430]|Bytes:408
16:24:10.0 (849250)|HEAP_ALLOCATE|[317]|Bytes:6
16:24:10.0 (873861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:24:10.0 (879201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:24:10.0 (882401)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:24:10.0 (891251)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:24:10.0 (896431)|STATEMENT_EXECUTE|[1]
16:24:10.0 (902151)|STATEMENT_EXECUTE|[1]
16:24:10.0 (930302)|HEAP_ALLOCATE|[68]|Bytes:5
16:24:10.0 (959393)|HEAP_ALLOCATE|[74]|Bytes:5
16:24:10.0 (968493)|HEAP_ALLOCATE|[82]|Bytes:7
16:24:10.0 (978573)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:24:10.0 (990243)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:24:10.0 (995434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:10.0 (1003764)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:24:10.0 (1011044)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:24:10.0 (1014394)|STATEMENT_EXECUTE|[15]
16:24:10.0 (1020644)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:24:10.0 (1024304)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:24:10.0 (1051965)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:10.0 (1058225)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:24:10.0 (1118536)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5f683437"}|0x427f84f1
16:24:10.0 (1125137)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:24:10.0 (1257500)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:24:10.0 (1263650)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:24:10.0 (1492685)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bisK3QAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bisK3QAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061T9NAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061T9NAAU"},"CreatedDate":"2025-09-29T12:35:01.000Z","Id":"801e2000007z2X7AAI","RMD_ECC_Order_ID__c":"6691211369"}]|0xad33f28
16:24:10.0 (1513606)|HEAP_ALLOCATE|[17]|Bytes:5
16:24:10.0 (1518836)|STATEMENT_EXECUTE|[16]
16:24:10.0 (1521176)|STATEMENT_EXECUTE|[17]
16:24:10.0 (1524396)|HEAP_ALLOCATE|[17]|Bytes:18
16:24:10.0 (1576547)|HEAP_ALLOCATE|[17]|Bytes:1
16:24:10.0 (1592128)|HEAP_ALLOCATE|[17]|Bytes:19
16:24:10.0 (1615878)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:24:10.0 (1625128)|STATEMENT_EXECUTE|[18]
16:24:10.0 (1635569)|HEAP_ALLOCATE|[18]|Bytes:4
16:24:10.0 (1679120)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:24:10.0 (1714900)|HEAP_ALLOCATE|[19]|Bytes:5
