60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:25:36.0 (193435)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:25:36.0 (274436)|EXECUTION_STARTED
16:25:36.0 (392619)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:25:36.0 (826629)|HEAP_ALLOCATE|[95]|Bytes:3
16:25:36.0 (925022)|HEAP_ALLOCATE|[100]|Bytes:152
16:25:36.0 (946632)|HEAP_ALLOCATE|[417]|Bytes:408
16:25:36.0 (965953)|HEAP_ALLOCATE|[430]|Bytes:408
16:25:36.0 (998973)|HEAP_ALLOCATE|[317]|Bytes:6
16:25:36.0 (1025444)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:25:36.0 (1033454)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:25:36.0 (1038634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:25:36.0 (1049435)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:25:36.0 (1056135)|STATEMENT_EXECUTE|[1]
16:25:36.0 (1064295)|STATEMENT_EXECUTE|[1]
16:25:36.0 (1098476)|HEAP_ALLOCATE|[68]|Bytes:5
16:25:36.0 (1131327)|HEAP_ALLOCATE|[74]|Bytes:5
16:25:36.0 (1142867)|HEAP_ALLOCATE|[82]|Bytes:7
16:25:36.0 (1155537)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:25:36.0 (1168887)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:25:36.0 (1175558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:36.0 (1185848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:25:36.0 (1193948)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:25:36.0 (1199258)|STATEMENT_EXECUTE|[15]
16:25:36.0 (1207088)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:25:36.0 (1212088)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:25:36.0 (1285320)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:36.0 (1294800)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:25:36.0 (1373642)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2bed0d11"}|0x427f84f1
16:25:36.0 (1381132)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:25:36.0 (1554086)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:25:36.0 (1564717)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:25:36.0 (1938295)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8c7ZQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8c7ZQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006Hl5bAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006Hl5bAAC"},"CreatedDate":"2025-10-03T11:04:21.000Z","Id":"801e2000008I2YIAA0","RMD_ECC_Order_ID__c":"6691220442"}]|0x1c479772
16:25:36.0 (1981057)|HEAP_ALLOCATE|[17]|Bytes:5
16:25:36.0 (1989757)|STATEMENT_EXECUTE|[16]
16:25:36.0 (1992867)|STATEMENT_EXECUTE|[17]
16:25:36.0 (1997207)|HEAP_ALLOCATE|[17]|Bytes:18
16:25:36.0 (2068389)|HEAP_ALLOCATE|[17]|Bytes:1
16:25:36.0 (2090549)|HEAP_ALLOCATE|[17]|Bytes:19
16:25:36.0 (2191171)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:25:36.0 (2218722)|STATEMENT_EXECUTE|[18]
16:25:36.0 (2236112)|HEAP_ALLOCATE|[18]|Bytes:4
16:25:36.0 (2297594)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:25:36.0 (2382786)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:36.0 (2441697)|HEAP_ALLOCATE|[19]|Bytes:40
16:25:36.0 (2466048)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
