60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:24:39.0 (241787)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:24:39.0 (293078)|EXECUTION_STARTED
16:24:39.0 (306018)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:24:39.0 (774388)|HEAP_ALLOCATE|[95]|Bytes:3
16:24:39.0 (891242)|HEAP_ALLOCATE|[100]|Bytes:152
16:24:39.0 (909152)|HEAP_ALLOCATE|[417]|Bytes:408
16:24:39.0 (922102)|HEAP_ALLOCATE|[430]|Bytes:408
16:24:39.0 (946783)|HEAP_ALLOCATE|[317]|Bytes:6
16:24:39.0 (971473)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:24:39.0 (977084)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:24:39.0 (980204)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:24:39.0 (988463)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:24:39.0 (994064)|STATEMENT_EXECUTE|[1]
16:24:39.0 (1000314)|STATEMENT_EXECUTE|[1]
16:24:39.0 (1030554)|HEAP_ALLOCATE|[68]|Bytes:5
16:24:39.0 (1064446)|HEAP_ALLOCATE|[74]|Bytes:5
16:24:39.0 (1074235)|HEAP_ALLOCATE|[82]|Bytes:7
16:24:39.0 (1084727)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:24:39.0 (1096767)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:24:39.0 (1101706)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:39.0 (1109956)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:24:39.0 (1115946)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:24:39.0 (1119117)|STATEMENT_EXECUTE|[15]
16:24:39.0 (1126288)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:24:39.0 (1130237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:24:39.0 (1159408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:39.0 (1165198)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:24:39.0 (1245491)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x511d6cfd"}|0x427f84f1
16:24:39.0 (1251150)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:24:39.0 (1409854)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:24:39.0 (1417554)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:24:39.0 (1668609)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000002YW6QAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000002YW6QAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061aIvAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061aIvAAI"},"CreatedDate":"2025-09-29T12:57:22.000Z","Id":"801e2000007zAcjAAE","RMD_ECC_Order_ID__c":"6691211479"}]|0xb0d9e7f
16:24:39.0 (1687840)|HEAP_ALLOCATE|[17]|Bytes:5
16:24:39.0 (1693130)|STATEMENT_EXECUTE|[16]
16:24:39.0 (1695351)|STATEMENT_EXECUTE|[17]
16:24:39.0 (1698690)|HEAP_ALLOCATE|[17]|Bytes:18
16:24:39.0 (1754521)|HEAP_ALLOCATE|[17]|Bytes:1
