60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:35:26.0 (190445)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:35:26.0 (233286)|EXECUTION_STARTED
17:35:26.0 (246057)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:35:26.0 (1513507)|HEAP_ALLOCATE|[95]|Bytes:3
17:35:26.0 (1615931)|HEAP_ALLOCATE|[100]|Bytes:152
17:35:26.0 (1638190)|HEAP_ALLOCATE|[417]|Bytes:408
17:35:26.0 (1657561)|HEAP_ALLOCATE|[430]|Bytes:408
17:35:26.0 (1682982)|HEAP_ALLOCATE|[317]|Bytes:6
17:35:26.0 (1709143)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:35:26.0 (1714712)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:35:26.0 (1718202)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:35:26.0 (1728573)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:35:26.0 (1736202)|STATEMENT_EXECUTE|[1]
17:35:26.0 (1742344)|STATEMENT_EXECUTE|[1]
17:35:26.0 (1771174)|HEAP_ALLOCATE|[68]|Bytes:5
17:35:26.0 (1798505)|HEAP_ALLOCATE|[74]|Bytes:5
17:35:26.0 (1806764)|HEAP_ALLOCATE|[82]|Bytes:7
17:35:26.0 (1816615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:35:26.0 (1829485)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:35:26.0 (1834445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:26.0 (1842456)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:35:26.0 (1849725)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:35:26.0 (1853165)|STATEMENT_EXECUTE|[15]
17:35:26.0 (1860946)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:35:26.0 (1864657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:35:26.0 (1900956)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:26.0 (1907658)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:35:26.0 (1987500)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x64a766af"}|0xbef81e1
17:35:26.0 (1996390)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:35:26.0 (2178114)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:35:26.0 (2184914)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:35:26.0 (2743478)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001kyAo3QAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001kyAo3QAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKuIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKuIAM"},"CreatedDate":"2025-05-26T10:50:43.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxApIAK","RMD_ECC_Order_ID__c":"Akhil1865"}]|0x34152c95
17:35:26.0 (2773548)|HEAP_ALLOCATE|[17]|Bytes:5
17:35:26.0 (2780948)|STATEMENT_EXECUTE|[16]
17:35:26.0 (2783289)|STATEMENT_EXECUTE|[17]
17:35:26.0 (2787319)|HEAP_ALLOCATE|[17]|Bytes:18
17:35:26.0 (2851149)|HEAP_ALLOCATE|[17]|Bytes:1
17:35:26.0 (2870540)|HEAP_ALLOCATE|[17]|Bytes:19
17:35:26.0 (2898092)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:35:26.0 (2908581)|STATEMENT_EXECUTE|[18]
17:35:26.0 (2925532)|HEAP_ALLOCATE|[18]|Bytes:4
17:35:26.0 (2978084)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:35:26.0 (3017193)|HEAP_ALLOCATE|[19]|Bytes:5
17:35:26.0 (3062385)|HEAP_ALLOCATE|[19]|Bytes:44
17:35:26.0 (3077496)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:35:26.0 (3227519)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001kyAo3QAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001kyAo3QAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKuIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKuIAM"},"CreatedDate":"2025-05-26T10:50:43.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxApIAK","RMD_ECC_Order_ID__c":"Akhil1865"}|0x7662f4bf
17:35:26.0 (3241450)|STATEMENT_EXECUTE|[19]
17:35:26.0 (3244380)|STATEMENT_EXECUTE|[20]
