60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:36:45.0 (166804)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:36:45.0 (207965)|EXECUTION_STARTED
17:36:45.0 (219294)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:36:45.0 (1416914)|HEAP_ALLOCATE|[95]|Bytes:3
17:36:45.0 (1501895)|HEAP_ALLOCATE|[100]|Bytes:152
17:36:45.0 (1520517)|HEAP_ALLOCATE|[417]|Bytes:408
17:36:45.0 (1536616)|HEAP_ALLOCATE|[430]|Bytes:408
17:36:45.0 (1566188)|HEAP_ALLOCATE|[317]|Bytes:6
17:36:45.0 (1588988)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:36:45.0 (1594278)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:36:45.0 (1597697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:36:45.0 (1609048)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:36:45.0 (1614839)|STATEMENT_EXECUTE|[1]
17:36:45.0 (1620549)|STATEMENT_EXECUTE|[1]
17:36:45.0 (1647659)|HEAP_ALLOCATE|[68]|Bytes:5
17:36:45.0 (1671499)|HEAP_ALLOCATE|[74]|Bytes:5
17:36:45.0 (1680000)|HEAP_ALLOCATE|[82]|Bytes:7
17:36:45.0 (1691260)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:36:45.0 (1719321)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:36:45.0 (1725611)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:45.0 (1733381)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:36:45.0 (1739992)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:36:45.0 (1743531)|STATEMENT_EXECUTE|[15]
17:36:45.0 (1753251)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:36:45.0 (1758192)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:36:45.0 (1793892)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:45.0 (1799942)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:36:45.0 (1865035)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6664a6f6"}|0xbef81e1
17:36:45.0 (1870195)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:36:45.0 (2089059)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:36:45.0 (2128100)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:36:45.0 (2577711)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bj4bxQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj4bxQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003ePLsIAM","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003ePLsIAM"},"CreatedDate":"2025-05-29T08:50:44.000Z","Id":"801Ie000001K0UBIA0","RMD_ECC_Order_ID__c":"6690445327"}]|0x61357703
17:36:45.0 (2604173)|HEAP_ALLOCATE|[17]|Bytes:5
17:36:45.0 (2610053)|STATEMENT_EXECUTE|[16]
17:36:45.0 (2612573)|STATEMENT_EXECUTE|[17]
17:36:45.0 (2615903)|HEAP_ALLOCATE|[17]|Bytes:18
17:36:45.0 (2672443)|HEAP_ALLOCATE|[17]|Bytes:1
17:36:45.0 (2690524)|HEAP_ALLOCATE|[17]|Bytes:19
17:36:45.0 (2715284)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:36:45.0 (2725435)|STATEMENT_EXECUTE|[18]
17:36:45.0 (2739245)|HEAP_ALLOCATE|[18]|Bytes:4
17:36:45.0 (2785627)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:36:45.0 (2835087)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:45.0 (2877299)|HEAP_ALLOCATE|[19]|Bytes:40
17:36:45.0 (2890759)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:36:45.0 (3014281)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bj4bxQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj4bxQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003ePLsIAM","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003ePLsIAM"},"CreatedDate":"2025-05-29T08:50:44.000Z","Id":"801Ie000001K0UBIA0","RMD_ECC_Order_ID__c":"6690445327"}|0x5a73b6f3
17:36:45.0 (3025042)|STATEMENT_EXECUTE|[19]
17:36:45.0 (3027223)|STATEMENT_EXECUTE|[20]
17:36:45.0 (3053183)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:36:45.0 (3070493)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:45.0 (3083443)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:36:45.0 (3089664)|STATEMENT_EXECUTE|[23]
17:36:45.0 (3092693)|HEAP_ALLOCATE|[23]|Bytes:13
17:36:45.0 (3114934)|HEAP_ALLOCATE|[23]|Bytes:1
17:36:45.0 (3127465)|HEAP_ALLOCATE|[23]|Bytes:14
17:36:45.0 (3138134)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:36:45.0 (3146135)|STATEMENT_EXECUTE|[24]
17:36:45.0 (3162826)|HEAP_ALLOCATE|[24]|Bytes:20
17:36:45.0 (3174405)|HEAP_ALLOCATE|[24]|Bytes:33
17:36:45.0 (3183957)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001K0UBIA0}
17:36:45.0 (3204437)|STATEMENT_EXECUTE|[25]
17:36:45.0 (3208077)|STATEMENT_EXECUTE|[26]
17:36:45.0 (3221606)|HEAP_ALLOCATE|[26]|Bytes:122
17:36:45.0 (3227967)|HEAP_ALLOCATE|[26]|Bytes:24
17:36:45.0 (3231767)|HEAP_ALLOCATE|[26]|Bytes:187
17:36:45.0 (3239767)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:36:45.0 (3243708)|STATEMENT_EXECUTE|[1]
17:36:45.0 (3247527)|STATEMENT_EXECUTE|[1]
17:36:45.0 (3252908)|HEAP_ALLOCATE|[26]|Bytes:5
17:36:45.0 (3257118)|STATEMENT_EXECUTE|[998]
17:36:45.0 (3259407)|STATEMENT_EXECUTE|[1015]
17:36:45.0 (3261487)|STATEMENT_EXECUTE|[1036]
17:36:45.0 (3293879)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:36:45.0 (3303869)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:36:45.0 (3309910)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:36:45.0 (3321649)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001K0UBIA0"]|0x5757340e
17:36:45.0 (3331699)|HEAP_ALLOCATE|[59]|Bytes:5
17:36:45.0 (3336819)|STATEMENT_EXECUTE|[57]
17:36:45.0 (3339009)|STATEMENT_EXECUTE|[59]
17:36:45.0 (3342550)|HEAP_ALLOCATE|[59]|Bytes:27
17:36:45.0 (3387770)|HEAP_ALLOCATE|[59]|Bytes:96
17:36:45.0 (3394621)|HEAP_ALLOCATE|[59]|Bytes:69
17:36:45.0 (3488994)|HEAP_ALLOCATE|[59]|Bytes:33
17:36:45.0 (3499693)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:36:45.0 (3503124)|STATEMENT_EXECUTE|[1]
17:36:45.0 (3513253)|SYSTEM_METHOD_EXIT|[1]|Type
17:36:45.0 (3521424)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:45.0 (3535635)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:45.0 (3540494)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:36:45.0 (3558695)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4419090a
17:36:45.0 (3563396)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:36:45.0 (3614546)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:36:45.0 (5591303)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:45.0 (5609015)|HEAP_ALLOCATE|[59]|Bytes:24
17:36:45.0 (5617295)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:36:45.0 (5621455)|STATEMENT_EXECUTE|[1]
17:36:45.0 (5634365)|SYSTEM_METHOD_EXIT|[1]|JSON
17:36:45.0 (5644125)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:36:45.0 (5993443)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:36:45.0 (6003774)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:36:45.0 (6031575)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x5f68f8f0
17:36:45.0 (6037524)|HEAP_ALLOCATE|[60]|Bytes:9
17:36:45.0 (6058874)|STATEMENT_EXECUTE|[60]
17:36:45.0 (6061365)|STATEMENT_EXECUTE|[67]
17:36:45.0 (6063466)|STATEMENT_EXECUTE|[67]
17:36:45.0 (6065536)|STATEMENT_EXECUTE|[68]
17:36:45.0 (6183268)|HEAP_ALLOCATE|[68]|Bytes:4
17:36:45.0 (6225389)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:36:45.0 (6240150)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x5335fb4e
17:36:45.0 (6245140)|STATEMENT_EXECUTE|[70]
17:36:45.0 (6257129)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:36:45.0 (6262559)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:36:45.0 (6267100)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:36:45.0 (6272941)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:36:45.0 (6278400)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:36:45.0 (6283210)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:36:45.0 (6291640)|HEAP_ALLOCATE|[70]|Bytes:150
17:36:45.0 (6296991)|HEAP_ALLOCATE|[70]|Bytes:51
17:36:45.0 (6300781)|HEAP_ALLOCATE|[70]|Bytes:13
17:36:45.0 (6310050)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:36:45.0 (6314912)|HEAP_ALLOCATE|[70]|Bytes:7
