60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:15.0 (194796)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:15.0 (229247)|EXECUTION_STARTED
16:42:15.0 (239797)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:15.0 (1532926)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:15.0 (1636120)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:15.0 (1654070)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:15.0 (1670251)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:15.0 (1696291)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:15.0 (1721902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:15.0 (1728912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:15.0 (1732253)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:15.0 (1741773)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:15.0 (1748484)|STATEMENT_EXECUTE|[1]
16:42:15.0 (1754383)|STATEMENT_EXECUTE|[1]
16:42:15.0 (1781514)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:15.0 (1809486)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:15.0 (1819135)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:15.0 (1829905)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:15.0 (1842396)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:15.0 (1847256)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:15.0 (1856687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:15.0 (1863648)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:15.0 (1866947)|STATEMENT_EXECUTE|[15]
16:42:15.0 (1874667)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:15.0 (1878777)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:15.0 (1915009)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
