60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:50.0 (170055)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:43:50.0 (212776)|EXECUTION_STARTED
16:43:50.0 (221926)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:43:50.0 (1445634)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:50.0 (1532926)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:50.0 (1550546)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:50.0 (1564367)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:50.0 (1589439)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:50.0 (1614258)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:50.0 (1620088)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:43:50.0 (1623200)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:50.0 (1632009)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:43:50.0 (1638129)|STATEMENT_EXECUTE|[1]
16:43:50.0 (1643509)|STATEMENT_EXECUTE|[1]
16:43:50.0 (1678681)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:50.0 (1708981)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:50.0 (1719331)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:50.0 (1731302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:50.0 (1744752)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:43:50.0 (1750532)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:50.0 (1760583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:50.0 (1767953)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:50.0 (1772183)|STATEMENT_EXECUTE|[15]
16:43:50.0 (1779653)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:50.0 (1784244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:50.0 (1816464)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:50.0 (1823135)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:43:50.0 (1909397)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1ab4e51d"}|0x121d8d58
16:43:50.0 (1916258)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
