60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:28:09.0 (149734)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:28:09.0 (215676)|EXECUTION_STARTED
16:28:09.0 (227566)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:28:09.0 (1046167)|HEAP_ALLOCATE|[95]|Bytes:3
16:28:09.0 (1122360)|HEAP_ALLOCATE|[100]|Bytes:152
16:28:09.0 (1140369)|HEAP_ALLOCATE|[417]|Bytes:408
16:28:09.0 (1154471)|HEAP_ALLOCATE|[430]|Bytes:408
16:28:09.0 (1177901)|HEAP_ALLOCATE|[317]|Bytes:6
16:28:09.0 (1199202)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:28:09.0 (1204472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:28:09.0 (1207472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:28:09.0 (1215842)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:28:09.0 (1221222)|STATEMENT_EXECUTE|[1]
16:28:09.0 (1227572)|STATEMENT_EXECUTE|[1]
16:28:09.0 (1256143)|HEAP_ALLOCATE|[68]|Bytes:5
16:28:09.0 (1280364)|HEAP_ALLOCATE|[74]|Bytes:5
16:28:09.0 (1289144)|HEAP_ALLOCATE|[82]|Bytes:7
16:28:09.0 (1300345)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:28:09.0 (1312334)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:28:09.0 (1317494)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:09.0 (1325645)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:28:09.0 (1331435)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:28:09.0 (1334905)|STATEMENT_EXECUTE|[15]
16:28:09.0 (1340586)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:28:09.0 (1344446)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:28:09.0 (1370726)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:09.0 (1377366)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:28:09.0 (1443108)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3dadd084"}|0x161dfdae
16:28:09.0 (1448548)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:28:09.0 (1561591)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:28:09.0 (1567531)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:28:09.0 (1817868)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001bj3cBQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj3cBQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006JBKUAA4","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006JBKUAA4"},"CreatedDate":"2025-10-03T12:01:52.000Z","Coupon_Type__c":"P","Id":"801e2000008J9FvAAK","RMD_ECC_Order_ID__c":"6691222314"}]|0x49e2f7bc
16:28:09.0 (1835958)|HEAP_ALLOCATE|[17]|Bytes:5
16:28:09.0 (1841178)|STATEMENT_EXECUTE|[16]
16:28:09.0 (1843609)|STATEMENT_EXECUTE|[17]
16:28:09.0 (1846589)|HEAP_ALLOCATE|[17]|Bytes:18
16:28:09.0 (1899480)|HEAP_ALLOCATE|[17]|Bytes:1
16:28:09.0 (1915120)|HEAP_ALLOCATE|[17]|Bytes:19
16:28:09.0 (1938751)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:28:09.0 (1947341)|STATEMENT_EXECUTE|[18]
16:28:09.0 (1960292)|HEAP_ALLOCATE|[18]|Bytes:4
16:28:09.0 (1999123)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:28:09.0 (2031833)|HEAP_ALLOCATE|[19]|Bytes:5
16:28:09.0 (2065914)|HEAP_ALLOCATE|[19]|Bytes:44
16:28:09.0 (2077885)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:28:09.0 (2190448)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001bj3cBQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj3cBQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006JBKUAA4","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006JBKUAA4"},"CreatedDate":"2025-10-03T12:01:52.000Z","Coupon_Type__c":"P","Id":"801e2000008J9FvAAK","RMD_ECC_Order_ID__c":"6691222314"}|0x1fde1691
16:28:09.0 (2199988)|STATEMENT_EXECUTE|[19]
16:28:09.0 (2202278)|STATEMENT_EXECUTE|[20]
16:28:09.0 (2224898)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:28:09.0 (2239729)|HEAP_ALLOCATE|[19]|Bytes:5
16:28:09.0 (2251839)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:28:09.0 (2256629)|STATEMENT_EXECUTE|[23]
16:28:09.0 (2259529)|HEAP_ALLOCATE|[23]|Bytes:13
16:28:09.0 (2281630)|HEAP_ALLOCATE|[23]|Bytes:1
16:28:09.0 (2292660)|HEAP_ALLOCATE|[23]|Bytes:14
16:28:09.0 (2302560)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:28:09.0 (2311171)|STATEMENT_EXECUTE|[24]
16:28:09.0 (2327201)|HEAP_ALLOCATE|[24]|Bytes:20
16:28:09.0 (2338991)|HEAP_ALLOCATE|[24]|Bytes:33
16:28:09.0 (2349412)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008J9FvAAK}
16:28:09.0 (2366362)|STATEMENT_EXECUTE|[25]
16:28:09.0 (2368632)|STATEMENT_EXECUTE|[26]
