60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:52.0 (212455)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:52.0 (259067)|EXECUTION_STARTED
17:07:52.0 (273457)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:52.0 (1543438)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:52.0 (1664010)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:52.0 (1684291)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:52.0 (1699831)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:52.0 (1725792)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:52.0 (1749732)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:52.0 (1755123)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:52.0 (1758453)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:52.0 (1768353)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:52.0 (1774293)|STATEMENT_EXECUTE|[1]
17:07:52.0 (1805464)|STATEMENT_EXECUTE|[1]
17:07:52.0 (1833685)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:52.0 (1886776)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:52.0 (1897606)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:52.0 (1908946)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:52.0 (1923277)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:52.0 (1929987)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:52.0 (1938407)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:52.0 (1944717)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:52.0 (1947827)|STATEMENT_EXECUTE|[15]
17:07:52.0 (1954987)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:52.0 (1958678)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:52.0 (1992408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:52.0 (1998938)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:52.0 (2104841)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6bc13279"}|0x726104f7
17:07:52.0 (2112101)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:52.0 (2273535)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:07:52.0 (2280045)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
