60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:18:11.0 (177684)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:18:11.0 (211535)|EXECUTION_STARTED
16:18:11.0 (223845)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:18:11.0 (666716)|HEAP_ALLOCATE|[95]|Bytes:3
16:18:11.0 (748518)|HEAP_ALLOCATE|[100]|Bytes:152
16:18:11.0 (767289)|HEAP_ALLOCATE|[417]|Bytes:408
16:18:11.0 (782219)|HEAP_ALLOCATE|[430]|Bytes:408
16:18:11.0 (805840)|HEAP_ALLOCATE|[317]|Bytes:6
16:18:11.0 (830790)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:18:11.0 (835871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:18:11.0 (839061)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:18:11.0 (848821)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:18:11.0 (854361)|STATEMENT_EXECUTE|[1]
16:18:11.0 (860931)|STATEMENT_EXECUTE|[1]
16:18:11.0 (894102)|HEAP_ALLOCATE|[68]|Bytes:5
16:18:11.0 (920683)|HEAP_ALLOCATE|[74]|Bytes:5
16:18:11.0 (930033)|HEAP_ALLOCATE|[82]|Bytes:7
16:18:11.0 (941093)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:18:11.0 (952804)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:18:11.0 (957974)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:11.0 (967584)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:18:11.0 (974344)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:18:11.0 (977634)|STATEMENT_EXECUTE|[15]
16:18:11.0 (983444)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:18:11.0 (987414)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:18:11.0 (1019245)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:11.0 (1025435)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:18:11.0 (1102767)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5e0a5300"}|0x7175f86f
16:18:11.0 (1108377)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:18:11.0 (1258781)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:18:11.0 (1264691)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:18:11.0 (1535978)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjYxdQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjYxdQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mk5iAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mk5iAAA"},"CreatedDate":"2025-09-26T06:14:04.000Z","Id":"801e2000007jT3SAAU","RMD_ECC_Order_ID__c":"6691194249"}]|0x4008b4d9
16:18:11.0 (1556569)|HEAP_ALLOCATE|[17]|Bytes:5
16:18:11.0 (1561949)|STATEMENT_EXECUTE|[16]
16:18:11.0 (1564479)|STATEMENT_EXECUTE|[17]
16:18:11.0 (1567479)|HEAP_ALLOCATE|[17]|Bytes:18
16:18:11.0 (1628830)|HEAP_ALLOCATE|[17]|Bytes:1
16:18:11.0 (1646941)|HEAP_ALLOCATE|[17]|Bytes:19
16:18:11.0 (1672071)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:18:11.0 (1681492)|STATEMENT_EXECUTE|[18]
16:18:11.0 (1698122)|HEAP_ALLOCATE|[18]|Bytes:4
16:18:11.0 (1741263)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:18:11.0 (1775524)|HEAP_ALLOCATE|[19]|Bytes:5
16:18:11.0 (1814995)|HEAP_ALLOCATE|[19]|Bytes:40
16:18:11.0 (1826245)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
