60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:21.0 (214796)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:21.0 (256686)|EXECUTION_STARTED
17:08:21.0 (271997)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:21.0 (1623209)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:21.0 (1757543)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:21.0 (1783573)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:21.0 (1811714)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:21.0 (1850345)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:21.0 (1880996)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:21.0 (1888525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:21.0 (1893495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:21.0 (1906717)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:21.0 (1916587)|STATEMENT_EXECUTE|[1]
17:08:21.0 (1924896)|STATEMENT_EXECUTE|[1]
17:08:21.0 (1974927)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:21.0 (2006789)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:21.0 (2019528)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:21.0 (2033129)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:21.0 (2050200)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:21.0 (2057819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:21.0 (2069690)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:21.0 (2079041)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:21.0 (2084300)|STATEMENT_EXECUTE|[15]
17:08:21.0 (2093761)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:21.0 (2099641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:21.0 (2140701)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:21.0 (2149621)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:21.0 (2239675)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x21542362"}|0x726104f7
17:08:21.0 (2249275)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:21.0 (2434809)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:08:21.0 (2441810)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:21.0 (2978342)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002R3Q6IAK","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3Q6IAK","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H19aIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H19aIAC"},"CreatedDate":"2025-01-11T11:02:55.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrMeIAK","RMD_ECC_Order_ID__c":"Akhil1633"}]|0x47bdfd90
17:08:21.0 (3017813)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:21.0 (3023894)|STATEMENT_EXECUTE|[16]
17:08:21.0 (3026283)|STATEMENT_EXECUTE|[17]
17:08:21.0 (3029824)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:21.0 (3089044)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:21.0 (3107016)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:21.0 (3132386)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:21.0 (3142426)|STATEMENT_EXECUTE|[18]
17:08:21.0 (3157676)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:21.0 (3216957)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
