44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:36.0 (171454)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:43:36.0 (250746)|EXECUTION_STARTED
16:43:36.0 (265156)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:43:36.0 (1637169)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:36.0 (1786723)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:36.0 (1807394)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:36.0 (1822514)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:36.0 (1854875)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:36.0 (1888925)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:36.0 (1896286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:43:36.0 (1899856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:36.0 (1912166)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:43:36.0 (1918566)|STATEMENT_EXECUTE|[1]
16:43:36.0 (1924846)|STATEMENT_EXECUTE|[1]
16:43:36.0 (1957467)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:36.0 (1987818)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:36.0 (1997658)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:36.0 (2015519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:36.0 (2030149)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:43:36.0 (2035689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:36.0 (2045149)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:36.0 (2083270)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:36.0 (2087520)|STATEMENT_EXECUTE|[15]
16:43:36.0 (2095840)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:36.0 (2099941)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:36.0 (2143792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:36.0 (2150232)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:43:36.0 (2235564)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x2e59b384"}|0x4bf3bcc5
16:43:36.0 (2242444)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:43:36.0 (2371977)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:43:36.0 (2379797)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:43:36.0 (2590752)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:55:34.000Z","Account":{"Id":"001e200000PVdRhAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVcYsAAL","AccountId":"001e200000PVdRhAAL"}]|0x73a9f751
16:43:36.0 (2617063)|HEAP_ALLOCATE|[20]|Bytes:5
16:43:36.0 (2623653)|STATEMENT_EXECUTE|[19]
16:43:36.0 (2625793)|STATEMENT_EXECUTE|[20]
16:43:36.0 (2629363)|HEAP_ALLOCATE|[20]|Bytes:18
16:43:36.0 (2691145)|HEAP_ALLOCATE|[20]|Bytes:1
16:43:36.0 (2709785)|HEAP_ALLOCATE|[20]|Bytes:19
16:43:36.0 (2754036)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:43:36.0 (2766557)|STATEMENT_EXECUTE|[21]
16:43:36.0 (2813228)|HEAP_ALLOCATE|[21]|Bytes:4
16:43:36.0 (2870819)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:43:36.0 (2923680)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:36.0 (2972822)|HEAP_ALLOCATE|[22]|Bytes:20
16:43:36.0 (2988472)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:43:36.0 (3121025)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T09:55:34.000Z","Account":{"Id":"001e200000PVdRhAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVcYsAAL","AccountId":"001e200000PVdRhAAL"}|0xcb312a1
16:43:36.0 (3131885)|STATEMENT_EXECUTE|[22]
16:43:36.0 (3134505)|STATEMENT_EXECUTE|[23]
16:43:36.0 (3164136)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:36.0 (3185097)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:36.0 (3202247)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:43:36.0 (3207747)|STATEMENT_EXECUTE|[26]
16:43:36.0 (3210617)|HEAP_ALLOCATE|[26]|Bytes:13
16:43:36.0 (3237838)|HEAP_ALLOCATE|[26]|Bytes:1
16:43:36.0 (3253208)|HEAP_ALLOCATE|[26]|Bytes:14
16:43:36.0 (3266659)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:43:36.0 (3286089)|STATEMENT_EXECUTE|[27]
16:43:36.0 (3304940)|HEAP_ALLOCATE|[27]|Bytes:20
16:43:36.0 (3316780)|HEAP_ALLOCATE|[27]|Bytes:33
16:43:36.0 (3335220)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVcYsAAL}
16:43:36.0 (3353761)|STATEMENT_EXECUTE|[28]
16:43:36.0 (3355941)|STATEMENT_EXECUTE|[29]
16:43:36.0 (3375041)|HEAP_ALLOCATE|[29]|Bytes:122
16:43:36.0 (3380461)|HEAP_ALLOCATE|[29]|Bytes:24
16:43:36.0 (3384001)|HEAP_ALLOCATE|[29]|Bytes:187
16:43:36.0 (3393102)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:43:36.0 (3397602)|STATEMENT_EXECUTE|[1]
16:43:36.0 (3401192)|STATEMENT_EXECUTE|[1]
16:43:36.0 (3409272)|HEAP_ALLOCATE|[29]|Bytes:5
16:43:36.0 (3413602)|STATEMENT_EXECUTE|[998]
16:43:36.0 (3415972)|STATEMENT_EXECUTE|[1015]
16:43:36.0 (3418052)|STATEMENT_EXECUTE|[1036]
16:43:36.0 (3426073)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:43:36.0 (3433893)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:43:36.0 (3439623)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:43:36.0 (3454503)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVcYsAAL"]|0x303be7c2
16:43:36.0 (3465443)|HEAP_ALLOCATE|[59]|Bytes:5
16:43:36.0 (3470174)|STATEMENT_EXECUTE|[57]
16:43:36.0 (3472414)|STATEMENT_EXECUTE|[59]
16:43:36.0 (3476044)|HEAP_ALLOCATE|[59]|Bytes:27
16:43:36.0 (3513695)|HEAP_ALLOCATE|[59]|Bytes:96
16:43:36.0 (3519885)|HEAP_ALLOCATE|[59]|Bytes:69
16:43:36.0 (3580796)|HEAP_ALLOCATE|[59]|Bytes:33
16:43:36.0 (3589026)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:43:36.0 (3592507)|STATEMENT_EXECUTE|[1]
16:43:36.0 (3598317)|SYSTEM_METHOD_EXIT|[1]|Type
16:43:36.0 (3604117)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:36.0 (3619397)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:36.0 (3623657)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:43:36.0 (3641418)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x394cb29c
16:43:36.0 (3646178)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:43:36.0 (3727520)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x1e50effc
16:43:36.0 (6180619)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:36.0 (6203169)|HEAP_ALLOCATE|[59]|Bytes:24
16:43:36.0 (6212779)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:43:36.0 (6216869)|STATEMENT_EXECUTE|[1]
16:43:36.0 (6222350)|SYSTEM_METHOD_EXIT|[1]|JSON
16:43:36.0 (6231990)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:43:36.0 (6573818)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:43:36.0 (6585518)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:43:36.0 (6617599)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x42947e94
16:43:36.0 (6624139)|HEAP_ALLOCATE|[60]|Bytes:9
16:43:36.0 (6650870)|STATEMENT_EXECUTE|[60]
16:43:36.0 (6653630)|STATEMENT_EXECUTE|[67]
16:43:36.0 (6655760)|STATEMENT_EXECUTE|[67]
16:43:36.0 (6658030)|STATEMENT_EXECUTE|[68]
16:43:36.0 (6696271)|HEAP_ALLOCATE|[68]|Bytes:4
16:43:36.0 (6732212)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:43:36.0 (6746822)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x599c4b76
16:43:36.0 (6752062)|STATEMENT_EXECUTE|[70]
16:43:36.0 (6763423)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:43:36.0 (6768993)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:43:36.0 (6773783)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:43:36.0 (6779863)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:43:36.0 (6785163)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:43:36.0 (6789863)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:43:36.0 (6798753)|HEAP_ALLOCATE|[70]|Bytes:150
16:43:36.0 (6804284)|HEAP_ALLOCATE|[70]|Bytes:51
16:43:36.0 (6808574)|HEAP_ALLOCATE|[70]|Bytes:13
16:43:36.0 (6826414)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:43:36.0 (6831754)|HEAP_ALLOCATE|[70]|Bytes:7
16:43:36.0 (6840174)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:43:36.0 (6879805)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:43:36.0 (6885236)|STATEMENT_EXECUTE|[6]
16:43:36.0 (6888966)|STATEMENT_EXECUTE|[6]
16:43:36.0 (8309810)|SYSTEM_MODE_ENTER|false
16:43:36.0 (8327860)|HEAP_ALLOCATE|[7]|Bytes:5
16:43:36.0 (8336210)|STATEMENT_EXECUTE|[7]
16:43:36.0 (8342060)|HEAP_ALLOCATE|[7]|Bytes:12
16:43:36.0 (8381171)|HEAP_ALLOCATE|[7]|Bytes:68
16:43:36.0 (8446233)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:43:36.0 (8451713)|STATEMENT_EXECUTE|[9]
16:43:36.0 (8458653)|HEAP_ALLOCATE|[9]|Bytes:5
16:43:36.0 (8468883)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:43:36.0 (8473084)|STATEMENT_EXECUTE|[12]
16:43:36.0 (8485484)|HEAP_ALLOCATE|[12]|Bytes:53
16:43:36.0 (8495764)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:43:36.0 (8500314)|STATEMENT_EXECUTE|[1]
16:43:36.0 (8503804)|STATEMENT_EXECUTE|[1]
16:43:36.0 (8509014)|METHOD_EXIT|[1]|RMDSelectorUser
16:43:36.0 (8518015)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:43:36.0 (8525055)|STATEMENT_EXECUTE|[124]
16:43:36.0 (8527395)|STATEMENT_EXECUTE|[125]
16:43:36.0 (8530215)|HEAP_ALLOCATE|[125]|Bytes:99
16:43:36.0 (8550925)|HEAP_ALLOCATE|[125]|Bytes:4
16:43:36.0 (9133789)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:43:36.0 (16361394)|SOQL_EXECUTE_END|[125]|Rows:1
16:43:36.0 (16421015)|HEAP_ALLOCATE|[125]|Bytes:8
16:43:36.0 (16444656)|HEAP_ALLOCATE|[125]|Bytes:60
16:43:36.0 (16506197)|HEAP_ALLOCATE|[125]|Bytes:8
16:43:36.0 (16529948)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:43:36.0 (16644270)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x4e48ace5
16:43:36.0 (16659381)|SYSTEM_MODE_EXIT|false
