44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:55.0 (153414)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:42:55.0 (222225)|EXECUTION_STARTED
16:42:55.0 (236366)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:42:55.0 (1569768)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:55.0 (1691190)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:55.0 (1714301)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:55.0 (1734222)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:55.0 (1769432)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:55.0 (1800973)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:55.0 (1808294)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:42:55.0 (1813244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:55.0 (1829454)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:42:55.0 (1837233)|STATEMENT_EXECUTE|[1]
16:42:55.0 (1843644)|STATEMENT_EXECUTE|[1]
16:42:55.0 (1893976)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:55.0 (1923206)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:55.0 (1933547)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:55.0 (1945617)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:55.0 (1960137)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:42:55.0 (1967247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:55.0 (1979728)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:55.0 (1988117)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:55.0 (1993088)|STATEMENT_EXECUTE|[15]
16:42:55.0 (2011618)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:55.0 (2018619)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:55.0 (2188013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:55.0 (2201913)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:42:55.0 (2312056)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x50f885e6"}|0x4bf3bcc5
16:42:55.0 (2321386)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:42:55.0 (2641394)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:42:55.0 (2657504)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:42:55.0 (2977552)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:38:19.000Z","Account":{"Id":"0012t00000apNAtAAM","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVMIqAAP","AccountId":"0012t00000apNAtAAM"}]|0x203739f1
16:42:55.0 (3009452)|HEAP_ALLOCATE|[20]|Bytes:5
16:42:55.0 (3018582)|STATEMENT_EXECUTE|[19]
16:42:55.0 (3021953)|STATEMENT_EXECUTE|[20]
16:42:55.0 (3027433)|HEAP_ALLOCATE|[20]|Bytes:18
16:42:55.0 (3151745)|HEAP_ALLOCATE|[20]|Bytes:1
16:42:55.0 (3175056)|HEAP_ALLOCATE|[20]|Bytes:19
16:42:55.0 (3206117)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:42:55.0 (3218847)|STATEMENT_EXECUTE|[21]
16:42:55.0 (3237387)|HEAP_ALLOCATE|[21]|Bytes:4
16:42:55.0 (3297428)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:42:55.0 (3378571)|HEAP_ALLOCATE|[22]|Bytes:5
