60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:35:33.0 (248526)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:35:33.0 (303267)|EXECUTION_STARTED
17:35:33.0 (321047)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:35:33.0 (1641769)|HEAP_ALLOCATE|[95]|Bytes:3
17:35:33.0 (1764732)|HEAP_ALLOCATE|[100]|Bytes:152
17:35:33.0 (1787823)|HEAP_ALLOCATE|[417]|Bytes:408
17:35:33.0 (1807473)|HEAP_ALLOCATE|[430]|Bytes:408
17:35:33.0 (1840454)|HEAP_ALLOCATE|[317]|Bytes:6
17:35:33.0 (1869625)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:35:33.0 (1876515)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:35:33.0 (1881985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:35:33.0 (1896955)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:35:33.0 (1906586)|STATEMENT_EXECUTE|[1]
17:35:33.0 (1914816)|STATEMENT_EXECUTE|[1]
17:35:33.0 (1955057)|HEAP_ALLOCATE|[68]|Bytes:5
17:35:33.0 (1990628)|HEAP_ALLOCATE|[74]|Bytes:5
17:35:33.0 (2001328)|HEAP_ALLOCATE|[82]|Bytes:7
17:35:33.0 (2014688)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:35:33.0 (2030599)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:35:33.0 (2037309)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:33.0 (2048079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:35:33.0 (2056529)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:35:33.0 (2060849)|STATEMENT_EXECUTE|[15]
17:35:33.0 (2069760)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:35:33.0 (2075040)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:35:33.0 (2116631)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:33.0 (2122921)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:35:33.0 (2191942)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1151b943"}|0xbef81e1
17:35:33.0 (2197643)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:35:33.0 (2366397)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:35:33.0 (2375267)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:35:33.0 (2886029)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002RcosIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RcosIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003YguxIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003YguxIAC"},"CreatedDate":"2025-05-26T11:13:26.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxFpIAK","RMD_ECC_Order_ID__c":"Akhil1868"}]|0x1b20fd18
17:35:33.0 (2914880)|HEAP_ALLOCATE|[17]|Bytes:5
17:35:33.0 (2921040)|STATEMENT_EXECUTE|[16]
17:35:33.0 (2923490)|STATEMENT_EXECUTE|[17]
17:35:33.0 (2928770)|HEAP_ALLOCATE|[17]|Bytes:18
17:35:33.0 (2997602)|HEAP_ALLOCATE|[17]|Bytes:1
17:35:33.0 (3016512)|HEAP_ALLOCATE|[17]|Bytes:19
17:35:33.0 (3050673)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:35:33.0 (3064814)|STATEMENT_EXECUTE|[18]
17:35:33.0 (3084704)|HEAP_ALLOCATE|[18]|Bytes:4
