60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:29:31.0 (160834)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:29:31.0 (200754)|EXECUTION_STARTED
16:29:31.0 (214244)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:29:31.0 (1463636)|HEAP_ALLOCATE|[95]|Bytes:3
16:29:31.0 (1547408)|HEAP_ALLOCATE|[100]|Bytes:152
16:29:31.0 (1565118)|HEAP_ALLOCATE|[417]|Bytes:408
16:29:31.0 (1579458)|HEAP_ALLOCATE|[430]|Bytes:408
16:29:31.0 (1605399)|HEAP_ALLOCATE|[317]|Bytes:6
16:29:31.0 (1627169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:29:31.0 (1632519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:29:31.0 (1635819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:29:31.0 (1644799)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:29:31.0 (1650989)|STATEMENT_EXECUTE|[1]
16:29:31.0 (1656829)|STATEMENT_EXECUTE|[1]
16:29:31.0 (1685290)|HEAP_ALLOCATE|[68]|Bytes:5
16:29:31.0 (1709700)|HEAP_ALLOCATE|[74]|Bytes:5
16:29:31.0 (1718421)|HEAP_ALLOCATE|[82]|Bytes:7
16:29:31.0 (1729131)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:29:31.0 (1742181)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:29:31.0 (1747381)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:31.0 (1756101)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:29:31.0 (1761571)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:29:31.0 (1765051)|STATEMENT_EXECUTE|[15]
16:29:31.0 (1771781)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:29:31.0 (1775572)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:29:31.0 (1805792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:31.0 (1814372)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:29:31.0 (1885593)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2b747c7a"}|0x42fa24ad
16:29:31.0 (1891244)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:29:31.0 (2034407)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x5f6e1c9
16:29:31.0 (2040816)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:29:31.0 (2295051)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001e2000006ScoUAAS","RMD_Sync_with_SAP__c":true},"AccountId":"001e2000006ScoUAAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006JG2SAAW","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006JG2SAAW"},"CreatedDate":"2025-10-03T12:49:42.000Z","Id":"801e2000008JIXkAAO","RMD_ECC_Order_ID__c":"6691222240"}]|0x1545f3f6
16:29:31.0 (2314692)|HEAP_ALLOCATE|[17]|Bytes:5
16:29:31.0 (2320012)|STATEMENT_EXECUTE|[16]
16:29:31.0 (2322281)|STATEMENT_EXECUTE|[17]
16:29:31.0 (2326652)|HEAP_ALLOCATE|[17]|Bytes:18
16:29:31.0 (2380872)|HEAP_ALLOCATE|[17]|Bytes:1
16:29:31.0 (2398112)|HEAP_ALLOCATE|[17]|Bytes:19
16:29:31.0 (2423283)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:29:31.0 (2433403)|STATEMENT_EXECUTE|[18]
16:29:31.0 (2446054)|HEAP_ALLOCATE|[18]|Bytes:4
16:29:31.0 (2490804)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x42fa24ad
16:29:31.0 (2525994)|HEAP_ALLOCATE|[19]|Bytes:5
16:29:31.0 (2560666)|HEAP_ALLOCATE|[19]|Bytes:40
16:29:31.0 (2573986)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:29:31.0 (2687438)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001e2000006ScoUAAS","RMD_Sync_with_SAP__c":true},"AccountId":"001e2000006ScoUAAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006JG2SAAW","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006JG2SAAW"},"CreatedDate":"2025-10-03T12:49:42.000Z","Id":"801e2000008JIXkAAO","RMD_ECC_Order_ID__c":"6691222240"}|0x522b206a
16:29:31.0 (2696908)|STATEMENT_EXECUTE|[19]
16:29:31.0 (2699258)|STATEMENT_EXECUTE|[20]
16:29:31.0 (2726189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:29:31.0 (2741909)|HEAP_ALLOCATE|[19]|Bytes:5
16:29:31.0 (2756439)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:29:31.0 (2761739)|STATEMENT_EXECUTE|[23]
16:29:31.0 (2764728)|HEAP_ALLOCATE|[23]|Bytes:13
16:29:31.0 (2786420)|HEAP_ALLOCATE|[23]|Bytes:1
16:29:31.0 (2797409)|HEAP_ALLOCATE|[23]|Bytes:14
16:29:31.0 (2808620)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:29:31.0 (2817230)|STATEMENT_EXECUTE|[24]
16:29:31.0 (2831671)|HEAP_ALLOCATE|[24]|Bytes:20
16:29:31.0 (2842551)|HEAP_ALLOCATE|[24]|Bytes:33
16:29:31.0 (2850981)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008JIXkAAO}
16:29:31.0 (2868121)|STATEMENT_EXECUTE|[25]
16:29:31.0 (2870170)|STATEMENT_EXECUTE|[26]
16:29:31.0 (2878941)|HEAP_ALLOCATE|[26]|Bytes:122
16:29:31.0 (2883942)|HEAP_ALLOCATE|[26]|Bytes:24
16:29:31.0 (2887462)|HEAP_ALLOCATE|[26]|Bytes:187
16:29:31.0 (2894342)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:29:31.0 (2898062)|STATEMENT_EXECUTE|[1]
16:29:31.0 (2901382)|STATEMENT_EXECUTE|[1]
16:29:31.0 (2907571)|HEAP_ALLOCATE|[26]|Bytes:5
16:29:31.0 (2912152)|STATEMENT_EXECUTE|[998]
16:29:31.0 (2914642)|STATEMENT_EXECUTE|[1015]
16:29:31.0 (2916682)|STATEMENT_EXECUTE|[1036]
16:29:31.0 (2922342)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:29:31.0 (2929272)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:29:31.0 (2934491)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:29:31.0 (2945953)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008JIXkAAO"]|0x726ca1a3
16:29:31.0 (2954363)|HEAP_ALLOCATE|[59]|Bytes:5
16:29:31.0 (2958883)|STATEMENT_EXECUTE|[57]
16:29:31.0 (2961372)|STATEMENT_EXECUTE|[59]
16:29:31.0 (2964963)|HEAP_ALLOCATE|[59]|Bytes:27
16:29:31.0 (2994903)|HEAP_ALLOCATE|[59]|Bytes:96
16:29:31.0 (3001893)|HEAP_ALLOCATE|[59]|Bytes:69
16:29:31.0 (3057875)|HEAP_ALLOCATE|[59]|Bytes:33
16:29:31.0 (3066345)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:29:31.0 (3069734)|STATEMENT_EXECUTE|[1]
16:29:31.0 (3074745)|SYSTEM_METHOD_EXIT|[1]|Type
16:29:31.0 (3079745)|HEAP_ALLOCATE|[59]|Bytes:8
16:29:31.0 (3092854)|HEAP_ALLOCATE|[59]|Bytes:8
16:29:31.0 (3097625)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:29:31.0 (3115756)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3cefb525
16:29:31.0 (3120575)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:29:31.0 (3173606)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x17e02d39
16:29:31.0 (5363795)|HEAP_ALLOCATE|[59]|Bytes:8
16:29:31.0 (5397566)|HEAP_ALLOCATE|[59]|Bytes:24
16:29:31.0 (5417855)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:29:31.0 (5424326)|STATEMENT_EXECUTE|[1]
16:29:31.0 (5433156)|SYSTEM_METHOD_EXIT|[1]|JSON
16:29:31.0 (5537238)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
