60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:10.0 (232426)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:10.0 (296206)|EXECUTION_STARTED
17:08:10.0 (316357)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:10.0 (1618358)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:10.0 (1738280)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:10.0 (1757651)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:10.0 (1772601)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:10.0 (1803772)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:10.0 (1832753)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:10.0 (1838433)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:10.0 (1841623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:10.0 (1856573)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:10.0 (1863113)|STATEMENT_EXECUTE|[1]
17:08:10.0 (1868663)|STATEMENT_EXECUTE|[1]
17:08:10.0 (1900674)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:10.0 (1929715)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:10.0 (1939035)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:10.0 (1949365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:10.0 (1965876)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:10.0 (1973836)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
