60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:37:04.0 (166604)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:37:04.0 (233165)|EXECUTION_STARTED
16:37:04.0 (246565)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:37:04.0 (1059173)|HEAP_ALLOCATE|[95]|Bytes:3
16:37:04.0 (1151295)|HEAP_ALLOCATE|[100]|Bytes:152
16:37:04.0 (1168085)|HEAP_ALLOCATE|[417]|Bytes:408
16:37:04.0 (1181514)|HEAP_ALLOCATE|[430]|Bytes:408
16:37:04.0 (1204806)|HEAP_ALLOCATE|[317]|Bytes:6
16:37:04.0 (1229086)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:37:04.0 (1234386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:37:04.0 (1237577)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:37:04.0 (1249387)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:37:04.0 (1255396)|STATEMENT_EXECUTE|[1]
16:37:04.0 (1261537)|STATEMENT_EXECUTE|[1]
16:37:04.0 (1291648)|HEAP_ALLOCATE|[68]|Bytes:5
16:37:04.0 (1316997)|HEAP_ALLOCATE|[74]|Bytes:5
16:37:04.0 (1325528)|HEAP_ALLOCATE|[82]|Bytes:7
16:37:04.0 (1336409)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:37:04.0 (1349019)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:37:04.0 (1354689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:37:04.0 (1364869)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:37:04.0 (1370998)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:37:04.0 (1374690)|STATEMENT_EXECUTE|[15]
16:37:04.0 (1381770)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:37:04.0 (1385590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:37:04.0 (1413500)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:37:04.0 (1420090)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:37:04.0 (1484561)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5dc0d164"}|0x54218fdc
16:37:04.0 (1490201)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:37:04.0 (1634795)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:37:04.0 (1641345)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:37:04.0 (1887140)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie0000094yzbIAA","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000094yzbIAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074YAOAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074YAOAA2"},"CreatedDate":"2025-10-14T06:58:27.000Z","Id":"801e20000097h4hAAA","RMD_ECC_Order_ID__c":"6691269373"}]|0x59629714
16:37:04.0 (1907770)|HEAP_ALLOCATE|[17]|Bytes:5
16:37:04.0 (1912970)|STATEMENT_EXECUTE|[16]
16:37:04.0 (1915530)|STATEMENT_EXECUTE|[17]
16:37:04.0 (1919441)|HEAP_ALLOCATE|[17]|Bytes:18
16:37:04.0 (1973102)|HEAP_ALLOCATE|[17]|Bytes:1
16:37:04.0 (1988223)|HEAP_ALLOCATE|[17]|Bytes:19
16:37:04.0 (2012443)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:37:04.0 (2020663)|STATEMENT_EXECUTE|[18]
16:37:04.0 (2033824)|HEAP_ALLOCATE|[18]|Bytes:4
16:37:04.0 (2077425)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x54218fdc
16:37:04.0 (2112694)|HEAP_ALLOCATE|[19]|Bytes:5
16:37:04.0 (2145346)|HEAP_ALLOCATE|[19]|Bytes:40
16:37:04.0 (2156716)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:37:04.0 (2263719)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie0000094yzbIAA","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000094yzbIAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074YAOAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074YAOAA2"},"CreatedDate":"2025-10-14T06:58:27.000Z","Id":"801e20000097h4hAAA","RMD_ECC_Order_ID__c":"6691269373"}|0x2edc17c4
16:37:04.0 (2273778)|STATEMENT_EXECUTE|[19]
16:37:04.0 (2275929)|STATEMENT_EXECUTE|[20]
16:37:04.0 (2300858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:37:04.0 (2315899)|HEAP_ALLOCATE|[19]|Bytes:5
16:37:04.0 (2328990)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:37:04.0 (2333960)|STATEMENT_EXECUTE|[23]
16:37:04.0 (2336530)|HEAP_ALLOCATE|[23]|Bytes:13
16:37:04.0 (2357081)|HEAP_ALLOCATE|[23]|Bytes:1
16:37:04.0 (2367571)|HEAP_ALLOCATE|[23]|Bytes:14
16:37:04.0 (2376831)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:37:04.0 (2383540)|STATEMENT_EXECUTE|[24]
16:37:04.0 (2397641)|HEAP_ALLOCATE|[24]|Bytes:20
16:37:04.0 (2409032)|HEAP_ALLOCATE|[24]|Bytes:33
16:37:04.0 (2416892)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000097h4hAAA}
16:37:04.0 (2433272)|STATEMENT_EXECUTE|[25]
16:37:04.0 (2435332)|STATEMENT_EXECUTE|[26]
16:37:04.0 (2445741)|HEAP_ALLOCATE|[26]|Bytes:122
16:37:04.0 (2451302)|HEAP_ALLOCATE|[26]|Bytes:24
16:37:04.0 (2454613)|HEAP_ALLOCATE|[26]|Bytes:187
16:37:04.0 (2463053)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:37:04.0 (2467113)|STATEMENT_EXECUTE|[1]
16:37:04.0 (2470523)|STATEMENT_EXECUTE|[1]
16:37:04.0 (2475582)|HEAP_ALLOCATE|[26]|Bytes:5
16:37:04.0 (2479422)|STATEMENT_EXECUTE|[998]
16:37:04.0 (2481793)|STATEMENT_EXECUTE|[1015]
16:37:04.0 (2484013)|STATEMENT_EXECUTE|[1036]
16:37:04.0 (2491523)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:37:04.0 (2498934)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:37:04.0 (2504234)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:37:04.0 (2515874)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000097h4hAAA"]|0xd199ccb
16:37:04.0 (2523383)|HEAP_ALLOCATE|[59]|Bytes:5
16:37:04.0 (2528564)|STATEMENT_EXECUTE|[57]
16:37:04.0 (2530703)|STATEMENT_EXECUTE|[59]
16:37:04.0 (2534374)|HEAP_ALLOCATE|[59]|Bytes:27
16:37:04.0 (2565485)|HEAP_ALLOCATE|[59]|Bytes:96
16:37:04.0 (2571575)|HEAP_ALLOCATE|[59]|Bytes:69
16:37:04.0 (2628305)|HEAP_ALLOCATE|[59]|Bytes:33
16:37:04.0 (2636967)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:37:04.0 (2640337)|STATEMENT_EXECUTE|[1]
16:37:04.0 (2645917)|SYSTEM_METHOD_EXIT|[1]|Type
16:37:04.0 (2651426)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:04.0 (2664397)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:04.0 (2668146)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:37:04.0 (2684678)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1820fce5
16:37:04.0 (2689218)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:37:04.0 (2737129)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x41b704b3
16:37:04.0 (4387314)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:04.0 (4417195)|HEAP_ALLOCATE|[59]|Bytes:24
16:37:04.0 (4430264)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:37:04.0 (4436565)|STATEMENT_EXECUTE|[1]
16:37:04.0 (4445104)|SYSTEM_METHOD_EXIT|[1]|JSON
16:37:04.0 (4457425)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:37:04.0 (4938395)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:37:04.0 (4953886)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:37:04.0 (4995427)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x17b29bdc
