44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:41:37.0 (200575)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:41:37.0 (277916)|EXECUTION_STARTED
16:41:37.0 (296957)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:41:37.0 (1491656)|HEAP_ALLOCATE|[95]|Bytes:3
16:41:37.0 (1654479)|HEAP_ALLOCATE|[100]|Bytes:152
16:41:37.0 (1678941)|HEAP_ALLOCATE|[417]|Bytes:408
16:41:37.0 (1704181)|HEAP_ALLOCATE|[430]|Bytes:408
16:41:37.0 (1744471)|HEAP_ALLOCATE|[317]|Bytes:6
16:41:37.0 (1776983)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:41:37.0 (1785792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:41:37.0 (1791523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:41:37.0 (1806033)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:41:37.0 (1816264)|STATEMENT_EXECUTE|[1]
16:41:37.0 (1824073)|STATEMENT_EXECUTE|[1]
16:41:37.0 (1852564)|HEAP_ALLOCATE|[68]|Bytes:5
16:41:37.0 (1915947)|HEAP_ALLOCATE|[74]|Bytes:5
16:41:37.0 (1927777)|HEAP_ALLOCATE|[82]|Bytes:7
16:41:37.0 (1937756)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:41:37.0 (1948526)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:41:37.0 (1953236)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:37.0 (1962498)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:41:37.0 (1968447)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:41:37.0 (1971938)|STATEMENT_EXECUTE|[15]
16:41:37.0 (1979898)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:41:37.0 (1983877)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:41:37.0 (2015179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:37.0 (2022699)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:41:37.0 (2101290)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x2c6c08e3"}|0x4bf3bcc5
16:41:37.0 (2106960)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:41:37.0 (2289556)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:41:37.0 (2297205)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:41:37.0 (2809888)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:46:42.000Z","Account":{"Id":"0012t000008ELTIAA4","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVYrpAAH","AccountId":"0012t000008ELTIAA4"}]|0x6cff6e4
16:41:37.0 (2830138)|HEAP_ALLOCATE|[20]|Bytes:5
16:41:37.0 (2836388)|STATEMENT_EXECUTE|[19]
16:41:37.0 (2838778)|STATEMENT_EXECUTE|[20]
16:41:37.0 (2842538)|HEAP_ALLOCATE|[20]|Bytes:18
16:41:37.0 (2940451)|HEAP_ALLOCATE|[20]|Bytes:1
16:41:37.0 (2966332)|HEAP_ALLOCATE|[20]|Bytes:19
16:41:37.0 (2997723)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:41:37.0 (3012453)|STATEMENT_EXECUTE|[21]
16:41:37.0 (3030512)|HEAP_ALLOCATE|[21]|Bytes:4
16:41:37.0 (3094575)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:41:37.0 (3137566)|HEAP_ALLOCATE|[22]|Bytes:5
16:41:37.0 (3185807)|HEAP_ALLOCATE|[22]|Bytes:20
16:41:37.0 (3200338)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:41:37.0 (3291090)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T09:46:42.000Z","Account":{"Id":"0012t000008ELTIAA4","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVYrpAAH","AccountId":"0012t000008ELTIAA4"}|0x3e56bbd
16:41:37.0 (3301020)|STATEMENT_EXECUTE|[22]
16:41:37.0 (3303319)|STATEMENT_EXECUTE|[23]
16:41:37.0 (3331261)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:41:37.0 (3348230)|HEAP_ALLOCATE|[22]|Bytes:5
16:41:37.0 (3376142)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:41:37.0 (3383751)|STATEMENT_EXECUTE|[26]
16:41:37.0 (3386852)|HEAP_ALLOCATE|[26]|Bytes:13
16:41:37.0 (3413423)|HEAP_ALLOCATE|[26]|Bytes:1
16:41:37.0 (3426912)|HEAP_ALLOCATE|[26]|Bytes:14
16:41:37.0 (3437733)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:41:37.0 (3445893)|STATEMENT_EXECUTE|[27]
16:41:37.0 (3462233)|HEAP_ALLOCATE|[27]|Bytes:20
16:41:37.0 (3474073)|HEAP_ALLOCATE|[27]|Bytes:33
16:41:37.0 (3482443)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVYrpAAH}
16:41:37.0 (3499785)|STATEMENT_EXECUTE|[28]
16:41:37.0 (3501994)|STATEMENT_EXECUTE|[29]
16:41:37.0 (3513735)|HEAP_ALLOCATE|[29]|Bytes:122
16:41:37.0 (3518434)|HEAP_ALLOCATE|[29]|Bytes:24
16:41:37.0 (3522855)|HEAP_ALLOCATE|[29]|Bytes:187
16:41:37.0 (3531975)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:41:37.0 (3536466)|STATEMENT_EXECUTE|[1]
16:41:37.0 (3539976)|STATEMENT_EXECUTE|[1]
16:41:37.0 (3544845)|HEAP_ALLOCATE|[29]|Bytes:5
16:41:37.0 (3548736)|STATEMENT_EXECUTE|[998]
16:41:37.0 (3551256)|STATEMENT_EXECUTE|[1015]
16:41:37.0 (3553346)|STATEMENT_EXECUTE|[1036]
16:41:37.0 (3559906)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:41:37.0 (3567515)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:41:37.0 (3573715)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:41:37.0 (3587166)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVYrpAAH"]|0x596040dc
16:41:37.0 (3596596)|HEAP_ALLOCATE|[59]|Bytes:5
16:41:37.0 (3632677)|STATEMENT_EXECUTE|[57]
16:41:37.0 (3635127)|STATEMENT_EXECUTE|[59]
16:41:37.0 (3639317)|HEAP_ALLOCATE|[59]|Bytes:27
16:41:37.0 (3681678)|HEAP_ALLOCATE|[59]|Bytes:96
16:41:37.0 (3689459)|HEAP_ALLOCATE|[59]|Bytes:69
16:41:37.0 (3735959)|HEAP_ALLOCATE|[59]|Bytes:33
16:41:37.0 (3745071)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:41:37.0 (3748501)|STATEMENT_EXECUTE|[1]
16:41:37.0 (3754290)|SYSTEM_METHOD_EXIT|[1]|Type
16:41:37.0 (3760770)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:37.0 (3774080)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:37.0 (3778181)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:41:37.0 (3798422)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1916937a
16:41:37.0 (3803192)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:41:37.0 (3884323)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x1e50effc
16:41:37.0 (6549427)|HEAP_ALLOCATE|[59]|Bytes:8
16:41:37.0 (6575489)|HEAP_ALLOCATE|[59]|Bytes:24
16:41:37.0 (6585699)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:41:37.0 (6591089)|STATEMENT_EXECUTE|[1]
16:41:37.0 (6596828)|SYSTEM_METHOD_EXIT|[1]|JSON
16:41:37.0 (6608969)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:41:37.0 (6911276)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:41:37.0 (6920217)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:41:37.0 (6963028)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x6a3b7b3a
16:41:37.0 (6969948)|HEAP_ALLOCATE|[60]|Bytes:9
16:41:37.0 (6992358)|STATEMENT_EXECUTE|[60]
16:41:37.0 (6995299)|STATEMENT_EXECUTE|[67]
16:41:37.0 (6997299)|STATEMENT_EXECUTE|[67]
16:41:37.0 (6999419)|STATEMENT_EXECUTE|[68]
16:41:37.0 (7040300)|HEAP_ALLOCATE|[68]|Bytes:4
16:41:37.0 (7072600)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:41:37.0 (7087261)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x33ff8ac6
16:41:37.0 (7093330)|STATEMENT_EXECUTE|[70]
16:41:37.0 (7104280)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:41:37.0 (7109981)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:41:37.0 (7115361)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:41:37.0 (7121672)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:41:37.0 (7127081)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:41:37.0 (7132451)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:41:37.0 (7142041)|HEAP_ALLOCATE|[70]|Bytes:150
16:41:37.0 (7147531)|HEAP_ALLOCATE|[70]|Bytes:51
16:41:37.0 (7151672)|HEAP_ALLOCATE|[70]|Bytes:13
16:41:37.0 (7168433)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:41:37.0 (7173402)|HEAP_ALLOCATE|[70]|Bytes:7
16:41:37.0 (7181212)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:41:37.0 (7215563)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:41:37.0 (7220984)|STATEMENT_EXECUTE|[6]
16:41:37.0 (7224474)|STATEMENT_EXECUTE|[6]
16:41:37.0 (8662869)|SYSTEM_MODE_ENTER|false
16:41:37.0 (8675829)|HEAP_ALLOCATE|[7]|Bytes:5
16:41:37.0 (8683069)|STATEMENT_EXECUTE|[7]
16:41:37.0 (8687979)|HEAP_ALLOCATE|[7]|Bytes:12
16:41:37.0 (8728190)|HEAP_ALLOCATE|[7]|Bytes:68
16:41:37.0 (8757120)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:41:37.0 (8762501)|STATEMENT_EXECUTE|[9]
16:41:37.0 (8768090)|HEAP_ALLOCATE|[9]|Bytes:5
16:41:37.0 (8778200)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:41:37.0 (8782381)|STATEMENT_EXECUTE|[12]
16:41:37.0 (8794011)|HEAP_ALLOCATE|[12]|Bytes:53
16:41:37.0 (8802211)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:41:37.0 (8807051)|STATEMENT_EXECUTE|[1]
16:41:37.0 (8810672)|STATEMENT_EXECUTE|[1]
16:41:37.0 (8814801)|METHOD_EXIT|[1]|RMDSelectorUser
16:41:37.0 (8822512)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:41:37.0 (8830303)|STATEMENT_EXECUTE|[124]
16:41:37.0 (8832753)|STATEMENT_EXECUTE|[125]
16:41:37.0 (8835682)|HEAP_ALLOCATE|[125]|Bytes:99
16:41:37.0 (8848252)|HEAP_ALLOCATE|[125]|Bytes:4
16:41:37.0 (9502319)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:41:37.0 (18179287)|SOQL_EXECUTE_END|[125]|Rows:1
16:41:37.0 (18214467)|HEAP_ALLOCATE|[125]|Bytes:8
16:41:37.0 (18238428)|HEAP_ALLOCATE|[125]|Bytes:60
16:41:37.0 (18290340)|HEAP_ALLOCATE|[125]|Bytes:8
16:41:37.0 (18318750)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:41:37.0 (18458073)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x1da52deb
16:41:37.0 (18473843)|SYSTEM_MODE_EXIT|false
16:41:37.0 (18494004)|METHOD_EXIT|[6]|RMDCommonHelper
16:41:37.0 (18508385)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:41:37.0 (18524755)|SYSTEM_MODE_ENTER|false
16:41:37.0 (18539866)|HEAP_ALLOCATE|[446]|Bytes:5
16:41:37.0 (18546435)|STATEMENT_EXECUTE|[445]
16:41:37.0 (18548856)|STATEMENT_EXECUTE|[446]
16:41:37.0 (18574617)|HEAP_ALLOCATE|[446]|Bytes:16
16:41:37.0 (18584747)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:41:37.0 (18591097)|STATEMENT_EXECUTE|[1]
16:41:37.0 (18596236)|STATEMENT_EXECUTE|[1]
16:41:37.0 (18600937)|METHOD_EXIT|[1]|RMDSelectorCommon
16:41:37.0 (18610778)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:41:37.0 (18620098)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:41:37.0 (18634698)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:41:37.0 (18641957)|STATEMENT_EXECUTE|[3]
16:41:37.0 (18645058)|STATEMENT_EXECUTE|[4]
16:41:37.0 (18662909)|HEAP_ALLOCATE|[4]|Bytes:4
16:41:37.0 (18688540)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:41:37.0 (18697489)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:41:37.0 (18705519)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x51de013c
16:41:37.0 (18710140)|STATEMENT_EXECUTE|[5]
16:41:37.0 (18714449)|HEAP_ALLOCATE|[5]|Bytes:42
16:41:37.0 (18731231)|HEAP_ALLOCATE|[5]|Bytes:4
16:41:37.0 (19003307)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:41:37.0 (22223443)|SOQL_EXECUTE_END|[5]|Rows:1
16:41:37.0 (22286045)|HEAP_ALLOCATE|[5]|Bytes:8
16:41:37.0 (22306156)|HEAP_ALLOCATE|[5]|Bytes:46
16:41:37.0 (22342267)|HEAP_ALLOCATE|[5]|Bytes:8
