60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:05.0 (181104)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:36:05.0 (251455)|EXECUTION_STARTED
16:36:05.0 (265816)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:36:05.0 (984772)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:05.0 (1065823)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:05.0 (1084083)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:05.0 (1100134)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:05.0 (1130594)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:05.0 (1156785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:05.0 (1162475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:36:05.0 (1165755)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:05.0 (1178625)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:36:05.0 (1186176)|STATEMENT_EXECUTE|[1]
16:36:05.0 (1192685)|STATEMENT_EXECUTE|[1]
16:36:05.0 (1225076)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:05.0 (1252818)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:05.0 (1261987)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:05.0 (1272797)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:05.0 (1288018)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:36:05.0 (1293927)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
