60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:26:35.0 (134404)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:26:35.0 (194165)|EXECUTION_STARTED
16:26:35.0 (205246)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:26:35.0 (901175)|HEAP_ALLOCATE|[95]|Bytes:3
16:26:35.0 (967757)|HEAP_ALLOCATE|[100]|Bytes:152
16:26:35.0 (985267)|HEAP_ALLOCATE|[417]|Bytes:408
16:26:35.0 (999157)|HEAP_ALLOCATE|[430]|Bytes:408
16:26:35.0 (1023598)|HEAP_ALLOCATE|[317]|Bytes:6
16:26:35.0 (1044629)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:26:35.0 (1049779)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:26:35.0 (1052899)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:26:35.0 (1060009)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:26:35.0 (1065469)|STATEMENT_EXECUTE|[1]
16:26:35.0 (1070349)|STATEMENT_EXECUTE|[1]
16:26:35.0 (1096670)|HEAP_ALLOCATE|[68]|Bytes:5
16:26:35.0 (1121221)|HEAP_ALLOCATE|[74]|Bytes:5
16:26:35.0 (1130831)|HEAP_ALLOCATE|[82]|Bytes:7
16:26:35.0 (1141741)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:26:35.0 (1152921)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:26:35.0 (1157942)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:26:35.0 (1166232)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:26:35.0 (1171952)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:26:35.0 (1175222)|STATEMENT_EXECUTE|[15]
16:26:35.0 (1180742)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:26:35.0 (1184602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:26:35.0 (1211183)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:26:35.0 (1217173)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:26:35.0 (1272835)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x15b4bcc1"}|0x161dfdae
16:26:35.0 (1277985)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:26:35.0 (1388398)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:26:35.0 (1393988)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:26:35.0 (1632134)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001bj7J5QAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj7J5QAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IvvfAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IvvfAAC"},"CreatedDate":"2025-10-03T12:04:18.000Z","Coupon_Type__c":"P","Id":"801e2000008IqDRAA0","RMD_ECC_Order_ID__c":"6691221904"}]|0x6cf3630a
