60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:20:23.0 (186765)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:20:23.0 (218325)|EXECUTION_STARTED
16:20:23.0 (231166)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:20:23.0 (740438)|HEAP_ALLOCATE|[95]|Bytes:3
16:20:23.0 (884010)|HEAP_ALLOCATE|[100]|Bytes:152
16:20:23.0 (926742)|HEAP_ALLOCATE|[417]|Bytes:408
16:20:23.0 (942302)|HEAP_ALLOCATE|[430]|Bytes:408
16:20:23.0 (970953)|HEAP_ALLOCATE|[317]|Bytes:6
16:20:23.0 (998444)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:20:23.0 (1004173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:20:23.0 (1008164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:20:23.0 (1017573)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:20:23.0 (1023844)|STATEMENT_EXECUTE|[1]
16:20:23.0 (1029754)|STATEMENT_EXECUTE|[1]
16:20:23.0 (1057334)|HEAP_ALLOCATE|[68]|Bytes:5
16:20:23.0 (1086636)|HEAP_ALLOCATE|[74]|Bytes:5
16:20:23.0 (1095796)|HEAP_ALLOCATE|[82]|Bytes:7
16:20:23.0 (1106615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:20:23.0 (1118557)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:20:23.0 (1123587)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:23.0 (1131787)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:20:23.0 (1137387)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:20:23.0 (1141176)|STATEMENT_EXECUTE|[15]
16:20:23.0 (1147496)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:20:23.0 (1151227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:20:23.0 (1187678)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:23.0 (1193148)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:20:23.0 (1256960)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x10ac0399"}|0x110fe3d2
16:20:23.0 (1262579)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:20:23.0 (1496605)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:20:23.0 (1503716)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:20:23.0 (1788582)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000006ZRWJAA4","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000006ZRWJAA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yUBgAAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yUBgAAM"},"CreatedDate":"2025-09-29T05:57:12.000Z","Id":"801e2000007w1UPAAY","RMD_ECC_Order_ID__c":"6691206511"}]|0x537277d1
16:20:23.0 (1822463)|HEAP_ALLOCATE|[17]|Bytes:5
16:20:23.0 (1829133)|STATEMENT_EXECUTE|[16]
16:20:23.0 (1831632)|STATEMENT_EXECUTE|[17]
16:20:23.0 (1835213)|HEAP_ALLOCATE|[17]|Bytes:18
16:20:23.0 (1889945)|HEAP_ALLOCATE|[17]|Bytes:1
