60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:41:52.0 (156684)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:41:52.0 (200746)|EXECUTION_STARTED
16:41:52.0 (210436)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:41:52.0 (1451454)|HEAP_ALLOCATE|[95]|Bytes:3
16:41:52.0 (1529117)|HEAP_ALLOCATE|[100]|Bytes:152
16:41:52.0 (1548718)|HEAP_ALLOCATE|[417]|Bytes:408
16:41:52.0 (1564198)|HEAP_ALLOCATE|[430]|Bytes:408
16:41:52.0 (1589359)|HEAP_ALLOCATE|[317]|Bytes:6
16:41:52.0 (1612079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:41:52.0 (1618539)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:41:52.0 (1621779)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:41:52.0 (1629379)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:41:52.0 (1635120)|STATEMENT_EXECUTE|[1]
16:41:52.0 (1640309)|STATEMENT_EXECUTE|[1]
16:41:52.0 (1670510)|HEAP_ALLOCATE|[68]|Bytes:5
16:41:52.0 (1695901)|HEAP_ALLOCATE|[74]|Bytes:5
16:41:52.0 (1705141)|HEAP_ALLOCATE|[82]|Bytes:7
16:41:52.0 (1715832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:41:52.0 (1727323)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:41:52.0 (1732293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:52.0 (1741523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:41:52.0 (1747793)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:41:52.0 (1750903)|STATEMENT_EXECUTE|[15]
16:41:52.0 (1757404)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:41:52.0 (1761263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:41:52.0 (1792754)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:52.0 (1798935)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:41:52.0 (1860577)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x63e4ae79"}|0x121d8d58
16:41:52.0 (1866247)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:41:52.0 (1990000)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:41:52.0 (1995861)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:41:52.0 (2323311)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001b94aXQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b94aXQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007593RAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007593RAAQ"},"CreatedDate":"2025-10-14T06:08:48.000Z","Id":"801e20000098KPNAA2","RMD_ECC_Order_ID__c":"6691268215"}]|0x567ee852
16:41:52.0 (2345822)|HEAP_ALLOCATE|[17]|Bytes:5
16:41:52.0 (2351082)|STATEMENT_EXECUTE|[16]
16:41:52.0 (2353291)|STATEMENT_EXECUTE|[17]
16:41:52.0 (2356752)|HEAP_ALLOCATE|[17]|Bytes:18
16:41:52.0 (2408613)|HEAP_ALLOCATE|[17]|Bytes:1
16:41:52.0 (2426784)|HEAP_ALLOCATE|[17]|Bytes:19
16:41:52.0 (2457014)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:41:52.0 (2470675)|STATEMENT_EXECUTE|[18]
16:41:52.0 (2485606)|HEAP_ALLOCATE|[18]|Bytes:4
16:41:52.0 (2534877)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:41:52.0 (2573239)|HEAP_ALLOCATE|[19]|Bytes:5
16:41:52.0 (2658211)|HEAP_ALLOCATE|[19]|Bytes:40
16:41:52.0 (2671602)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:41:52.0 (2789655)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001b94aXQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b94aXQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007593RAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007593RAAQ"},"CreatedDate":"2025-10-14T06:08:48.000Z","Id":"801e20000098KPNAA2","RMD_ECC_Order_ID__c":"6691268215"}|0xa4ff7ee
16:41:52.0 (2799185)|STATEMENT_EXECUTE|[19]
16:41:52.0 (2801375)|STATEMENT_EXECUTE|[20]
16:41:52.0 (2827696)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:41:52.0 (2847997)|HEAP_ALLOCATE|[19]|Bytes:5
16:41:52.0 (2865077)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:41:52.0 (2869978)|STATEMENT_EXECUTE|[23]
16:41:52.0 (2872778)|HEAP_ALLOCATE|[23]|Bytes:13
16:41:52.0 (2896188)|HEAP_ALLOCATE|[23]|Bytes:1
16:41:52.0 (2908869)|HEAP_ALLOCATE|[23]|Bytes:14
16:41:52.0 (2918999)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:41:52.0 (2926889)|STATEMENT_EXECUTE|[24]
16:41:52.0 (2941140)|HEAP_ALLOCATE|[24]|Bytes:20
16:41:52.0 (2953700)|HEAP_ALLOCATE|[24]|Bytes:33
16:41:52.0 (2962220)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098KPNAA2}
16:41:52.0 (2979911)|STATEMENT_EXECUTE|[25]
16:41:52.0 (2981971)|STATEMENT_EXECUTE|[26]
16:41:52.0 (2992151)|HEAP_ALLOCATE|[26]|Bytes:122
16:41:52.0 (2998001)|HEAP_ALLOCATE|[26]|Bytes:24
16:41:52.0 (3001372)|HEAP_ALLOCATE|[26]|Bytes:187
16:41:52.0 (3009712)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:41:52.0 (3013982)|STATEMENT_EXECUTE|[1]
16:41:52.0 (3017752)|STATEMENT_EXECUTE|[1]
16:41:52.0 (3023222)|HEAP_ALLOCATE|[26]|Bytes:5
16:41:52.0 (3027422)|STATEMENT_EXECUTE|[998]
16:41:52.0 (3029802)|STATEMENT_EXECUTE|[1015]
16:41:52.0 (3032162)|STATEMENT_EXECUTE|[1036]
16:41:52.0 (3038683)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:41:52.0 (3045733)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:41:52.0 (3051223)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:41:52.0 (3062113)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000098KPNAA2"]|0x73c76709
16:41:52.0 (3070454)|HEAP_ALLOCATE|[59]|Bytes:5
