60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:00.0 (197957)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:00.0 (246519)|EXECUTION_STARTED
16:42:00.0 (255919)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:00.0 (1502727)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:00.0 (1580819)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:00.0 (1600160)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:00.0 (1620400)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:00.0 (1647261)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:00.0 (1670652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:00.0 (1676132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:00.0 (1679392)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:00.0 (1688012)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:00.0 (1694163)|STATEMENT_EXECUTE|[1]
16:42:00.0 (1699433)|STATEMENT_EXECUTE|[1]
16:42:00.0 (1769245)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:00.0 (1798916)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:00.0 (1809876)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:00.0 (1822096)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:00.0 (1835607)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:00.0 (1841317)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:00.0 (1850697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:00.0 (1858248)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:00.0 (1862048)|STATEMENT_EXECUTE|[15]
16:42:00.0 (1871308)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:00.0 (1878128)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:00.0 (1924100)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:00.0 (1938410)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:42:00.0 (2040023)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x73c76709"}|0x121d8d58
16:42:00.0 (2046953)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:42:00.0 (2226189)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:42:00.0 (2234649)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:42:00.0 (2531648)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000009G9IxAAK","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009G9IxAAK","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000759eXAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e200000759eXAAQ"},"CreatedDate":"2025-10-14T06:09:40.000Z","Id":"801e20000098KlxAAE","RMD_ECC_Order_ID__c":"6691268249"}]|0x6cb8bff3
16:42:00.0 (2554699)|HEAP_ALLOCATE|[17]|Bytes:5
16:42:00.0 (2560249)|STATEMENT_EXECUTE|[16]
16:42:00.0 (2562369)|STATEMENT_EXECUTE|[17]
16:42:00.0 (2565999)|HEAP_ALLOCATE|[17]|Bytes:18
16:42:00.0 (2617441)|HEAP_ALLOCATE|[17]|Bytes:1
16:42:00.0 (2634161)|HEAP_ALLOCATE|[17]|Bytes:19
16:42:00.0 (2660222)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:42:00.0 (2671132)|STATEMENT_EXECUTE|[18]
16:42:00.0 (2687183)|HEAP_ALLOCATE|[18]|Bytes:4
16:42:00.0 (2749756)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:42:00.0 (2786837)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:00.0 (2827417)|HEAP_ALLOCATE|[19]|Bytes:40
16:42:00.0 (2842537)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:42:00.0 (2990552)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t000009G9IxAAK","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009G9IxAAK","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000759eXAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e200000759eXAAQ"},"CreatedDate":"2025-10-14T06:09:40.000Z","Id":"801e20000098KlxAAE","RMD_ECC_Order_ID__c":"6691268249"}|0x4e90e379
16:42:00.0 (3000293)|STATEMENT_EXECUTE|[19]
16:42:00.0 (3003182)|STATEMENT_EXECUTE|[20]
16:42:00.0 (3023644)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:42:00.0 (3041393)|HEAP_ALLOCATE|[19]|Bytes:5
