44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:05.0 (165494)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:43:05.0 (249726)|EXECUTION_STARTED
16:43:05.0 (266576)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:43:05.0 (1566807)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:05.0 (1683770)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:05.0 (1708771)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:05.0 (1732881)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:05.0 (1786053)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:05.0 (1820314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:05.0 (1828795)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:43:05.0 (1835105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:05.0 (1851595)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:43:05.0 (1860004)|STATEMENT_EXECUTE|[1]
16:43:05.0 (1867026)|STATEMENT_EXECUTE|[1]
16:43:05.0 (1901005)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:05.0 (1935187)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:05.0 (1948147)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:05.0 (1962148)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:05.0 (1976988)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:43:05.0 (1984497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:05.0 (1996799)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:05.0 (2005399)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:05.0 (2010829)|STATEMENT_EXECUTE|[15]
16:43:05.0 (2020098)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:05.0 (2026368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:05.0 (2066899)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:05.0 (2077570)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:43:05.0 (2171243)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0xcff81c6"}|0x4bf3bcc5
16:43:05.0 (2179353)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:43:05.0 (2375838)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:43:05.0 (2385958)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:43:05.0 (2922981)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:23:14.000Z","Account":{"Id":"0012t00000C0eRQAAZ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVeikAAD","AccountId":"0012t00000C0eRQAAZ"}]|0x2688ec4c
16:43:05.0 (2946702)|HEAP_ALLOCATE|[20]|Bytes:5
16:43:05.0 (2953702)|STATEMENT_EXECUTE|[19]
16:43:05.0 (2956841)|STATEMENT_EXECUTE|[20]
16:43:05.0 (2961311)|HEAP_ALLOCATE|[20]|Bytes:18
16:43:05.0 (3028282)|HEAP_ALLOCATE|[20]|Bytes:1
16:43:05.0 (3051014)|HEAP_ALLOCATE|[20]|Bytes:19
16:43:05.0 (3084895)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:43:05.0 (3099074)|STATEMENT_EXECUTE|[21]
16:43:05.0 (3117506)|HEAP_ALLOCATE|[21]|Bytes:4
16:43:05.0 (3172417)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:43:05.0 (3212277)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:05.0 (3256629)|HEAP_ALLOCATE|[22]|Bytes:20
16:43:05.0 (3271149)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:43:05.0 (3370022)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:23:14.000Z","Account":{"Id":"0012t00000C0eRQAAZ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVeikAAD","AccountId":"0012t00000C0eRQAAZ"}|0x92adced
16:43:05.0 (3382152)|STATEMENT_EXECUTE|[22]
16:43:05.0 (3385392)|STATEMENT_EXECUTE|[23]
16:43:05.0 (3413223)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:05.0 (3436833)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:05.0 (3455384)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:43:05.0 (3463474)|STATEMENT_EXECUTE|[26]
16:43:05.0 (3467824)|HEAP_ALLOCATE|[26]|Bytes:13
