44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:16.0 (179804)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:43:16.0 (249017)|EXECUTION_STARTED
16:43:16.0 (263396)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:43:16.0 (1431664)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:16.0 (1518586)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:16.0 (1535417)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:16.0 (1549568)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:16.0 (1573048)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:16.0 (1595938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:16.0 (1601329)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:43:16.0 (1604878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:16.0 (1616330)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:43:16.0 (1621799)|STATEMENT_EXECUTE|[1]
16:43:16.0 (1627490)|STATEMENT_EXECUTE|[1]
16:43:16.0 (1656709)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:16.0 (1680771)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:16.0 (1688980)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:16.0 (1699350)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:16.0 (1711241)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:43:16.0 (1716132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:16.0 (1723981)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:16.0 (1729601)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:16.0 (1732881)|STATEMENT_EXECUTE|[15]
16:43:16.0 (1739461)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:16.0 (1743602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:16.0 (1772712)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:16.0 (1778462)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:43:16.0 (1845535)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x4b0b8f7b"}|0x4bf3bcc5
16:43:16.0 (1850964)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:43:16.0 (1985787)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:43:16.0 (1991848)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:43:16.0 (2381887)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:29:36.000Z","Account":{"Id":"0017F00001eCewAQAS","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVj5jAAD","AccountId":"0017F00001eCewAQAS"}]|0x59c49962
16:43:16.0 (2399857)|HEAP_ALLOCATE|[20]|Bytes:5
16:43:16.0 (2405988)|STATEMENT_EXECUTE|[19]
16:43:16.0 (2408228)|STATEMENT_EXECUTE|[20]
16:43:16.0 (2411498)|HEAP_ALLOCATE|[20]|Bytes:18
16:43:16.0 (2464879)|HEAP_ALLOCATE|[20]|Bytes:1
16:43:16.0 (2485630)|HEAP_ALLOCATE|[20]|Bytes:19
16:43:16.0 (2518880)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:43:16.0 (2532880)|STATEMENT_EXECUTE|[21]
16:43:16.0 (2548771)|HEAP_ALLOCATE|[21]|Bytes:4
16:43:16.0 (2597953)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:43:16.0 (2637343)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:16.0 (2679995)|HEAP_ALLOCATE|[22]|Bytes:20
16:43:16.0 (2693624)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:43:16.0 (2768477)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:29:36.000Z","Account":{"Id":"0017F00001eCewAQAS","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVj5jAAD","AccountId":"0017F00001eCewAQAS"}|0x5cd6f1f7
16:43:16.0 (2778797)|STATEMENT_EXECUTE|[22]
16:43:16.0 (2781566)|STATEMENT_EXECUTE|[23]
16:43:16.0 (2809718)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (2827768)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:16.0 (2842738)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:43:16.0 (2848919)|STATEMENT_EXECUTE|[26]
16:43:16.0 (2852298)|HEAP_ALLOCATE|[26]|Bytes:13
16:43:16.0 (2877720)|HEAP_ALLOCATE|[26]|Bytes:1
16:43:16.0 (2891589)|HEAP_ALLOCATE|[26]|Bytes:14
16:43:16.0 (2903059)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:43:16.0 (2911921)|STATEMENT_EXECUTE|[27]
16:43:16.0 (2930430)|HEAP_ALLOCATE|[27]|Bytes:20
16:43:16.0 (2943740)|HEAP_ALLOCATE|[27]|Bytes:33
16:43:16.0 (2953981)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVj5jAAD}
16:43:16.0 (2973831)|STATEMENT_EXECUTE|[28]
16:43:16.0 (2976491)|STATEMENT_EXECUTE|[29]
16:43:16.0 (2988611)|HEAP_ALLOCATE|[29]|Bytes:122
16:43:16.0 (2994492)|HEAP_ALLOCATE|[29]|Bytes:24
16:43:16.0 (2999043)|HEAP_ALLOCATE|[29]|Bytes:187
16:43:16.0 (3007092)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:43:16.0 (3013102)|STATEMENT_EXECUTE|[1]
16:43:16.0 (3016912)|STATEMENT_EXECUTE|[1]
16:43:16.0 (3022752)|HEAP_ALLOCATE|[29]|Bytes:5
16:43:16.0 (3027803)|STATEMENT_EXECUTE|[998]
16:43:16.0 (3030803)|STATEMENT_EXECUTE|[1015]
16:43:16.0 (3033332)|STATEMENT_EXECUTE|[1036]
16:43:16.0 (3041713)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:43:16.0 (3050313)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:43:16.0 (3057553)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:43:16.0 (3070973)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVj5jAAD"]|0x24772209
16:43:16.0 (3081334)|HEAP_ALLOCATE|[59]|Bytes:5
16:43:16.0 (3087525)|STATEMENT_EXECUTE|[57]
16:43:16.0 (3090205)|STATEMENT_EXECUTE|[59]
16:43:16.0 (3094445)|HEAP_ALLOCATE|[59]|Bytes:27
16:43:16.0 (3131945)|HEAP_ALLOCATE|[59]|Bytes:96
16:43:16.0 (3138975)|HEAP_ALLOCATE|[59]|Bytes:69
16:43:16.0 (3201656)|HEAP_ALLOCATE|[59]|Bytes:33
16:43:16.0 (3211537)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:43:16.0 (3216128)|STATEMENT_EXECUTE|[1]
16:43:16.0 (3222257)|SYSTEM_METHOD_EXIT|[1]|Type
16:43:16.0 (3229117)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:16.0 (3245009)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:16.0 (3250278)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:43:16.0 (3269638)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x26ddd2b7
16:43:16.0 (3276009)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:43:16.0 (3334700)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x1e50effc
16:43:16.0 (6307981)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:16.0 (6333862)|HEAP_ALLOCATE|[59]|Bytes:24
16:43:16.0 (6342723)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:43:16.0 (6346652)|STATEMENT_EXECUTE|[1]
16:43:16.0 (6351963)|SYSTEM_METHOD_EXIT|[1]|JSON
16:43:16.0 (6362443)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:43:16.0 (6691331)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:43:16.0 (6700492)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:43:16.0 (6733711)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x71620930
16:43:16.0 (6740712)|HEAP_ALLOCATE|[60]|Bytes:9
16:43:16.0 (6764632)|STATEMENT_EXECUTE|[60]
16:43:16.0 (6767482)|STATEMENT_EXECUTE|[67]
16:43:16.0 (6769542)|STATEMENT_EXECUTE|[67]
16:43:16.0 (6771613)|STATEMENT_EXECUTE|[68]
16:43:16.0 (6816454)|HEAP_ALLOCATE|[68]|Bytes:4
16:43:16.0 (6858354)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:43:16.0 (6877976)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x396235c1
16:43:16.0 (6885785)|STATEMENT_EXECUTE|[70]
16:43:16.0 (6900456)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:43:16.0 (6909306)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:43:16.0 (6917617)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:43:16.0 (6926817)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:43:16.0 (6935196)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:43:16.0 (6943596)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:43:16.0 (6957307)|HEAP_ALLOCATE|[70]|Bytes:150
16:43:16.0 (6965538)|HEAP_ALLOCATE|[70]|Bytes:51
16:43:16.0 (6971957)|HEAP_ALLOCATE|[70]|Bytes:13
16:43:16.0 (6990268)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:43:16.0 (6995768)|HEAP_ALLOCATE|[70]|Bytes:7
16:43:16.0 (7003358)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:43:16.0 (7044709)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:43:16.0 (7050549)|STATEMENT_EXECUTE|[6]
16:43:16.0 (7054199)|STATEMENT_EXECUTE|[6]
16:43:16.0 (8471943)|SYSTEM_MODE_ENTER|false
16:43:16.0 (8496384)|HEAP_ALLOCATE|[7]|Bytes:5
16:43:16.0 (8512055)|STATEMENT_EXECUTE|[7]
16:43:16.0 (8522524)|HEAP_ALLOCATE|[7]|Bytes:12
16:43:16.0 (8557536)|HEAP_ALLOCATE|[7]|Bytes:68
16:43:16.0 (8581226)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:43:16.0 (8586326)|STATEMENT_EXECUTE|[9]
16:43:16.0 (8592036)|HEAP_ALLOCATE|[9]|Bytes:5
16:43:16.0 (8600916)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:43:16.0 (8604777)|STATEMENT_EXECUTE|[12]
16:43:16.0 (8615707)|HEAP_ALLOCATE|[12]|Bytes:53
16:43:16.0 (8623287)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:43:16.0 (8629487)|STATEMENT_EXECUTE|[1]
16:43:16.0 (8633938)|STATEMENT_EXECUTE|[1]
16:43:16.0 (8639727)|METHOD_EXIT|[1]|RMDSelectorUser
16:43:16.0 (8650228)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:43:16.0 (8659758)|STATEMENT_EXECUTE|[124]
16:43:16.0 (8663078)|STATEMENT_EXECUTE|[125]
16:43:16.0 (8666868)|HEAP_ALLOCATE|[125]|Bytes:99
16:43:16.0 (8687038)|HEAP_ALLOCATE|[125]|Bytes:4
16:43:16.0 (9346635)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:43:16.0 (17527232)|SOQL_EXECUTE_END|[125]|Rows:1
16:43:16.0 (17561972)|HEAP_ALLOCATE|[125]|Bytes:8
16:43:16.0 (17586353)|HEAP_ALLOCATE|[125]|Bytes:60
16:43:16.0 (17640395)|HEAP_ALLOCATE|[125]|Bytes:8
16:43:16.0 (17665844)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:43:16.0 (17800367)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x641c4875
16:43:16.0 (17815378)|SYSTEM_MODE_EXIT|false
16:43:16.0 (17835058)|METHOD_EXIT|[6]|RMDCommonHelper
16:43:16.0 (17846760)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:43:16.0 (17861489)|SYSTEM_MODE_ENTER|false
16:43:16.0 (17876219)|HEAP_ALLOCATE|[446]|Bytes:5
16:43:16.0 (17883059)|STATEMENT_EXECUTE|[445]
16:43:16.0 (17886459)|STATEMENT_EXECUTE|[446]
16:43:16.0 (17915321)|HEAP_ALLOCATE|[446]|Bytes:16
16:43:16.0 (17927090)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:43:16.0 (17934122)|STATEMENT_EXECUTE|[1]
16:43:16.0 (17939122)|STATEMENT_EXECUTE|[1]
16:43:16.0 (17943971)|METHOD_EXIT|[1]|RMDSelectorCommon
16:43:16.0 (17953461)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:43:16.0 (17961791)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:43:16.0 (17975542)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:43:16.0 (17981363)|STATEMENT_EXECUTE|[3]
16:43:16.0 (17983472)|STATEMENT_EXECUTE|[4]
16:43:16.0 (18002532)|HEAP_ALLOCATE|[4]|Bytes:4
16:43:16.0 (18033913)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:43:16.0 (18046453)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (18057834)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x29bc0a4d
16:43:16.0 (18065294)|STATEMENT_EXECUTE|[5]
16:43:16.0 (18070594)|HEAP_ALLOCATE|[5]|Bytes:42
16:43:16.0 (18091294)|HEAP_ALLOCATE|[5]|Bytes:4
16:43:16.0 (18334870)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:43:16.0 (21636091)|SOQL_EXECUTE_END|[5]|Rows:1
16:43:16.0 (21669880)|HEAP_ALLOCATE|[5]|Bytes:8
16:43:16.0 (21692892)|HEAP_ALLOCATE|[5]|Bytes:46
16:43:16.0 (21744312)|HEAP_ALLOCATE|[5]|Bytes:8
16:43:16.0 (21850235)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x10c1a91d
16:43:16.0 (21862595)|STATEMENT_EXECUTE|[7]
16:43:16.0 (21875976)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:43:16.0 (21886806)|VARIABLE_SCOPE_BEGIN|[446]|listOfOrg|List<Organization>|true|false
16:43:16.0 (21931077)|VARIABLE_ASSIGNMENT|[446]|listOfOrg|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x10c1a91d
16:43:16.0 (21940367)|STATEMENT_EXECUTE|[450]
16:43:16.0 (21950058)|VARIABLE_SCOPE_BEGIN|[450]|IsSandbox|Boolean|false|false
16:43:16.0 (21970868)|HEAP_ALLOCATE|[450]|Bytes:5
16:43:16.0 (21983718)|VARIABLE_ASSIGNMENT|[450]|IsSandbox|false
16:43:16.0 (22020769)|STATEMENT_EXECUTE|[451]
16:43:16.0 (22024869)|STATEMENT_EXECUTE|[452]
16:43:16.0 (22059790)|HEAP_ALLOCATE|[452]|Bytes:12
16:43:16.0 (22095231)|VARIABLE_ASSIGNMENT|[452]|IsSandbox|false
16:43:16.0 (22102891)|STATEMENT_EXECUTE|[454]
16:43:16.0 (22109961)|SYSTEM_MODE_EXIT|false
16:43:16.0 (22125622)|METHOD_EXIT|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:43:16.0 (22135932)|VARIABLE_SCOPE_BEGIN|[70]|IsSandbox|Boolean|false|false
16:43:16.0 (22148552)|VARIABLE_ASSIGNMENT|[70]|IsSandbox|false
16:43:16.0 (22156752)|STATEMENT_EXECUTE|[74]
16:43:16.0 (22160552)|STATEMENT_EXECUTE|[75]
16:43:16.0 (22167423)|HEAP_ALLOCATE|[75]|Bytes:9
16:43:16.0 (22175693)|HEAP_ALLOCATE|[75]|Bytes:10
16:43:16.0 (22182233)|HEAP_ALLOCATE|[75]|Bytes:9
16:43:16.0 (22198963)|METHOD_ENTRY|[75]|01p7F00000VLtZg|RMDCommonHelper.getIntegrationConfig(String, String, String)
16:43:16.0 (22209753)|VARIABLE_SCOPE_BEGIN|[461]|vendor|String|false|false
16:43:16.0 (22225094)|VARIABLE_ASSIGNMENT|[461]|vendor|"SFDCTOSAP"
16:43:16.0 (22231524)|VARIABLE_SCOPE_BEGIN|[461]|instance|String|false|false
16:43:16.0 (22243374)|VARIABLE_ASSIGNMENT|[461]|instance|"PRODUCTION"
16:43:16.0 (22249164)|VARIABLE_SCOPE_BEGIN|[461]|requestType|String|false|false
16:43:16.0 (22261695)|VARIABLE_ASSIGNMENT|[461]|requestType|"ORDERSYNC"
16:43:16.0 (22276186)|SYSTEM_MODE_ENTER|false
16:43:16.0 (22284995)|HEAP_ALLOCATE|[462]|Bytes:5
16:43:16.0 (22292035)|STATEMENT_EXECUTE|[461]
16:43:16.0 (22295575)|STATEMENT_EXECUTE|[462]
16:43:16.0 (22300416)|HEAP_ALLOCATE|[462]|Bytes:1
16:43:16.0 (22323276)|HEAP_ALLOCATE|[462]|Bytes:30
16:43:16.0 (22332566)|VARIABLE_SCOPE_BEGIN|[462]|configName|String|false|false
16:43:16.0 (22348207)|VARIABLE_ASSIGNMENT|[462]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:43:16.0 (22355167)|STATEMENT_EXECUTE|[463]
16:43:16.0 (22365857)|METHOD_ENTRY|[463]|01p7F00000VLtaw|RMDSelectorCommon.getIntegrationConfig(String)
16:43:16.0 (22374927)|VARIABLE_SCOPE_BEGIN|[10]|configName|String|false|false
16:43:16.0 (22389408)|VARIABLE_ASSIGNMENT|[10]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:43:16.0 (22397638)|STATEMENT_EXECUTE|[10]
16:43:16.0 (22400909)|STATEMENT_EXECUTE|[11]
16:43:16.0 (22420608)|HEAP_ALLOCATE|[11]|Bytes:4
16:43:16.0 (22447350)|VARIABLE_SCOPE_BEGIN|[11]|listConfig|List<RMD_Integration_Config__c>|true|false
16:43:16.0 (22459999)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (22472250)|VARIABLE_ASSIGNMENT|[11]|listConfig|[]|0x2e5b994d
16:43:16.0 (22480040)|STATEMENT_EXECUTE|[12]
16:43:16.0 (22484560)|HEAP_ALLOCATE|[12]|Bytes:141
16:43:16.0 (22502290)|HEAP_ALLOCATE|[12]|Bytes:4
16:43:16.0 (22513321)|HEAP_ALLOCATE|[12]|Bytes:7
16:43:16.0 (23197627)|SOQL_EXECUTE_BEGIN|[12]|Aggregations:0|SELECT Name, RMD_End_Point_Url__c, RMD_Key__c, RMD_User_Name__c, RMD_Password__c FROM RMD_Integration_Config__c WHERE Name = :tmpVar1 LIMIT 1
16:43:16.0 (30824180)|SOQL_EXECUTE_END|[12]|Rows:1
16:43:16.0 (30865832)|HEAP_ALLOCATE|[12]|Bytes:8
16:43:16.0 (30895422)|HEAP_ALLOCATE|[12]|Bytes:349
16:43:16.0 (30959213)|HEAP_ALLOCATE|[12]|Bytes:8
16:43:16.0 (31106507)|VARIABLE_ASSIGNMENT|[12]|listConfig|[{"Id":"a097F00000G5pq9QAB","RMD_User_Name__c":"POSOAPUSER","RMD_End_Point_Url__c":"https://sappoprd.tim (181 more) ...","Name":"PRODUCTION_SFDCTOSAP (10 more) ...","RMD_Password__c":"HP1nv3nt"}]|0x3c50b12e
16:43:16.0 (31121337)|STATEMENT_EXECUTE|[15]
16:43:16.0 (31136359)|METHOD_EXIT|[463]|01p7F00000VLtaw|RMDSelectorCommon.getIntegrationConfig(String)
16:43:16.0 (31148408)|VARIABLE_SCOPE_BEGIN|[463]|listOfICs|List<RMD_Integration_Config__c>|true|false
16:43:16.0 (31234140)|VARIABLE_ASSIGNMENT|[463]|listOfICs|[{"Id":"a097F00000G5pq9QAB","RMD_User_Name__c":"POSOAPUSER","RMD_End_Point_Url__c":"https://sappoprd.tim (181 more) ...","Name":"PRODUCTION_SFDCTOSAP (10 more) ...","RMD_Password__c":"HP1nv3nt"}]|0x3c50b12e
16:43:16.0 (31277021)|STATEMENT_EXECUTE|[468]
16:43:16.0 (31280861)|STATEMENT_EXECUTE|[469]
16:43:16.0 (31302912)|HEAP_ALLOCATE|[469]|Bytes:24
16:43:16.0 (31320622)|SYSTEM_MODE_EXIT|false
16:43:16.0 (31338453)|METHOD_EXIT|[75]|01p7F00000VLtZg|RMDCommonHelper.getIntegrationConfig(String, String, String)
16:43:16.0 (31400344)|VARIABLE_ASSIGNMENT|[75]|objIntegrationConfig|{"Id":"a097F00000G5pq9QAB","RMD_User_Name__c":"POSOAPUSER","RMD_End_Point_Url__c":"https://sappoprd.tim (181 more) ...","Name":"PRODUCTION_SFDCTOSAP (10 more) ...","RMD_Password__c":"HP1nv3nt"}|0x6afad81f
16:43:16.0 (31410934)|STATEMENT_EXECUTE|[77]
16:43:16.0 (31433935)|HEAP_ALLOCATE|[77]|Bytes:4
16:43:16.0 (31491186)|VARIABLE_SCOPE_BEGIN|[77]|listErrorLogWrapper|List<RMDErrorLogUtilityHelper.ErrorLogWrapper>|true|false
16:43:16.0 (31515737)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (31529627)|VARIABLE_ASSIGNMENT|[77]|listErrorLogWrapper|[]|0x35d3e63
16:43:16.0 (31537597)|STATEMENT_EXECUTE|[78]
16:43:16.0 (31549418)|HEAP_ALLOCATE|[78]|Bytes:4
16:43:16.0 (31568508)|VARIABLE_SCOPE_BEGIN|[78]|errorLogList|List<RMD_Error_Log__c>|true|false
16:43:16.0 (31580188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (31589650)|VARIABLE_ASSIGNMENT|[78]|errorLogList|[]|0x117a5635
16:43:16.0 (31596509)|STATEMENT_EXECUTE|[79]
16:43:16.0 (31605229)|HEAP_ALLOCATE|[79]|Bytes:4
16:43:16.0 (31623079)|VARIABLE_SCOPE_BEGIN|[79]|listOfResponses|List<RMDSAPWSDLOrder.Response_element>|true|false
16:43:16.0 (31640070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:16.0 (31649280)|VARIABLE_ASSIGNMENT|[79]|listOfResponses|[]|0x289a4cf5
16:43:16.0 (31656331)|STATEMENT_EXECUTE|[81]
