60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:49.0 (191823)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:49.0 (237435)|EXECUTION_STARTED
16:16:49.0 (253566)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:49.0 (1552446)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:49.0 (1644148)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:49.0 (1671328)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:49.0 (1700469)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:49.0 (1741640)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:49.0 (1770441)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:49.0 (1777420)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:49.0 (1783031)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:49.0 (1795081)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:49.0 (1804011)|STATEMENT_EXECUTE|[1]
16:16:49.0 (1810781)|STATEMENT_EXECUTE|[1]
16:16:49.0 (1845112)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:49.0 (1877902)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:49.0 (1889753)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:49.0 (1903634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:49.0 (1917434)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:49.0 (1923924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:49.0 (1934103)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:49.0 (1941955)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:49.0 (1946624)|STATEMENT_EXECUTE|[15]
16:16:49.0 (1953845)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:49.0 (1958925)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:49.0 (1995056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
