44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:21.0 (177349)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:52:21.0 (239712)|EXECUTION_STARTED
16:52:21.0 (258982)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:52:21.0 (777008)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:21.0 (884225)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:21.0 (904306)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:21.0 (919557)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:21.0 (955537)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:21.0 (980800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:21.0 (985890)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:52:21.0 (989059)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:21.0 (1001801)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:52:21.0 (1007991)|STATEMENT_EXECUTE|[1]
16:52:21.0 (1012831)|STATEMENT_EXECUTE|[1]
16:52:21.0 (1041622)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:21.0 (1068554)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:21.0 (1086115)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:21.0 (1097785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:21.0 (1111516)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:52:21.0 (1117377)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:21.0 (1125687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:21.0 (1132257)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:21.0 (1135417)|STATEMENT_EXECUTE|[15]
16:52:21.0 (1141358)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:21.0 (1145158)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:21.0 (1173779)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:21.0 (1179869)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:52:21.0 (1233071)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x3922124"}|0x101007a7
16:52:21.0 (1238093)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:52:21.0 (1351957)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:52:21.0 (1358139)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:52:21.0 (1748868)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-09T10:42:24.000Z","Account":{"Id":"001Ie000002QhInIAK","RMD_Sync_with_SAP__c":true},"Id":"801e200000OnjxVAAR","AccountId":"001Ie000002QhInIAK"}]|0x30be6666
16:52:21.0 (1765778)|HEAP_ALLOCATE|[20]|Bytes:5
16:52:21.0 (1771279)|STATEMENT_EXECUTE|[19]
16:52:21.0 (1773550)|STATEMENT_EXECUTE|[20]
16:52:21.0 (1777099)|HEAP_ALLOCATE|[20]|Bytes:18
16:52:21.0 (1826282)|HEAP_ALLOCATE|[20]|Bytes:1
16:52:21.0 (1843033)|HEAP_ALLOCATE|[20]|Bytes:19
16:52:21.0 (1866094)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:52:21.0 (1876035)|STATEMENT_EXECUTE|[21]
16:52:21.0 (1887875)|HEAP_ALLOCATE|[21]|Bytes:4
16:52:21.0 (1929386)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:52:21.0 (1994830)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:21.0 (2035943)|HEAP_ALLOCATE|[22]|Bytes:20
16:52:21.0 (2046843)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:52:21.0 (2118057)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-09T10:42:24.000Z","Account":{"Id":"001Ie000002QhInIAK","RMD_Sync_with_SAP__c":true},"Id":"801e200000OnjxVAAR","AccountId":"001Ie000002QhInIAK"}|0x518161c1
16:52:21.0 (2125057)|STATEMENT_EXECUTE|[22]
16:52:21.0 (2127407)|STATEMENT_EXECUTE|[23]
16:52:21.0 (2151219)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:21.0 (2167989)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:21.0 (2181220)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:52:21.0 (2185959)|STATEMENT_EXECUTE|[26]
16:52:21.0 (2188790)|HEAP_ALLOCATE|[26]|Bytes:13
16:52:21.0 (2212172)|HEAP_ALLOCATE|[26]|Bytes:1
16:52:21.0 (2223952)|HEAP_ALLOCATE|[26]|Bytes:14
16:52:21.0 (2233362)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:52:21.0 (2241103)|STATEMENT_EXECUTE|[27]
16:52:21.0 (2256034)|HEAP_ALLOCATE|[27]|Bytes:20
16:52:21.0 (2267714)|HEAP_ALLOCATE|[27]|Bytes:33
16:52:21.0 (2276185)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000OnjxVAAR}
16:52:21.0 (2293936)|STATEMENT_EXECUTE|[28]
16:52:21.0 (2296096)|STATEMENT_EXECUTE|[29]
16:52:21.0 (2305866)|HEAP_ALLOCATE|[29]|Bytes:122
16:52:21.0 (2310446)|HEAP_ALLOCATE|[29]|Bytes:24
16:52:21.0 (2313557)|HEAP_ALLOCATE|[29]|Bytes:187
16:52:21.0 (2320806)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:52:21.0 (2324697)|STATEMENT_EXECUTE|[1]
16:52:21.0 (2327857)|STATEMENT_EXECUTE|[1]
16:52:21.0 (2333567)|HEAP_ALLOCATE|[29]|Bytes:5
16:52:21.0 (2337268)|STATEMENT_EXECUTE|[998]
16:52:21.0 (2339578)|STATEMENT_EXECUTE|[1015]
16:52:21.0 (2341807)|STATEMENT_EXECUTE|[1036]
16:52:21.0 (2348219)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:52:21.0 (2355739)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:52:21.0 (2361559)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:52:21.0 (2371489)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000OnjxVAAR"]|0x6849bc0
16:52:21.0 (2379960)|HEAP_ALLOCATE|[59]|Bytes:5
16:52:21.0 (2384849)|STATEMENT_EXECUTE|[57]
16:52:21.0 (2387180)|STATEMENT_EXECUTE|[59]
16:52:21.0 (2390730)|HEAP_ALLOCATE|[59]|Bytes:27
16:52:21.0 (2419282)|HEAP_ALLOCATE|[59]|Bytes:96
16:52:21.0 (2424691)|HEAP_ALLOCATE|[59]|Bytes:69
16:52:21.0 (2479645)|HEAP_ALLOCATE|[59]|Bytes:33
16:52:21.0 (2488686)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:52:21.0 (2493006)|STATEMENT_EXECUTE|[1]
16:52:21.0 (2498516)|SYSTEM_METHOD_EXIT|[1]|Type
16:52:21.0 (2503226)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:21.0 (2518296)|HEAP_ALLOCATE|[59]|Bytes:8
