60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:24:24.0 (151804)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:24:24.0 (182834)|EXECUTION_STARTED
16:24:24.0 (197265)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:24:24.0 (643484)|HEAP_ALLOCATE|[95]|Bytes:3
16:24:24.0 (723427)|HEAP_ALLOCATE|[100]|Bytes:152
16:24:24.0 (740748)|HEAP_ALLOCATE|[417]|Bytes:408
16:24:24.0 (755847)|HEAP_ALLOCATE|[430]|Bytes:408
16:24:24.0 (781359)|HEAP_ALLOCATE|[317]|Bytes:6
16:24:24.0 (804859)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:24:24.0 (810179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:24:24.0 (813509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:24:24.0 (821870)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:24:24.0 (827900)|STATEMENT_EXECUTE|[1]
16:24:24.0 (834080)|STATEMENT_EXECUTE|[1]
16:24:24.0 (861609)|HEAP_ALLOCATE|[68]|Bytes:5
16:24:24.0 (891021)|HEAP_ALLOCATE|[74]|Bytes:5
16:24:24.0 (901850)|HEAP_ALLOCATE|[82]|Bytes:7
16:24:24.0 (912142)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:24:24.0 (924302)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:24:24.0 (928992)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:24.0 (936872)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:24:24.0 (942822)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:24:24.0 (945942)|STATEMENT_EXECUTE|[15]
16:24:24.0 (953023)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:24:24.0 (956652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:24:24.0 (985603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:24.0 (991744)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:24:24.0 (1059054)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x62933f26"}|0x427f84f1
16:24:24.0 (1065245)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:24:24.0 (1207889)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:24:24.0 (1213679)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:24:24.0 (1440103)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001biarqQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001biarqQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061XL3AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061XL3AAM"},"CreatedDate":"2025-09-29T12:46:34.000Z","Id":"801e2000007z78bAAA","RMD_ECC_Order_ID__c":"6691211131"}]|0x89f5665
16:24:24.0 (1460195)|HEAP_ALLOCATE|[17]|Bytes:5
16:24:24.0 (1465235)|STATEMENT_EXECUTE|[16]
16:24:24.0 (1467605)|STATEMENT_EXECUTE|[17]
16:24:24.0 (1471295)|HEAP_ALLOCATE|[17]|Bytes:18
16:24:24.0 (1523176)|HEAP_ALLOCATE|[17]|Bytes:1
16:24:24.0 (1539136)|HEAP_ALLOCATE|[17]|Bytes:19
16:24:24.0 (1562786)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:24:24.0 (1571866)|STATEMENT_EXECUTE|[18]
16:24:24.0 (1583266)|HEAP_ALLOCATE|[18]|Bytes:4
16:24:24.0 (1624568)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:24:24.0 (1660259)|HEAP_ALLOCATE|[19]|Bytes:5
16:24:24.0 (1700850)|HEAP_ALLOCATE|[19]|Bytes:40
16:24:24.0 (1713389)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:24:24.0 (1812523)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001biarqQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001biarqQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061XL3AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061XL3AAM"},"CreatedDate":"2025-09-29T12:46:34.000Z","Id":"801e2000007z78bAAA","RMD_ECC_Order_ID__c":"6691211131"}|0x7528a6ad
16:24:24.0 (1822072)|STATEMENT_EXECUTE|[19]
16:24:24.0 (1824283)|STATEMENT_EXECUTE|[20]
16:24:24.0 (1850804)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:24:24.0 (1867353)|HEAP_ALLOCATE|[19]|Bytes:5
16:24:24.0 (1880664)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:24:24.0 (1885625)|STATEMENT_EXECUTE|[23]
16:24:24.0 (1888474)|HEAP_ALLOCATE|[23]|Bytes:13
16:24:24.0 (1910205)|HEAP_ALLOCATE|[23]|Bytes:1
16:24:24.0 (1921474)|HEAP_ALLOCATE|[23]|Bytes:14
16:24:24.0 (1930875)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:24:24.0 (1938426)|STATEMENT_EXECUTE|[24]
16:24:24.0 (1953046)|HEAP_ALLOCATE|[24]|Bytes:20
16:24:24.0 (1963795)|HEAP_ALLOCATE|[24]|Bytes:33
16:24:24.0 (1974017)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007z78bAAA}
16:24:24.0 (1992767)|STATEMENT_EXECUTE|[25]
16:24:24.0 (1995236)|STATEMENT_EXECUTE|[26]
16:24:24.0 (2004636)|HEAP_ALLOCATE|[26]|Bytes:122
16:24:24.0 (2009607)|HEAP_ALLOCATE|[26]|Bytes:24
16:24:24.0 (2012817)|HEAP_ALLOCATE|[26]|Bytes:187
16:24:24.0 (2019517)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:24:24.0 (2023677)|STATEMENT_EXECUTE|[1]
16:24:24.0 (2026717)|STATEMENT_EXECUTE|[1]
16:24:24.0 (2032628)|HEAP_ALLOCATE|[26]|Bytes:5
16:24:24.0 (2037048)|STATEMENT_EXECUTE|[998]
16:24:24.0 (2039517)|STATEMENT_EXECUTE|[1015]
16:24:24.0 (2041748)|STATEMENT_EXECUTE|[1036]
16:24:24.0 (2048877)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:24:24.0 (2056389)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:24:24.0 (2061358)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:24:24.0 (2071299)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007z78bAAA"]|0x6695ef4c
16:24:24.0 (2079939)|HEAP_ALLOCATE|[59]|Bytes:5
16:24:24.0 (2084529)|STATEMENT_EXECUTE|[57]
16:24:24.0 (2086598)|STATEMENT_EXECUTE|[59]
16:24:24.0 (2090329)|HEAP_ALLOCATE|[59]|Bytes:27
16:24:24.0 (2121310)|HEAP_ALLOCATE|[59]|Bytes:96
16:24:24.0 (2127390)|HEAP_ALLOCATE|[59]|Bytes:69
16:24:24.0 (2182911)|HEAP_ALLOCATE|[59]|Bytes:33
16:24:24.0 (2190822)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:24:24.0 (2193912)|STATEMENT_EXECUTE|[1]
16:24:24.0 (2199521)|SYSTEM_METHOD_EXIT|[1]|Type
16:24:24.0 (2204782)|HEAP_ALLOCATE|[59]|Bytes:8
16:24:24.0 (2218441)|HEAP_ALLOCATE|[59]|Bytes:8
16:24:24.0 (2223001)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:24:24.0 (2280234)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x23a73475
16:24:24.0 (2285854)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:24:24.0 (2343825)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:24:24.0 (4848414)|HEAP_ALLOCATE|[59]|Bytes:8
16:24:24.0 (4873594)|HEAP_ALLOCATE|[59]|Bytes:24
16:24:24.0 (4882155)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:24:24.0 (4887595)|STATEMENT_EXECUTE|[1]
16:24:24.0 (4893495)|SYSTEM_METHOD_EXIT|[1]|JSON
16:24:24.0 (4903435)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:24:24.0 (5262523)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:24:24.0 (5274233)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:24:24.0 (5304014)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x5aac91c0
16:24:24.0 (5311605)|HEAP_ALLOCATE|[60]|Bytes:9
16:24:24.0 (5338255)|STATEMENT_EXECUTE|[60]
16:24:24.0 (5341474)|STATEMENT_EXECUTE|[67]
16:24:24.0 (5343485)|STATEMENT_EXECUTE|[67]
16:24:24.0 (5345605)|STATEMENT_EXECUTE|[68]
16:24:24.0 (5380406)|HEAP_ALLOCATE|[68]|Bytes:4
16:24:24.0 (5414996)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:24:24.0 (5429367)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x402de5b0
16:24:24.0 (5434076)|STATEMENT_EXECUTE|[70]
16:24:24.0 (5447068)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:24:24.0 (5452348)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:24:24.0 (5457188)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:24:24.0 (5462837)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:24:24.0 (5467778)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:24:24.0 (5472808)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:24:24.0 (5482819)|HEAP_ALLOCATE|[70]|Bytes:150
16:24:24.0 (5487779)|HEAP_ALLOCATE|[70]|Bytes:51
16:24:24.0 (5491699)|HEAP_ALLOCATE|[70]|Bytes:13
16:24:24.0 (5508758)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:24:24.0 (5514158)|HEAP_ALLOCATE|[70]|Bytes:7
16:24:24.0 (5522770)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:24:24.0 (5559719)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:24:24.0 (5565071)|STATEMENT_EXECUTE|[6]
16:24:24.0 (5568971)|STATEMENT_EXECUTE|[6]
16:24:24.0 (6208666)|SYSTEM_MODE_ENTER|false
16:24:24.0 (6221695)|HEAP_ALLOCATE|[7]|Bytes:5
16:24:24.0 (6264317)|STATEMENT_EXECUTE|[7]
16:24:24.0 (6270197)|HEAP_ALLOCATE|[7]|Bytes:12
16:24:24.0 (6316448)|HEAP_ALLOCATE|[7]|Bytes:68
16:24:24.0 (6338549)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:24:24.0 (6343169)|STATEMENT_EXECUTE|[9]
16:24:24.0 (6349509)|HEAP_ALLOCATE|[9]|Bytes:5
16:24:24.0 (6358429)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:24:24.0 (6362058)|STATEMENT_EXECUTE|[12]
16:24:24.0 (6373489)|HEAP_ALLOCATE|[12]|Bytes:53
