60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:35:20.0 (195304)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:35:20.0 (281966)|EXECUTION_STARTED
16:35:20.0 (295677)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:35:20.0 (1117734)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:35:20.0 (1176675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:35:20.0 (1182225)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:35:20.0 (1199676)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:35:20.0 (1206326)|STATEMENT_EXECUTE|[1]
16:35:20.0 (1214096)|STATEMENT_EXECUTE|[1]
16:35:20.0 (1238987)|HEAP_ALLOCATE|[68]|Bytes:5
16:35:20.0 (1278517)|HEAP_ALLOCATE|[74]|Bytes:5
16:35:20.0 (1289238)|HEAP_ALLOCATE|[82]|Bytes:7
16:35:20.0 (1476692)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:35:20.0 (1492572)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:35:20.0 (1499222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:20.0 (1503722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:35:20.0 (1525703)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:20.0 (1548113)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:35:20.0 (1619065)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5d4cf5f2"}|0x54218fdc
16:35:20.0 (1625475)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:35:20.0 (1781358)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:35:20.0 (1788388)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:35:20.0 (2607886)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8uffQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8uffQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006oqzHAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006oqzHAAQ"},"CreatedDate":"2025-10-10T11:26:03.000Z","Id":"801e2000008rBlWAAU","RMD_ECC_Order_ID__c":"6691249863"}]|0x3c21eb8c
16:35:20.0 (2631826)|HEAP_ALLOCATE|[17]|Bytes:5
16:35:20.0 (2637326)|STATEMENT_EXECUTE|[16]
16:35:20.0 (2639567)|STATEMENT_EXECUTE|[17]
16:35:20.0 (2643377)|HEAP_ALLOCATE|[17]|Bytes:18
16:35:20.0 (2820920)|HEAP_ALLOCATE|[17]|Bytes:1
16:35:20.0 (2841351)|HEAP_ALLOCATE|[17]|Bytes:19
16:35:20.0 (2874012)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:35:20.0 (2883942)|STATEMENT_EXECUTE|[18]
16:35:20.0 (2896972)|HEAP_ALLOCATE|[18]|Bytes:4
16:35:20.0 (2998434)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x54218fdc
16:35:20.0 (3146617)|HEAP_ALLOCATE|[19]|Bytes:5
16:35:20.0 (3194938)|HEAP_ALLOCATE|[19]|Bytes:40
16:35:20.0 (3208959)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:35:20.0 (3344791)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8uffQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8uffQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006oqzHAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006oqzHAAQ"},"CreatedDate":"2025-10-10T11:26:03.000Z","Id":"801e2000008rBlWAAU","RMD_ECC_Order_ID__c":"6691249863"}|0x73a166b0
16:35:20.0 (3355372)|STATEMENT_EXECUTE|[19]
16:35:20.0 (3357492)|STATEMENT_EXECUTE|[20]
16:35:20.0 (3426403)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:35:20.0 (3445154)|HEAP_ALLOCATE|[19]|Bytes:5
16:35:20.0 (3460394)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:35:20.0 (3465714)|STATEMENT_EXECUTE|[23]
16:35:20.0 (3469194)|HEAP_ALLOCATE|[23]|Bytes:13
16:35:20.0 (3496605)|HEAP_ALLOCATE|[23]|Bytes:1
16:35:20.0 (3507635)|HEAP_ALLOCATE|[23]|Bytes:14
16:35:20.0 (3518255)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:35:20.0 (3525455)|STATEMENT_EXECUTE|[24]
16:35:20.0 (3568186)|HEAP_ALLOCATE|[24]|Bytes:20
16:35:20.0 (3581527)|HEAP_ALLOCATE|[24]|Bytes:33
16:35:20.0 (3589417)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008rBlWAAU}
16:35:20.0 (3614247)|STATEMENT_EXECUTE|[25]
16:35:20.0 (3616497)|STATEMENT_EXECUTE|[26]
16:35:20.0 (12961196)|HEAP_ALLOCATE|[26]|Bytes:122
16:35:20.0 (12992907)|HEAP_ALLOCATE|[26]|Bytes:24
16:35:20.0 (12999827)|HEAP_ALLOCATE|[26]|Bytes:187
16:35:20.0 (13042838)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:35:20.0 (13051648)|STATEMENT_EXECUTE|[1]
16:35:20.0 (13058498)|STATEMENT_EXECUTE|[1]
16:35:20.0 (13076338)|HEAP_ALLOCATE|[26]|Bytes:5
16:35:20.0 (13080799)|STATEMENT_EXECUTE|[998]
16:35:20.0 (13082969)|STATEMENT_EXECUTE|[1015]
16:35:20.0 (13085059)|STATEMENT_EXECUTE|[1036]
16:35:20.0 (13096919)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:35:20.0 (13137950)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:35:20.0 (13184711)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:35:20.0 (13209211)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008rBlWAAU"]|0x37adc03e
16:35:20.0 (13220252)|HEAP_ALLOCATE|[59]|Bytes:5
16:35:20.0 (13227452)|STATEMENT_EXECUTE|[57]
16:35:20.0 (13230052)|STATEMENT_EXECUTE|[59]
16:35:20.0 (13234762)|HEAP_ALLOCATE|[59]|Bytes:27
16:35:20.0 (16220905)|HEAP_ALLOCATE|[59]|Bytes:96
16:35:20.0 (16240706)|HEAP_ALLOCATE|[59]|Bytes:69
16:35:20.0 (16408369)|HEAP_ALLOCATE|[59]|Bytes:33
16:35:20.0 (16426870)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:35:20.0 (16432260)|STATEMENT_EXECUTE|[1]
16:35:20.0 (16442560)|SYSTEM_METHOD_EXIT|[1]|Type
16:35:20.0 (16451560)|HEAP_ALLOCATE|[59]|Bytes:8
16:35:20.0 (16468400)|HEAP_ALLOCATE|[59]|Bytes:8
16:35:20.0 (16473471)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:35:20.0 (16510521)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4c6d23b0
16:35:20.0 (16515591)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:35:20.0 (16603453)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x41b704b3
16:35:20.0 (18623646)|HEAP_ALLOCATE|[59]|Bytes:8
16:35:20.0 (18664287)|HEAP_ALLOCATE|[59]|Bytes:24
16:35:20.0 (18675137)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:35:20.0 (18679397)|STATEMENT_EXECUTE|[1]
16:35:20.0 (18685877)|SYSTEM_METHOD_EXIT|[1]|JSON
16:35:20.0 (18703878)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:35:20.0 (19643758)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:35:20.0 (19657088)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
