44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:06:16.0 (141764)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:06:16.0 (178335)|EXECUTION_STARTED
17:06:16.0 (188315)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:06:16.0 (1040530)|HEAP_ALLOCATE|[95]|Bytes:3
17:06:16.0 (1132423)|HEAP_ALLOCATE|[100]|Bytes:152
17:06:16.0 (1153073)|HEAP_ALLOCATE|[417]|Bytes:408
17:06:16.0 (1168304)|HEAP_ALLOCATE|[430]|Bytes:408
17:06:16.0 (1199034)|HEAP_ALLOCATE|[317]|Bytes:6
17:06:16.0 (1225725)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:06:16.0 (1231695)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:06:16.0 (1235055)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:06:16.0 (1246806)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:06:16.0 (1253096)|STATEMENT_EXECUTE|[1]
17:06:16.0 (1257816)|STATEMENT_EXECUTE|[1]
17:06:16.0 (1290588)|HEAP_ALLOCATE|[68]|Bytes:5
17:06:16.0 (1315549)|HEAP_ALLOCATE|[74]|Bytes:5
17:06:16.0 (1324888)|HEAP_ALLOCATE|[82]|Bytes:7
17:06:16.0 (1337389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:06:16.0 (1350190)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:06:16.0 (1355750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:16.0 (1364459)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:06:16.0 (1371369)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:06:16.0 (1374809)|STATEMENT_EXECUTE|[15]
17:06:16.0 (1382031)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:06:16.0 (1386250)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:06:16.0 (1423512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:16.0 (1429162)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:06:16.0 (1505653)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x42d6e7ec"}|0x3c6bc9c9
17:06:16.0 (1512124)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:06:16.0 (1661338)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1a33eec5
17:06:16.0 (1668239)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:06:16.0 (1998818)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:12:14.000Z","Account":{"Id":"001e200000PV6qnAAD","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVhf0AAD","AccountId":"001e200000PV6qnAAD"}]|0x300009c3
17:06:16.0 (2023109)|HEAP_ALLOCATE|[20]|Bytes:5
17:06:16.0 (2029269)|STATEMENT_EXECUTE|[19]
17:06:16.0 (2031829)|STATEMENT_EXECUTE|[20]
17:06:16.0 (2035460)|HEAP_ALLOCATE|[20]|Bytes:18
17:06:16.0 (2091191)|HEAP_ALLOCATE|[20]|Bytes:1
17:06:16.0 (2107582)|HEAP_ALLOCATE|[20]|Bytes:19
17:06:16.0 (2133452)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:06:16.0 (2144213)|STATEMENT_EXECUTE|[21]
17:06:16.0 (2160793)|HEAP_ALLOCATE|[21]|Bytes:4
17:06:16.0 (2209684)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3c6bc9c9
17:06:16.0 (2249286)|HEAP_ALLOCATE|[22]|Bytes:5
17:06:16.0 (2289817)|HEAP_ALLOCATE|[22]|Bytes:20
17:06:16.0 (2301957)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
