44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:06:25.0 (157405)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:06:25.0 (192596)|EXECUTION_STARTED
17:06:25.0 (202596)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:06:25.0 (938089)|HEAP_ALLOCATE|[95]|Bytes:3
17:06:25.0 (1017661)|HEAP_ALLOCATE|[100]|Bytes:152
17:06:25.0 (1177506)|HEAP_ALLOCATE|[417]|Bytes:408
17:06:25.0 (1219907)|HEAP_ALLOCATE|[430]|Bytes:408
17:06:25.0 (1269978)|HEAP_ALLOCATE|[317]|Bytes:6
17:06:25.0 (1309800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:06:25.0 (1315700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:06:25.0 (1319200)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:06:25.0 (1329820)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:06:25.0 (1336200)|STATEMENT_EXECUTE|[1]
17:06:25.0 (1341721)|STATEMENT_EXECUTE|[1]
17:06:25.0 (1374421)|HEAP_ALLOCATE|[68]|Bytes:5
17:06:25.0 (1403212)|HEAP_ALLOCATE|[74]|Bytes:5
17:06:25.0 (1420643)|HEAP_ALLOCATE|[82]|Bytes:7
17:06:25.0 (1432673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:06:25.0 (1445894)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:06:25.0 (1451804)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:25.0 (1467884)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:06:25.0 (1474974)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:06:25.0 (1479575)|STATEMENT_EXECUTE|[15]
17:06:25.0 (1486645)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:06:25.0 (1490865)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:06:25.0 (1530036)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:25.0 (1536066)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:06:25.0 (1607238)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x4e994898"}|0x3c6bc9c9
17:06:25.0 (1613698)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:06:25.0 (1807484)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1a33eec5
17:06:25.0 (1814664)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:06:25.0 (2195445)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:13:37.000Z","Account":{"Id":"001e200000PV725AAD","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVbeXAAT","AccountId":"001e200000PV725AAD"}]|0x6cd3383b
17:06:25.0 (2222437)|HEAP_ALLOCATE|[20]|Bytes:5
17:06:25.0 (2229496)|STATEMENT_EXECUTE|[19]
17:06:25.0 (2231966)|STATEMENT_EXECUTE|[20]
17:06:25.0 (2235657)|HEAP_ALLOCATE|[20]|Bytes:18
17:06:25.0 (2291138)|HEAP_ALLOCATE|[20]|Bytes:1
17:06:25.0 (2309120)|HEAP_ALLOCATE|[20]|Bytes:19
17:06:25.0 (2334369)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:06:25.0 (2345180)|STATEMENT_EXECUTE|[21]
17:06:25.0 (2362310)|HEAP_ALLOCATE|[21]|Bytes:4
17:06:25.0 (2412542)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3c6bc9c9
