44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:09:49.0 (146474)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:09:49.0 (185824)|EXECUTION_STARTED
17:09:49.0 (199765)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:09:49.0 (955863)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:49.0 (1056626)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:49.0 (1080516)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:49.0 (1102606)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:49.0 (1134138)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:49.0 (1159758)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:09:49.0 (1166068)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:09:49.0 (1169408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:09:49.0 (1178149)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:09:49.0 (1183469)|STATEMENT_EXECUTE|[1]
17:09:49.0 (1189109)|STATEMENT_EXECUTE|[1]
17:09:49.0 (1239009)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:49.0 (1264841)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:49.0 (1274951)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:49.0 (1284831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:49.0 (1297542)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:09:49.0 (1302162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:49.0 (1311411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:09:49.0 (1316922)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:09:49.0 (1321072)|STATEMENT_EXECUTE|[15]
17:09:49.0 (1327362)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:09:49.0 (1331222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:09:49.0 (1362153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:49.0 (1367953)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:09:49.0 (1438755)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x5cbab41"}|0x44d0214
17:09:49.0 (1445075)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:09:49.0 (1628619)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x399fe980
17:09:49.0 (1637050)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:09:49.0 (1802594)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:36:11.000Z","Account":{"Id":"0017F00001biunrQAA","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVoBqAAL","AccountId":"0017F00001biunrQAA"}]|0x38dde9f8
17:09:49.0 (1822834)|HEAP_ALLOCATE|[20]|Bytes:5
17:09:49.0 (1829423)|STATEMENT_EXECUTE|[19]
17:09:49.0 (1831703)|STATEMENT_EXECUTE|[20]
17:09:49.0 (1835175)|HEAP_ALLOCATE|[20]|Bytes:18
17:09:49.0 (1890585)|HEAP_ALLOCATE|[20]|Bytes:1
17:09:49.0 (1907025)|HEAP_ALLOCATE|[20]|Bytes:19
17:09:49.0 (1931426)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:09:49.0 (1939927)|STATEMENT_EXECUTE|[21]
17:09:49.0 (1952297)|HEAP_ALLOCATE|[21]|Bytes:4
17:09:49.0 (1994488)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x44d0214
17:09:49.0 (2038899)|HEAP_ALLOCATE|[22]|Bytes:5
17:09:49.0 (2089171)|HEAP_ALLOCATE|[22]|Bytes:20
17:09:49.0 (2105070)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
17:09:49.0 (2181023)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:36:11.000Z","Account":{"Id":"0017F00001biunrQAA","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVoBqAAL","AccountId":"0017F00001biunrQAA"}|0x2cb79bf2
17:09:49.0 (2188903)|STATEMENT_EXECUTE|[22]
17:09:49.0 (2191232)|STATEMENT_EXECUTE|[23]
17:09:49.0 (2215704)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:49.0 (2233033)|HEAP_ALLOCATE|[22]|Bytes:5
17:09:49.0 (2247764)|VARIABLE_ASSIGNMENT|[22]|obj|null|
17:09:49.0 (2252865)|STATEMENT_EXECUTE|[26]
17:09:49.0 (2255765)|HEAP_ALLOCATE|[26]|Bytes:13
17:09:49.0 (2278234)|HEAP_ALLOCATE|[26]|Bytes:1
17:09:49.0 (2305226)|HEAP_ALLOCATE|[26]|Bytes:14
17:09:49.0 (2316466)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
17:09:49.0 (2323746)|STATEMENT_EXECUTE|[27]
17:09:49.0 (2339087)|HEAP_ALLOCATE|[27]|Bytes:20
17:09:49.0 (2350217)|HEAP_ALLOCATE|[27]|Bytes:33
17:09:49.0 (2358467)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVoBqAAL}
17:09:49.0 (2374717)|STATEMENT_EXECUTE|[28]
17:09:49.0 (2377037)|STATEMENT_EXECUTE|[29]
17:09:49.0 (2387908)|HEAP_ALLOCATE|[29]|Bytes:122
17:09:49.0 (2392557)|HEAP_ALLOCATE|[29]|Bytes:24
17:09:49.0 (2395818)|HEAP_ALLOCATE|[29]|Bytes:187
17:09:49.0 (2401688)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:09:49.0 (2405698)|STATEMENT_EXECUTE|[1]
17:09:49.0 (2409018)|STATEMENT_EXECUTE|[1]
17:09:49.0 (2414708)|HEAP_ALLOCATE|[29]|Bytes:5
17:09:49.0 (2418749)|STATEMENT_EXECUTE|[998]
17:09:49.0 (2421099)|STATEMENT_EXECUTE|[1015]
17:09:49.0 (2423429)|STATEMENT_EXECUTE|[1036]
17:09:49.0 (2429629)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:09:49.0 (2435969)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:09:49.0 (2441758)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:09:49.0 (2452878)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVoBqAAL"]|0x3e905ac3
17:09:49.0 (2461599)|HEAP_ALLOCATE|[59]|Bytes:5
17:09:49.0 (2466759)|STATEMENT_EXECUTE|[57]
17:09:49.0 (2468980)|STATEMENT_EXECUTE|[59]
17:09:49.0 (2472630)|HEAP_ALLOCATE|[59]|Bytes:27
17:09:49.0 (2508341)|HEAP_ALLOCATE|[59]|Bytes:96
17:09:49.0 (2515731)|HEAP_ALLOCATE|[59]|Bytes:69
17:09:49.0 (2568692)|HEAP_ALLOCATE|[59]|Bytes:33
17:09:49.0 (2577272)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:09:49.0 (2580392)|STATEMENT_EXECUTE|[1]
17:09:49.0 (2585633)|SYSTEM_METHOD_EXIT|[1]|Type
17:09:49.0 (2590602)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:49.0 (2604273)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:49.0 (2608413)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:09:49.0 (2627424)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x349362d5
17:09:49.0 (2632334)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:09:49.0 (2687035)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x1c6d6688
17:09:49.0 (4255162)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:49.0 (4276042)|HEAP_ALLOCATE|[59]|Bytes:24
17:09:49.0 (4284214)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:09:49.0 (4288603)|STATEMENT_EXECUTE|[1]
17:09:49.0 (4293894)|SYSTEM_METHOD_EXIT|[1]|JSON
17:09:49.0 (4302243)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:09:49.0 (4658203)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:09:49.0 (4668323)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:09:49.0 (4699344)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x4db9ccfb
17:09:49.0 (4705644)|HEAP_ALLOCATE|[60]|Bytes:9
17:09:49.0 (4728074)|STATEMENT_EXECUTE|[60]
17:09:49.0 (4730533)|STATEMENT_EXECUTE|[67]
17:09:49.0 (4732573)|STATEMENT_EXECUTE|[67]
17:09:49.0 (4734594)|STATEMENT_EXECUTE|[68]
17:09:49.0 (4774505)|HEAP_ALLOCATE|[68]|Bytes:4
17:09:49.0 (4809946)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:09:49.0 (4822426)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x62939a53
17:09:49.0 (4828037)|STATEMENT_EXECUTE|[70]
17:09:49.0 (4838867)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:09:49.0 (4844157)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:09:49.0 (4849147)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:09:49.0 (4855227)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:09:49.0 (4860127)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:09:49.0 (4864927)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:09:49.0 (4873177)|HEAP_ALLOCATE|[70]|Bytes:150
17:09:49.0 (4878008)|HEAP_ALLOCATE|[70]|Bytes:51
17:09:49.0 (4882668)|HEAP_ALLOCATE|[70]|Bytes:13
17:09:49.0 (4891628)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:09:49.0 (4896518)|HEAP_ALLOCATE|[70]|Bytes:7
17:09:49.0 (4903668)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
17:09:49.0 (4938319)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
17:09:49.0 (4943049)|STATEMENT_EXECUTE|[6]
17:09:49.0 (4946429)|STATEMENT_EXECUTE|[6]
17:09:49.0 (6275801)|SYSTEM_MODE_ENTER|false
17:09:49.0 (6288962)|HEAP_ALLOCATE|[7]|Bytes:5
17:09:49.0 (6295392)|STATEMENT_EXECUTE|[7]
17:09:49.0 (6300131)|HEAP_ALLOCATE|[7]|Bytes:12
17:09:49.0 (6334233)|HEAP_ALLOCATE|[7]|Bytes:68
