60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:20:08.0 (156624)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:20:08.0 (197574)|EXECUTION_STARTED
16:20:08.0 (213845)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:20:08.0 (747787)|HEAP_ALLOCATE|[95]|Bytes:3
16:20:08.0 (826779)|HEAP_ALLOCATE|[100]|Bytes:152
16:20:08.0 (845760)|HEAP_ALLOCATE|[417]|Bytes:408
16:20:08.0 (862060)|HEAP_ALLOCATE|[430]|Bytes:408
16:20:08.0 (890401)|HEAP_ALLOCATE|[317]|Bytes:6
16:20:08.0 (913981)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:20:08.0 (919641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:20:08.0 (922952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:20:08.0 (931382)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:20:08.0 (937072)|STATEMENT_EXECUTE|[1]
16:20:08.0 (943722)|STATEMENT_EXECUTE|[1]
16:20:08.0 (973853)|HEAP_ALLOCATE|[68]|Bytes:5
16:20:08.0 (1002773)|HEAP_ALLOCATE|[74]|Bytes:5
16:20:08.0 (1013064)|HEAP_ALLOCATE|[82]|Bytes:7
16:20:08.0 (1023554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:20:08.0 (1035454)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:20:08.0 (1040304)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:08.0 (1049604)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:20:08.0 (1055635)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:20:08.0 (1058975)|STATEMENT_EXECUTE|[15]
16:20:08.0 (1064675)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:20:08.0 (1068475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:20:08.0 (1100046)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:08.0 (1106056)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:20:08.0 (1172917)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1004c900"}|0x110fe3d2
16:20:08.0 (1178338)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:20:08.0 (1316671)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:20:08.0 (1324261)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:20:08.0 (1641808)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001b9EOwQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b9EOwQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yJjKAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yJjKAAU"},"CreatedDate":"2025-09-29T05:38:44.000Z","Coupon_Type__c":"P","Id":"801e2000007vtLXAAY","RMD_ECC_Order_ID__c":"6691206149"}]|0x52f7ba65
16:20:08.0 (1665709)|HEAP_ALLOCATE|[17]|Bytes:5
16:20:08.0 (1673549)|STATEMENT_EXECUTE|[16]
16:20:08.0 (1675849)|STATEMENT_EXECUTE|[17]
16:20:08.0 (1679089)|HEAP_ALLOCATE|[17]|Bytes:18
16:20:08.0 (1769361)|HEAP_ALLOCATE|[17]|Bytes:1
16:20:08.0 (1788292)|HEAP_ALLOCATE|[17]|Bytes:19
16:20:08.0 (1815402)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:20:08.0 (1824333)|STATEMENT_EXECUTE|[18]
16:20:08.0 (1836603)|HEAP_ALLOCATE|[18]|Bytes:4
16:20:08.0 (1879464)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:20:08.0 (1914725)|HEAP_ALLOCATE|[19]|Bytes:5
16:20:08.0 (1957516)|HEAP_ALLOCATE|[19]|Bytes:44
