60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:20:37.0 (156275)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:20:37.0 (182495)|EXECUTION_STARTED
16:20:37.0 (194415)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:20:37.0 (631006)|HEAP_ALLOCATE|[95]|Bytes:3
16:20:37.0 (710918)|HEAP_ALLOCATE|[100]|Bytes:152
16:20:37.0 (726988)|HEAP_ALLOCATE|[417]|Bytes:408
16:20:37.0 (742138)|HEAP_ALLOCATE|[430]|Bytes:408
16:20:37.0 (768179)|HEAP_ALLOCATE|[317]|Bytes:6
16:20:37.0 (792389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:20:37.0 (799650)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:20:37.0 (803000)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:20:37.0 (811441)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:20:37.0 (816140)|STATEMENT_EXECUTE|[1]
16:20:37.0 (821430)|STATEMENT_EXECUTE|[1]
16:20:37.0 (848932)|HEAP_ALLOCATE|[68]|Bytes:5
16:20:37.0 (876071)|HEAP_ALLOCATE|[74]|Bytes:5
16:20:37.0 (885901)|HEAP_ALLOCATE|[82]|Bytes:7
16:20:37.0 (897253)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:20:37.0 (908632)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:20:37.0 (913693)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:37.0 (921773)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:20:37.0 (927133)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:20:37.0 (930262)|STATEMENT_EXECUTE|[15]
16:20:37.0 (936193)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:20:37.0 (939903)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:20:37.0 (967193)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:20:37.0 (972614)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:20:37.0 (1027385)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2b156ab3"}|0x110fe3d2
16:20:37.0 (1033206)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:20:37.0 (1154868)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:20:37.0 (1161369)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:20:37.0 (1399855)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b96OfQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b96OfQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yuKbAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yuKbAAI"},"CreatedDate":"2025-09-29T05:36:12.000Z","Id":"801e2000007w7WbAAI","RMD_ECC_Order_ID__c":"6691206099"}]|0x37b83802
16:20:37.0 (1417234)|HEAP_ALLOCATE|[17]|Bytes:5
16:20:37.0 (1422354)|STATEMENT_EXECUTE|[16]
16:20:37.0 (1424634)|STATEMENT_EXECUTE|[17]
16:20:37.0 (1427735)|HEAP_ALLOCATE|[17]|Bytes:18
16:20:37.0 (1479675)|HEAP_ALLOCATE|[17]|Bytes:1
16:20:37.0 (1496206)|HEAP_ALLOCATE|[17]|Bytes:19
16:20:37.0 (1520596)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:20:37.0 (1530677)|STATEMENT_EXECUTE|[18]
16:20:37.0 (1541778)|HEAP_ALLOCATE|[18]|Bytes:4
16:20:37.0 (1581349)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:20:37.0 (1617239)|HEAP_ALLOCATE|[19]|Bytes:5
16:20:37.0 (1656970)|HEAP_ALLOCATE|[19]|Bytes:40
16:20:37.0 (1669711)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:20:37.0 (1768313)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b96OfQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b96OfQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yuKbAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yuKbAAI"},"CreatedDate":"2025-09-29T05:36:12.000Z","Id":"801e2000007w7WbAAI","RMD_ECC_Order_ID__c":"6691206099"}|0x7418574
16:20:37.0 (1778103)|STATEMENT_EXECUTE|[19]
16:20:37.0 (1780603)|STATEMENT_EXECUTE|[20]
16:20:37.0 (1804523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:20:37.0 (1819123)|HEAP_ALLOCATE|[19]|Bytes:5
16:20:37.0 (1832345)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:20:37.0 (1837595)|STATEMENT_EXECUTE|[23]
16:20:37.0 (1840414)|HEAP_ALLOCATE|[23]|Bytes:13
16:20:37.0 (1864265)|HEAP_ALLOCATE|[23]|Bytes:1
16:20:37.0 (1876316)|HEAP_ALLOCATE|[23]|Bytes:14
16:20:37.0 (1885756)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:20:37.0 (1893116)|STATEMENT_EXECUTE|[24]
16:20:37.0 (1942966)|HEAP_ALLOCATE|[24]|Bytes:20
16:20:37.0 (1957278)|HEAP_ALLOCATE|[24]|Bytes:33
16:20:37.0 (1967028)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007w7WbAAI}
16:20:37.0 (1985767)|STATEMENT_EXECUTE|[25]
16:20:37.0 (1988097)|STATEMENT_EXECUTE|[26]
16:20:37.0 (1998528)|HEAP_ALLOCATE|[26]|Bytes:122
16:20:37.0 (2003759)|HEAP_ALLOCATE|[26]|Bytes:24
16:20:37.0 (2007418)|HEAP_ALLOCATE|[26]|Bytes:187
16:20:37.0 (2014189)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:20:37.0 (2018519)|STATEMENT_EXECUTE|[1]
16:20:37.0 (2021648)|STATEMENT_EXECUTE|[1]
16:20:37.0 (2026978)|HEAP_ALLOCATE|[26]|Bytes:5
16:20:37.0 (2031079)|STATEMENT_EXECUTE|[998]
16:20:37.0 (2033479)|STATEMENT_EXECUTE|[1015]
16:20:37.0 (2035579)|STATEMENT_EXECUTE|[1036]
16:20:37.0 (2041009)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:20:37.0 (2047539)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:20:37.0 (2053649)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:20:37.0 (2063969)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007w7WbAAI"]|0x73f6a5a
16:20:37.0 (2072760)|HEAP_ALLOCATE|[59]|Bytes:5
16:20:37.0 (2077601)|STATEMENT_EXECUTE|[57]
