60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:17:12.0 (179494)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:17:12.0 (222235)|EXECUTION_STARTED
16:17:12.0 (234246)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:17:12.0 (831461)|HEAP_ALLOCATE|[95]|Bytes:3
16:17:12.0 (907582)|HEAP_ALLOCATE|[100]|Bytes:152
16:17:12.0 (925653)|HEAP_ALLOCATE|[417]|Bytes:408
16:17:12.0 (940483)|HEAP_ALLOCATE|[430]|Bytes:408
16:17:12.0 (964144)|HEAP_ALLOCATE|[317]|Bytes:6
16:17:12.0 (988514)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:17:12.0 (993665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:17:12.0 (997025)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:17:12.0 (1006325)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:17:12.0 (1012845)|STATEMENT_EXECUTE|[1]
16:17:12.0 (1019485)|STATEMENT_EXECUTE|[1]
16:17:12.0 (1049436)|HEAP_ALLOCATE|[68]|Bytes:5
16:17:12.0 (1074817)|HEAP_ALLOCATE|[74]|Bytes:5
16:17:12.0 (1083737)|HEAP_ALLOCATE|[82]|Bytes:7
16:17:12.0 (1093747)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:17:12.0 (1104417)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:17:12.0 (1109198)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:12.0 (1118938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:17:12.0 (1125078)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:17:12.0 (1128158)|STATEMENT_EXECUTE|[15]
16:17:12.0 (1133848)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:17:12.0 (1137808)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:17:12.0 (1167839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:12.0 (1173489)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:17:12.0 (1240571)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x17bea54e"}|0x7175f86f
16:17:12.0 (1246221)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:17:12.0 (1382534)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:17:12.0 (1389745)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:17:12.0 (1636891)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bjGtaQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjGtaQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mjG5AAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mjG5AAI"},"CreatedDate":"2025-09-26T06:07:52.000Z","Id":"801e2000007jP6JAAU","RMD_ECC_Order_ID__c":"6691194139"}]|0x3f5d1fd1
16:17:12.0 (1657061)|HEAP_ALLOCATE|[17]|Bytes:5
16:17:12.0 (1662481)|STATEMENT_EXECUTE|[16]
16:17:12.0 (1664811)|STATEMENT_EXECUTE|[17]
16:17:12.0 (1667862)|HEAP_ALLOCATE|[17]|Bytes:18
16:17:12.0 (1719773)|HEAP_ALLOCATE|[17]|Bytes:1
16:17:12.0 (1736833)|HEAP_ALLOCATE|[17]|Bytes:19
16:17:12.0 (1761424)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:17:12.0 (1775344)|STATEMENT_EXECUTE|[18]
16:17:12.0 (1793995)|HEAP_ALLOCATE|[18]|Bytes:4
16:17:12.0 (1843076)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:17:12.0 (1880157)|HEAP_ALLOCATE|[19]|Bytes:5
16:17:12.0 (1919138)|HEAP_ALLOCATE|[19]|Bytes:40
16:17:12.0 (1929898)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:17:12.0 (2049071)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001bjGtaQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjGtaQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mjG5AAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mjG5AAI"},"CreatedDate":"2025-09-26T06:07:52.000Z","Id":"801e2000007jP6JAAU","RMD_ECC_Order_ID__c":"6691194139"}|0x733699a
16:17:12.0 (2058581)|STATEMENT_EXECUTE|[19]
16:17:12.0 (2060771)|STATEMENT_EXECUTE|[20]
16:17:12.0 (2083642)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:17:12.0 (2099852)|HEAP_ALLOCATE|[19]|Bytes:5
16:17:12.0 (2113423)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:17:12.0 (2118613)|STATEMENT_EXECUTE|[23]
16:17:12.0 (2121403)|HEAP_ALLOCATE|[23]|Bytes:13
16:17:12.0 (2144763)|HEAP_ALLOCATE|[23]|Bytes:1
16:17:12.0 (2156624)|HEAP_ALLOCATE|[23]|Bytes:14
16:17:12.0 (2167334)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:17:12.0 (2174864)|STATEMENT_EXECUTE|[24]
16:17:12.0 (2188995)|HEAP_ALLOCATE|[24]|Bytes:20
16:17:12.0 (2200465)|HEAP_ALLOCATE|[24]|Bytes:33
16:17:12.0 (2209265)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jP6JAAU}
16:17:12.0 (2227146)|STATEMENT_EXECUTE|[25]
16:17:12.0 (2229226)|STATEMENT_EXECUTE|[26]
16:17:12.0 (2238856)|HEAP_ALLOCATE|[26]|Bytes:122
16:17:12.0 (2243796)|HEAP_ALLOCATE|[26]|Bytes:24
16:17:12.0 (2248066)|HEAP_ALLOCATE|[26]|Bytes:187
16:17:12.0 (2254246)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:17:12.0 (2258126)|STATEMENT_EXECUTE|[1]
16:17:12.0 (2261926)|STATEMENT_EXECUTE|[1]
16:17:12.0 (2267337)|HEAP_ALLOCATE|[26]|Bytes:5
16:17:12.0 (2272007)|STATEMENT_EXECUTE|[998]
16:17:12.0 (2274387)|STATEMENT_EXECUTE|[1015]
16:17:12.0 (2276707)|STATEMENT_EXECUTE|[1036]
16:17:12.0 (2282687)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:17:12.0 (2290467)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:17:12.0 (2296257)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:17:12.0 (2306417)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jP6JAAU"]|0x737fd81b
16:17:12.0 (2315378)|HEAP_ALLOCATE|[59]|Bytes:5
16:17:12.0 (2320228)|STATEMENT_EXECUTE|[57]
16:17:12.0 (2322428)|STATEMENT_EXECUTE|[59]
16:17:12.0 (2325918)|HEAP_ALLOCATE|[59]|Bytes:27
16:17:12.0 (2359799)|HEAP_ALLOCATE|[59]|Bytes:96
16:17:12.0 (2366639)|HEAP_ALLOCATE|[59]|Bytes:69
16:17:12.0 (2427321)|HEAP_ALLOCATE|[59]|Bytes:33
16:17:12.0 (2435531)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:17:12.0 (2438891)|STATEMENT_EXECUTE|[1]
16:17:12.0 (2444901)|SYSTEM_METHOD_EXIT|[1]|Type
16:17:12.0 (2450201)|HEAP_ALLOCATE|[59]|Bytes:8
16:17:12.0 (2463841)|HEAP_ALLOCATE|[59]|Bytes:8
16:17:12.0 (2468132)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:17:12.0 (2486882)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x301e1abc
