44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:41.0 (150397)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:51:41.0 (220350)|EXECUTION_STARTED
16:51:41.0 (257423)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:51:41.0 (628912)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:41.0 (712105)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:41.0 (729957)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:41.0 (744067)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:41.0 (772799)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:41.0 (805500)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:41.0 (814001)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:51:41.0 (819932)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:41.0 (836591)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:51:41.0 (844573)|STATEMENT_EXECUTE|[1]
16:51:41.0 (850062)|STATEMENT_EXECUTE|[1]
16:51:41.0 (880704)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:41.0 (910886)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:41.0 (920687)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:41.0 (932217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:41.0 (945667)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:51:41.0 (951117)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:41.0 (960668)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:41.0 (967089)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:41.0 (970539)|STATEMENT_EXECUTE|[15]
16:51:41.0 (976420)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:41.0 (980039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:41.0 (1009750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:41.0 (1016222)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:51:41.0 (1081225)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x386f61ca"}|0x101007a7
16:51:41.0 (1086244)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:51:41.0 (1273994)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:51:41.0 (1281195)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:51:41.0 (1640803)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:27:44.000Z","Account":{"Id":"0012t000002W3xcAAC","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVLhlAAH","AccountId":"0012t000002W3xcAAC"}]|0x65ce3e05
16:51:41.0 (1660903)|HEAP_ALLOCATE|[20]|Bytes:5
16:51:41.0 (1665884)|STATEMENT_EXECUTE|[19]
16:51:41.0 (1668303)|STATEMENT_EXECUTE|[20]
16:51:41.0 (1672554)|HEAP_ALLOCATE|[20]|Bytes:18
16:51:41.0 (1724937)|HEAP_ALLOCATE|[20]|Bytes:1
16:51:41.0 (1740517)|HEAP_ALLOCATE|[20]|Bytes:19
16:51:41.0 (1764438)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:51:41.0 (1773989)|STATEMENT_EXECUTE|[21]
16:51:41.0 (1787269)|HEAP_ALLOCATE|[21]|Bytes:4
16:51:41.0 (1829412)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:51:41.0 (1866113)|HEAP_ALLOCATE|[22]|Bytes:5
16:51:41.0 (1903765)|HEAP_ALLOCATE|[22]|Bytes:20
16:51:41.0 (1914206)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:51:41.0 (1979569)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:27:44.000Z","Account":{"Id":"0012t000002W3xcAAC","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVLhlAAH","AccountId":"0012t000002W3xcAAC"}|0x240250b6
16:51:41.0 (1987820)|STATEMENT_EXECUTE|[22]
16:51:41.0 (1989960)|STATEMENT_EXECUTE|[23]
16:51:41.0 (2016112)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:51:41.0 (2031412)|HEAP_ALLOCATE|[22]|Bytes:5
16:51:41.0 (2043772)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:51:41.0 (2048743)|STATEMENT_EXECUTE|[26]
16:51:41.0 (2052704)|HEAP_ALLOCATE|[26]|Bytes:13
16:51:41.0 (2076734)|HEAP_ALLOCATE|[26]|Bytes:1
16:51:41.0 (2088844)|HEAP_ALLOCATE|[26]|Bytes:14
16:51:41.0 (2097986)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:51:41.0 (2105036)|STATEMENT_EXECUTE|[27]
16:51:41.0 (2120736)|HEAP_ALLOCATE|[27]|Bytes:20
16:51:41.0 (2131428)|HEAP_ALLOCATE|[27]|Bytes:33
16:51:41.0 (2139388)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVLhlAAH}
16:51:41.0 (2157909)|STATEMENT_EXECUTE|[28]
16:51:41.0 (2160138)|STATEMENT_EXECUTE|[29]
16:51:41.0 (2171310)|HEAP_ALLOCATE|[29]|Bytes:122
16:51:41.0 (2176019)|HEAP_ALLOCATE|[29]|Bytes:24
16:51:41.0 (2179110)|HEAP_ALLOCATE|[29]|Bytes:187
16:51:41.0 (2187790)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
