60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:28.0 (211125)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:51:28.0 (282446)|EXECUTION_STARTED
16:51:28.0 (299906)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:51:28.0 (780408)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:28.0 (861559)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:28.0 (882831)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:28.0 (904840)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:28.0 (942072)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:28.0 (973553)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:28.0 (982213)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:51:28.0 (988173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:28.0 (1003673)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:51:28.0 (1013814)|STATEMENT_EXECUTE|[1]
16:51:28.0 (1020494)|STATEMENT_EXECUTE|[1]
16:51:28.0 (1049054)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:28.0 (1070535)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:28.0 (1081265)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:28.0 (1095616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:28.0 (1112716)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:51:28.0 (1121796)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:28.0 (1134366)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:28.0 (1143347)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:28.0 (1147126)|STATEMENT_EXECUTE|[15]
16:51:28.0 (1153467)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:28.0 (1157147)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:28.0 (1177838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
