60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:37.0 (181165)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:37.0 (217856)|EXECUTION_STARTED
16:42:37.0 (228706)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:37.0 (1473455)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:37.0 (1569117)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:37.0 (1589209)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:37.0 (1604539)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:37.0 (1635629)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:37.0 (1662510)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:37.0 (1667861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:37.0 (1670981)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:37.0 (1679251)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:37.0 (1685391)|STATEMENT_EXECUTE|[1]
16:42:37.0 (1690212)|STATEMENT_EXECUTE|[1]
16:42:37.0 (1722802)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:37.0 (1750224)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:37.0 (1760923)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:37.0 (1772054)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:37.0 (1784345)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:37.0 (1789835)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:37.0 (1798435)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:37.0 (1804545)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:37.0 (1807945)|STATEMENT_EXECUTE|[15]
16:42:37.0 (1813895)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:37.0 (1817856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:37.0 (1855206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:37.0 (1861867)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:42:37.0 (1933219)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2ee5ec42"}|0x121d8d58
16:42:37.0 (1940109)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:42:37.0 (2143275)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:42:37.0 (2151415)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:42:37.0 (2477776)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjB3SQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjB3SQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075VtaAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075VtaAAE"},"CreatedDate":"2025-10-14T06:51:52.000Z","Id":"801e20000098LbcAAE","RMD_ECC_Order_ID__c":"6691270961"}]|0x2d42d86e
16:42:37.0 (2510127)|HEAP_ALLOCATE|[17]|Bytes:5
16:42:37.0 (2517627)|STATEMENT_EXECUTE|[16]
16:42:37.0 (2520417)|STATEMENT_EXECUTE|[17]
16:42:37.0 (2524727)|HEAP_ALLOCATE|[17]|Bytes:18
16:42:37.0 (2589769)|HEAP_ALLOCATE|[17]|Bytes:1
16:42:37.0 (2609020)|HEAP_ALLOCATE|[17]|Bytes:19
16:42:37.0 (2634130)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:42:37.0 (2643861)|STATEMENT_EXECUTE|[18]
16:42:37.0 (2658141)|HEAP_ALLOCATE|[18]|Bytes:4
16:42:37.0 (2709953)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:42:37.0 (2746144)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:37.0 (2789465)|HEAP_ALLOCATE|[19]|Bytes:40
16:42:37.0 (2801105)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:42:37.0 (2952220)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bjB3SQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjB3SQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075VtaAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075VtaAAE"},"CreatedDate":"2025-10-14T06:51:52.000Z","Id":"801e20000098LbcAAE","RMD_ECC_Order_ID__c":"6691270961"}|0x4d6d677
16:42:37.0 (2962610)|STATEMENT_EXECUTE|[19]
16:42:37.0 (2964850)|STATEMENT_EXECUTE|[20]
16:42:37.0 (3013982)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:42:37.0 (3035362)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:37.0 (3049513)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:42:37.0 (3055443)|STATEMENT_EXECUTE|[23]
16:42:37.0 (3058453)|HEAP_ALLOCATE|[23]|Bytes:13
16:42:37.0 (3086074)|HEAP_ALLOCATE|[23]|Bytes:1
16:42:37.0 (3099584)|HEAP_ALLOCATE|[23]|Bytes:14
16:42:37.0 (3112345)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:42:37.0 (3120445)|STATEMENT_EXECUTE|[24]
16:42:37.0 (3134775)|HEAP_ALLOCATE|[24]|Bytes:20
16:42:37.0 (3145556)|HEAP_ALLOCATE|[24]|Bytes:33
16:42:37.0 (3154876)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098LbcAAE}
16:42:37.0 (3172757)|STATEMENT_EXECUTE|[25]
16:42:37.0 (3174927)|STATEMENT_EXECUTE|[26]
16:42:37.0 (3186187)|HEAP_ALLOCATE|[26]|Bytes:122
16:42:37.0 (3192197)|HEAP_ALLOCATE|[26]|Bytes:24
16:42:37.0 (3195947)|HEAP_ALLOCATE|[26]|Bytes:187
16:42:37.0 (3203708)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
