60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:17:49.0 (189104)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:17:49.0 (231865)|EXECUTION_STARTED
16:17:49.0 (246816)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:17:49.0 (754538)|HEAP_ALLOCATE|[95]|Bytes:3
16:17:49.0 (846071)|HEAP_ALLOCATE|[100]|Bytes:152
16:17:49.0 (868571)|HEAP_ALLOCATE|[417]|Bytes:408
16:17:49.0 (890792)|HEAP_ALLOCATE|[430]|Bytes:408
16:17:49.0 (924663)|HEAP_ALLOCATE|[317]|Bytes:6
16:17:49.0 (954983)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:17:49.0 (962334)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:17:49.0 (967004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:17:49.0 (979514)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:17:49.0 (986484)|STATEMENT_EXECUTE|[1]
16:17:49.0 (993544)|STATEMENT_EXECUTE|[1]
16:17:49.0 (1022325)|HEAP_ALLOCATE|[68]|Bytes:5
16:17:49.0 (1056706)|HEAP_ALLOCATE|[74]|Bytes:5
16:17:49.0 (1070486)|HEAP_ALLOCATE|[82]|Bytes:7
16:17:49.0 (1086027)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:17:49.0 (1100317)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:17:49.0 (1107227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:49.0 (1120718)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:17:49.0 (1130578)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:17:49.0 (1134468)|STATEMENT_EXECUTE|[15]
16:17:49.0 (1141738)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:17:49.0 (1145838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:17:49.0 (1173319)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:49.0 (1180719)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:17:49.0 (1269501)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x287f4a89"}|0x7175f86f
16:17:49.0 (1276581)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:17:49.0 (1399415)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:17:49.0 (1405025)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:17:49.0 (1675871)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie00000958cLIAQ","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000958cLIAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mwJoAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mwJoAAI"},"CreatedDate":"2025-09-26T07:03:31.000Z","Id":"801e2000007jQvNAAU","RMD_ECC_Order_ID__c":"6691196763"}]|0xeeb2256
16:17:49.0 (1696692)|HEAP_ALLOCATE|[17]|Bytes:5
16:17:49.0 (1703262)|STATEMENT_EXECUTE|[16]
16:17:49.0 (1705642)|STATEMENT_EXECUTE|[17]
16:17:49.0 (1709032)|HEAP_ALLOCATE|[17]|Bytes:18
16:17:49.0 (1765704)|HEAP_ALLOCATE|[17]|Bytes:1
16:17:49.0 (1791374)|HEAP_ALLOCATE|[17]|Bytes:19
16:17:49.0 (1818105)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:17:49.0 (1830975)|STATEMENT_EXECUTE|[18]
16:17:49.0 (1846326)|HEAP_ALLOCATE|[18]|Bytes:4
16:17:49.0 (1889017)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:17:49.0 (1920507)|HEAP_ALLOCATE|[19]|Bytes:5
16:17:49.0 (1955388)|HEAP_ALLOCATE|[19]|Bytes:40
16:17:49.0 (1967659)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
