60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:24.0 (181434)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:15:24.0 (215355)|EXECUTION_STARTED
16:15:24.0 (228766)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:15:24.0 (1482064)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:24.0 (1591197)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:24.0 (1609047)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:24.0 (1625428)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:24.0 (1651518)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:24.0 (1677199)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:24.0 (1682289)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:15:24.0 (1685689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:24.0 (1695849)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:15:24.0 (1700889)|STATEMENT_EXECUTE|[1]
16:15:24.0 (1706090)|STATEMENT_EXECUTE|[1]
16:15:24.0 (1735620)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:24.0 (1771701)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:24.0 (1783001)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:24.0 (1793512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:24.0 (1805232)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:15:24.0 (1810652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:24.0 (1819582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:24.0 (1825662)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:24.0 (1829002)|STATEMENT_EXECUTE|[15]
16:15:24.0 (1834922)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:24.0 (1838523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:24.0 (1866293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:24.0 (1872163)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:15:24.0 (1935745)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x60a639e"}|0x7c4f7bc8
16:15:24.0 (1942025)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:15:24.0 (2100379)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7fa9afcd
16:15:24.0 (2106869)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:15:24.0 (2436006)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b926oQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b926oQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mIasAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mIasAAE"},"CreatedDate":"2025-09-26T05:31:54.000Z","Id":"801e2000007jASEAA2","RMD_ECC_Order_ID__c":"6691193443"}]|0x767f75bb
16:15:24.0 (2455867)|HEAP_ALLOCATE|[17]|Bytes:5
16:15:24.0 (2460897)|STATEMENT_EXECUTE|[16]
16:15:24.0 (2463187)|STATEMENT_EXECUTE|[17]
