60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:16.0 (191724)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:16.0 (226415)|EXECUTION_STARTED
16:16:16.0 (242505)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:16.0 (1490344)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:16.0 (1604687)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:16.0 (1625077)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:16.0 (1641967)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:16.0 (1667888)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:16.0 (1694009)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:16.0 (1699639)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:16.0 (1703519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:16.0 (1715129)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:16.0 (1723119)|STATEMENT_EXECUTE|[1]
16:16:16.0 (1728569)|STATEMENT_EXECUTE|[1]
16:16:16.0 (1762060)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:16.0 (1790541)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:16.0 (1800591)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:16.0 (1812711)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:16.0 (1825582)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:16.0 (1831922)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:16.0 (1841552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:16.0 (1849762)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:16.0 (1853682)|STATEMENT_EXECUTE|[15]
16:16:16.0 (1860322)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:16.0 (1865203)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:16.0 (1900503)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:16.0 (1908264)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:16.0 (1987185)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x4b278c3f"}|0x7c4f7bc8
16:16:16.0 (1993646)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:16.0 (2161769)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7fa9afcd
16:16:16.0 (2169010)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:16.0 (2467476)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000007X69DAAS","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000007X69DAAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005maxbAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005maxbAAA"},"CreatedDate":"2025-09-26T06:27:37.000Z","Id":"801e2000007jH3wAAE","RMD_ECC_Order_ID__c":"6691194587"}]|0x7a1ef669
16:16:16.0 (2491707)|HEAP_ALLOCATE|[17]|Bytes:5
16:16:16.0 (2497147)|STATEMENT_EXECUTE|[16]
16:16:16.0 (2499397)|STATEMENT_EXECUTE|[17]
16:16:16.0 (2502967)|HEAP_ALLOCATE|[17]|Bytes:18
16:16:16.0 (2604580)|HEAP_ALLOCATE|[17]|Bytes:1
16:16:16.0 (2622450)|HEAP_ALLOCATE|[17]|Bytes:19
16:16:16.0 (2646671)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:16:16.0 (2656511)|STATEMENT_EXECUTE|[18]
16:16:16.0 (2671911)|HEAP_ALLOCATE|[18]|Bytes:4
16:16:16.0 (2719942)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7c4f7bc8
16:16:16.0 (2755823)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:16.0 (2800874)|HEAP_ALLOCATE|[19]|Bytes:40
16:16:16.0 (2813514)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:16:16.0 (2951118)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t000007X69DAAS","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000007X69DAAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005maxbAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005maxbAAA"},"CreatedDate":"2025-09-26T06:27:37.000Z","Id":"801e2000007jH3wAAE","RMD_ECC_Order_ID__c":"6691194587"}|0x4c733486
16:16:16.0 (2961528)|STATEMENT_EXECUTE|[19]
16:16:16.0 (2964148)|STATEMENT_EXECUTE|[20]
16:16:16.0 (2988788)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:16.0 (3004839)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:16.0 (3017619)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:16:16.0 (3022859)|STATEMENT_EXECUTE|[23]
16:16:16.0 (3025759)|HEAP_ALLOCATE|[23]|Bytes:13
16:16:16.0 (3048140)|HEAP_ALLOCATE|[23]|Bytes:1
16:16:16.0 (3059570)|HEAP_ALLOCATE|[23]|Bytes:14
16:16:16.0 (3070750)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:16:16.0 (3078090)|STATEMENT_EXECUTE|[24]
16:16:16.0 (3094271)|HEAP_ALLOCATE|[24]|Bytes:20
16:16:16.0 (3105181)|HEAP_ALLOCATE|[24]|Bytes:33
16:16:16.0 (3114181)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jH3wAAE}
16:16:16.0 (3130482)|STATEMENT_EXECUTE|[25]
16:16:16.0 (3132572)|STATEMENT_EXECUTE|[26]
16:16:16.0 (3143462)|HEAP_ALLOCATE|[26]|Bytes:122
16:16:16.0 (3148402)|HEAP_ALLOCATE|[26]|Bytes:24
16:16:16.0 (3152012)|HEAP_ALLOCATE|[26]|Bytes:187
16:16:16.0 (3159732)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:16.0 (3164342)|STATEMENT_EXECUTE|[1]
16:16:16.0 (3167963)|STATEMENT_EXECUTE|[1]
16:16:16.0 (3174303)|HEAP_ALLOCATE|[26]|Bytes:5
16:16:16.0 (3178423)|STATEMENT_EXECUTE|[998]
16:16:16.0 (3180543)|STATEMENT_EXECUTE|[1015]
16:16:16.0 (3182843)|STATEMENT_EXECUTE|[1036]
16:16:16.0 (3191113)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:16.0 (3200043)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
