60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:48.0 (177786)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:23:48.0 (225747)|EXECUTION_STARTED
16:23:48.0 (238326)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:23:48.0 (645197)|HEAP_ALLOCATE|[95]|Bytes:3
16:23:48.0 (713457)|HEAP_ALLOCATE|[100]|Bytes:152
16:23:48.0 (729738)|HEAP_ALLOCATE|[417]|Bytes:408
16:23:48.0 (744018)|HEAP_ALLOCATE|[430]|Bytes:408
16:23:48.0 (767658)|HEAP_ALLOCATE|[317]|Bytes:6
16:23:48.0 (788499)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:23:48.0 (793640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:23:48.0 (796800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:48.0 (803960)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:23:48.0 (808459)|STATEMENT_EXECUTE|[1]
16:23:48.0 (813471)|STATEMENT_EXECUTE|[1]
16:23:48.0 (832890)|HEAP_ALLOCATE|[68]|Bytes:5
16:23:48.0 (858312)|HEAP_ALLOCATE|[74]|Bytes:5
16:23:48.0 (869011)|HEAP_ALLOCATE|[82]|Bytes:7
16:23:48.0 (878912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:23:48.0 (890592)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:23:48.0 (896662)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:48.0 (905022)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:23:48.0 (910473)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:23:48.0 (913993)|STATEMENT_EXECUTE|[15]
16:23:48.0 (920193)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:23:48.0 (924073)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:23:48.0 (1006315)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:48.0 (1014934)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:23:48.0 (1087656)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xa469c92"}|0x427f84f1
16:23:48.0 (1093226)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:23:48.0 (1224139)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:23:48.0 (1230080)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:23:48.0 (1443344)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000002Qf7nIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002Qf7nIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061QD7AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061QD7AAM"},"CreatedDate":"2025-09-29T12:26:00.000Z","Id":"801e2000007yz6DAAQ","RMD_ECC_Order_ID__c":"6691210497"}]|0x333322b2
16:23:48.0 (1460406)|HEAP_ALLOCATE|[17]|Bytes:5
16:23:48.0 (1465465)|STATEMENT_EXECUTE|[16]
16:23:48.0 (1467825)|STATEMENT_EXECUTE|[17]
16:23:48.0 (1471326)|HEAP_ALLOCATE|[17]|Bytes:18
16:23:48.0 (1516426)|HEAP_ALLOCATE|[17]|Bytes:1
16:23:48.0 (1546387)|HEAP_ALLOCATE|[17]|Bytes:19
16:23:48.0 (1573067)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:23:48.0 (1581908)|STATEMENT_EXECUTE|[18]
16:23:48.0 (1592428)|HEAP_ALLOCATE|[18]|Bytes:4
16:23:48.0 (1630069)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:23:48.0 (1660070)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:48.0 (1695051)|HEAP_ALLOCATE|[19]|Bytes:40
16:23:48.0 (1706801)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:23:48.0 (1826553)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie000002Qf7nIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002Qf7nIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000061QD7AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000061QD7AAM"},"CreatedDate":"2025-09-29T12:26:00.000Z","Id":"801e2000007yz6DAAQ","RMD_ECC_Order_ID__c":"6691210497"}|0x15c2604d
16:23:48.0 (1835434)|STATEMENT_EXECUTE|[19]
16:23:48.0 (1837604)|STATEMENT_EXECUTE|[20]
16:23:48.0 (1864204)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:23:48.0 (1879896)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:48.0 (1893386)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:23:48.0 (1898096)|STATEMENT_EXECUTE|[23]
16:23:48.0 (1901456)|HEAP_ALLOCATE|[23]|Bytes:13
16:23:48.0 (1922857)|HEAP_ALLOCATE|[23]|Bytes:1
16:23:48.0 (1934196)|HEAP_ALLOCATE|[23]|Bytes:14
16:23:48.0 (1944876)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:23:48.0 (1953377)|STATEMENT_EXECUTE|[24]
16:23:48.0 (1968167)|HEAP_ALLOCATE|[24]|Bytes:20
16:23:48.0 (1979317)|HEAP_ALLOCATE|[24]|Bytes:33
16:23:48.0 (1987997)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007yz6DAAQ}
16:23:48.0 (2005408)|STATEMENT_EXECUTE|[25]
16:23:48.0 (2008109)|STATEMENT_EXECUTE|[26]
16:23:48.0 (2018118)|HEAP_ALLOCATE|[26]|Bytes:122
16:23:48.0 (2022758)|HEAP_ALLOCATE|[26]|Bytes:24
16:23:48.0 (2025998)|HEAP_ALLOCATE|[26]|Bytes:187
16:23:48.0 (2065879)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:23:48.0 (2072279)|STATEMENT_EXECUTE|[1]
16:23:48.0 (2075510)|STATEMENT_EXECUTE|[1]
16:23:48.0 (2081500)|HEAP_ALLOCATE|[26]|Bytes:5
16:23:48.0 (2085930)|STATEMENT_EXECUTE|[998]
16:23:48.0 (2088370)|STATEMENT_EXECUTE|[1015]
16:23:48.0 (2090711)|STATEMENT_EXECUTE|[1036]
16:23:48.0 (2096751)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
