60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:25:22.0 (145563)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:25:22.0 (174624)|EXECUTION_STARTED
16:25:22.0 (186164)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:25:22.0 (716727)|HEAP_ALLOCATE|[95]|Bytes:3
16:25:22.0 (805479)|HEAP_ALLOCATE|[100]|Bytes:152
16:25:22.0 (826059)|HEAP_ALLOCATE|[417]|Bytes:408
16:25:22.0 (845130)|HEAP_ALLOCATE|[430]|Bytes:408
16:25:22.0 (877650)|HEAP_ALLOCATE|[317]|Bytes:6
16:25:22.0 (908041)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:25:22.0 (915781)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:25:22.0 (921201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:25:22.0 (933902)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:25:22.0 (940632)|STATEMENT_EXECUTE|[1]
16:25:22.0 (948722)|STATEMENT_EXECUTE|[1]
16:25:22.0 (984413)|HEAP_ALLOCATE|[68]|Bytes:5
16:25:22.0 (1021634)|HEAP_ALLOCATE|[74]|Bytes:5
16:25:22.0 (1035154)|HEAP_ALLOCATE|[82]|Bytes:7
16:25:22.0 (1049434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:25:22.0 (1063105)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:25:22.0 (1070225)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:22.0 (1083005)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:25:22.0 (1091415)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:25:22.0 (1096196)|STATEMENT_EXECUTE|[15]
16:25:22.0 (1104096)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:25:22.0 (1109076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:25:22.0 (1150357)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:22.0 (1159547)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:25:22.0 (1230569)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2d4a50b5"}|0x427f84f1
16:25:22.0 (1238939)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:25:22.0 (1437914)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:25:22.0 (1446634)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:25:22.0 (1728770)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjnAvQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjnAvQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006HSsXAAW","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006HSsXAAW"},"CreatedDate":"2025-10-03T11:13:11.000Z","Id":"801e2000008HXKnAAO","RMD_ECC_Order_ID__c":"6691220676"}]|0x459915db
16:25:22.0 (1756311)|HEAP_ALLOCATE|[17]|Bytes:5
16:25:22.0 (1763841)|STATEMENT_EXECUTE|[16]
16:25:22.0 (1766721)|STATEMENT_EXECUTE|[17]
16:25:22.0 (1771251)|HEAP_ALLOCATE|[17]|Bytes:18
16:25:22.0 (1842513)|HEAP_ALLOCATE|[17]|Bytes:1
16:25:22.0 (1864684)|HEAP_ALLOCATE|[17]|Bytes:19
16:25:22.0 (1897354)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:25:22.0 (1909975)|STATEMENT_EXECUTE|[18]
16:25:22.0 (1926215)|HEAP_ALLOCATE|[18]|Bytes:4
16:25:22.0 (1985856)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:25:22.0 (2034238)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:22.0 (2083539)|HEAP_ALLOCATE|[19]|Bytes:40
16:25:22.0 (2099749)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:25:22.0 (2249133)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bjnAvQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjnAvQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006HSsXAAW","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006HSsXAAW"},"CreatedDate":"2025-10-03T11:13:11.000Z","Id":"801e2000008HXKnAAO","RMD_ECC_Order_ID__c":"6691220676"}|0x9de50c5
16:25:22.0 (2263523)|STATEMENT_EXECUTE|[19]
16:25:22.0 (2267063)|STATEMENT_EXECUTE|[20]
16:25:22.0 (2300844)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:25:22.0 (2324494)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:22.0 (2342335)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:25:22.0 (2349415)|STATEMENT_EXECUTE|[23]
16:25:22.0 (2353205)|HEAP_ALLOCATE|[23]|Bytes:13
16:25:22.0 (2384606)|HEAP_ALLOCATE|[23]|Bytes:1
16:25:22.0 (2400736)|HEAP_ALLOCATE|[23]|Bytes:14
16:25:22.0 (2415717)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:25:22.0 (2425907)|STATEMENT_EXECUTE|[24]
16:25:22.0 (2445927)|HEAP_ALLOCATE|[24]|Bytes:20
16:25:22.0 (2460948)|HEAP_ALLOCATE|[24]|Bytes:33
16:25:22.0 (2473418)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008HXKnAAO}
16:25:22.0 (2496878)|STATEMENT_EXECUTE|[25]
16:25:22.0 (2500049)|STATEMENT_EXECUTE|[26]
16:25:22.0 (2515569)|HEAP_ALLOCATE|[26]|Bytes:122
16:25:22.0 (2522649)|HEAP_ALLOCATE|[26]|Bytes:24
16:25:22.0 (2528059)|HEAP_ALLOCATE|[26]|Bytes:187
16:25:22.0 (2538549)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:25:22.0 (2544290)|STATEMENT_EXECUTE|[1]
16:25:22.0 (2549550)|STATEMENT_EXECUTE|[1]
16:25:22.0 (2558220)|HEAP_ALLOCATE|[26]|Bytes:5
16:25:22.0 (2563710)|STATEMENT_EXECUTE|[998]
16:25:22.0 (2566740)|STATEMENT_EXECUTE|[1015]
16:25:22.0 (2569800)|STATEMENT_EXECUTE|[1036]
16:25:22.0 (2578630)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:25:22.0 (2589461)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:25:22.0 (2596801)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:25:22.0 (2612401)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008HXKnAAO"]|0xc4e1503
16:25:22.0 (2624471)|HEAP_ALLOCATE|[59]|Bytes:5
16:25:22.0 (2631442)|STATEMENT_EXECUTE|[57]
16:25:22.0 (2634332)|STATEMENT_EXECUTE|[59]
16:25:22.0 (2639432)|HEAP_ALLOCATE|[59]|Bytes:27
16:25:22.0 (2681983)|HEAP_ALLOCATE|[59]|Bytes:96
16:25:22.0 (2689933)|HEAP_ALLOCATE|[59]|Bytes:69
16:25:22.0 (2761805)|HEAP_ALLOCATE|[59]|Bytes:33
16:25:22.0 (2772865)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:25:22.0 (2777045)|STATEMENT_EXECUTE|[1]
16:25:22.0 (2784695)|SYSTEM_METHOD_EXIT|[1]|Type
16:25:22.0 (2791105)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:22.0 (2806416)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:22.0 (2811916)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:25:22.0 (2834776)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3a63bf68
16:25:22.0 (2840757)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:25:22.0 (2898898)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:25:22.0 (5897388)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:22.0 (5929599)|HEAP_ALLOCATE|[59]|Bytes:24
16:25:22.0 (5939309)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:25:22.0 (5945359)|STATEMENT_EXECUTE|[1]
16:25:22.0 (5951420)|SYSTEM_METHOD_EXIT|[1]|JSON
16:25:22.0 (5962710)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:25:22.0 (6422451)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:25:22.0 (6434321)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:25:22.0 (6467772)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x3dda6baf
16:25:22.0 (6474222)|HEAP_ALLOCATE|[60]|Bytes:9
16:25:22.0 (6576064)|STATEMENT_EXECUTE|[60]
16:25:22.0 (6578764)|STATEMENT_EXECUTE|[67]
16:25:22.0 (6580874)|STATEMENT_EXECUTE|[67]
16:25:22.0 (6583104)|STATEMENT_EXECUTE|[68]
16:25:22.0 (6620015)|HEAP_ALLOCATE|[68]|Bytes:4
