60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:36:53.0 (161664)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:36:53.0 (197505)|EXECUTION_STARTED
17:36:53.0 (208505)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:36:53.0 (1387674)|HEAP_ALLOCATE|[95]|Bytes:3
17:36:53.0 (1476736)|HEAP_ALLOCATE|[100]|Bytes:152
17:36:53.0 (1495416)|HEAP_ALLOCATE|[417]|Bytes:408
17:36:53.0 (1511287)|HEAP_ALLOCATE|[430]|Bytes:408
17:36:53.0 (1540777)|HEAP_ALLOCATE|[317]|Bytes:6
17:36:53.0 (1567708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:36:53.0 (1573058)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:36:53.0 (1576348)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:36:53.0 (1586028)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:36:53.0 (1592649)|STATEMENT_EXECUTE|[1]
17:36:53.0 (1598169)|STATEMENT_EXECUTE|[1]
17:36:53.0 (1625039)|HEAP_ALLOCATE|[68]|Bytes:5
17:36:53.0 (1650870)|HEAP_ALLOCATE|[74]|Bytes:5
17:36:53.0 (1659590)|HEAP_ALLOCATE|[82]|Bytes:7
17:36:53.0 (1669990)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:36:53.0 (1701761)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:36:53.0 (1708671)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:53.0 (1717122)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:36:53.0 (1723432)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:36:53.0 (1727752)|STATEMENT_EXECUTE|[15]
17:36:53.0 (1737112)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:36:53.0 (1741592)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:36:53.0 (1778763)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:53.0 (1785483)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:36:53.0 (1855885)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5757340e"}|0xbef81e1
17:36:53.0 (1861115)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:36:53.0 (1991738)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:36:53.0 (1997478)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:36:53.0 (2266755)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002NerzIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002NerzIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eWfKIAU","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eWfKIAU"},"CreatedDate":"2025-06-03T09:04:21.000Z","Coupon_Type__c":"P","Id":"801Ie000001K4sdIAC","RMD_ECC_Order_ID__c":"6690487505"}]|0x5f0b6e2b
17:36:53.0 (2293176)|HEAP_ALLOCATE|[17]|Bytes:5
17:36:53.0 (2298476)|STATEMENT_EXECUTE|[16]
17:36:53.0 (2300976)|STATEMENT_EXECUTE|[17]
17:36:53.0 (2305026)|HEAP_ALLOCATE|[17]|Bytes:18
17:36:53.0 (2360847)|HEAP_ALLOCATE|[17]|Bytes:1
17:36:53.0 (2379828)|HEAP_ALLOCATE|[17]|Bytes:19
17:36:53.0 (2407108)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:36:53.0 (2417359)|STATEMENT_EXECUTE|[18]
17:36:53.0 (2431759)|HEAP_ALLOCATE|[18]|Bytes:4
17:36:53.0 (2479840)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:36:53.0 (2519271)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:53.0 (2561692)|HEAP_ALLOCATE|[19]|Bytes:44
17:36:53.0 (2574302)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:36:53.0 (2764107)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002NerzIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002NerzIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eWfKIAU","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eWfKIAU"},"CreatedDate":"2025-06-03T09:04:21.000Z","Coupon_Type__c":"P","Id":"801Ie000001K4sdIAC","RMD_ECC_Order_ID__c":"6690487505"}|0x15f0d7b0
17:36:53.0 (2775837)|STATEMENT_EXECUTE|[19]
17:36:53.0 (2778337)|STATEMENT_EXECUTE|[20]
17:36:53.0 (2808888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:36:53.0 (2831619)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:53.0 (2846549)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:36:53.0 (2852139)|STATEMENT_EXECUTE|[23]
17:36:53.0 (2855029)|HEAP_ALLOCATE|[23]|Bytes:13
17:36:53.0 (2880750)|HEAP_ALLOCATE|[23]|Bytes:1
17:36:53.0 (2893040)|HEAP_ALLOCATE|[23]|Bytes:14
17:36:53.0 (2906820)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:36:53.0 (2915171)|STATEMENT_EXECUTE|[24]
17:36:53.0 (2932811)|HEAP_ALLOCATE|[24]|Bytes:20
17:36:53.0 (2943761)|HEAP_ALLOCATE|[24]|Bytes:33
17:36:53.0 (2952061)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001K4sdIAC}
17:36:53.0 (2970242)|STATEMENT_EXECUTE|[25]
17:36:53.0 (2972372)|STATEMENT_EXECUTE|[26]
17:36:53.0 (2984712)|HEAP_ALLOCATE|[26]|Bytes:122
17:36:53.0 (2989692)|HEAP_ALLOCATE|[26]|Bytes:24
17:36:53.0 (2993152)|HEAP_ALLOCATE|[26]|Bytes:187
17:36:53.0 (3001253)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:36:53.0 (3006493)|STATEMENT_EXECUTE|[1]
17:36:53.0 (3010913)|STATEMENT_EXECUTE|[1]
17:36:53.0 (3018283)|HEAP_ALLOCATE|[26]|Bytes:5
17:36:53.0 (3022773)|STATEMENT_EXECUTE|[998]
17:36:53.0 (3025053)|STATEMENT_EXECUTE|[1015]
17:36:53.0 (3027123)|STATEMENT_EXECUTE|[1036]
17:36:53.0 (3043744)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:36:53.0 (3053714)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:36:53.0 (3059684)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:36:53.0 (3073604)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001K4sdIAC"]|0x20e1eae1
17:36:53.0 (3084005)|HEAP_ALLOCATE|[59]|Bytes:5
17:36:53.0 (3088965)|STATEMENT_EXECUTE|[57]
17:36:53.0 (3091205)|STATEMENT_EXECUTE|[59]
17:36:53.0 (3094565)|HEAP_ALLOCATE|[59]|Bytes:27
17:36:53.0 (3131326)|HEAP_ALLOCATE|[59]|Bytes:96
17:36:53.0 (3138256)|HEAP_ALLOCATE|[59]|Bytes:69
17:36:53.0 (3204028)|HEAP_ALLOCATE|[59]|Bytes:33
17:36:53.0 (3212558)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:36:53.0 (3216378)|STATEMENT_EXECUTE|[1]
17:36:53.0 (3226868)|SYSTEM_METHOD_EXIT|[1]|Type
17:36:53.0 (3233038)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:53.0 (3246569)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:53.0 (3251259)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:36:53.0 (3270229)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x50aef728
17:36:53.0 (3274869)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:36:53.0 (3340341)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:36:53.0 (6161089)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:53.0 (6185359)|HEAP_ALLOCATE|[59]|Bytes:24
17:36:53.0 (6194100)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:36:53.0 (6199080)|STATEMENT_EXECUTE|[1]
17:36:53.0 (6214540)|SYSTEM_METHOD_EXIT|[1]|JSON
17:36:53.0 (6226760)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:36:53.0 (6563438)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:36:53.0 (6573589)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:36:53.0 (6607580)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x6c69bba7
17:36:53.0 (6614560)|HEAP_ALLOCATE|[60]|Bytes:9
17:36:53.0 (6641590)|STATEMENT_EXECUTE|[60]
17:36:53.0 (6644220)|STATEMENT_EXECUTE|[67]
17:36:53.0 (6646350)|STATEMENT_EXECUTE|[67]
17:36:53.0 (6648560)|STATEMENT_EXECUTE|[68]
17:36:53.0 (6722362)|HEAP_ALLOCATE|[68]|Bytes:4
17:36:53.0 (6760783)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:36:53.0 (6776484)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x3d65b2cc
17:36:53.0 (6781634)|STATEMENT_EXECUTE|[70]
17:36:53.0 (6795334)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:36:53.0 (6800804)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:36:53.0 (6805604)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:36:53.0 (6812024)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:36:53.0 (6817945)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:36:53.0 (6823165)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:36:53.0 (6832755)|HEAP_ALLOCATE|[70]|Bytes:150
17:36:53.0 (6837835)|HEAP_ALLOCATE|[70]|Bytes:51
17:36:53.0 (6841825)|HEAP_ALLOCATE|[70]|Bytes:13
17:36:53.0 (6852345)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:36:53.0 (6857106)|HEAP_ALLOCATE|[70]|Bytes:7
17:36:53.0 (6864056)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
17:36:53.0 (6902707)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
17:36:53.0 (6907607)|STATEMENT_EXECUTE|[6]
17:36:53.0 (6911907)|STATEMENT_EXECUTE|[6]
17:36:53.0 (8319901)|SYSTEM_MODE_ENTER|false
17:36:53.0 (8332201)|HEAP_ALLOCATE|[7]|Bytes:5
17:36:53.0 (8337941)|STATEMENT_EXECUTE|[7]
17:36:53.0 (8342121)|HEAP_ALLOCATE|[7]|Bytes:12
17:36:53.0 (8376422)|HEAP_ALLOCATE|[7]|Bytes:68
17:36:53.0 (8396433)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
17:36:53.0 (8401303)|STATEMENT_EXECUTE|[9]
17:36:53.0 (8406363)|HEAP_ALLOCATE|[9]|Bytes:5
17:36:53.0 (8415703)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
17:36:53.0 (8419633)|STATEMENT_EXECUTE|[12]
17:36:53.0 (8430134)|HEAP_ALLOCATE|[12]|Bytes:53
17:36:53.0 (8438084)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
17:36:53.0 (8442464)|STATEMENT_EXECUTE|[1]
17:36:53.0 (8445964)|STATEMENT_EXECUTE|[1]
17:36:53.0 (8459464)|METHOD_EXIT|[1]|RMDSelectorUser
17:36:53.0 (8469505)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
17:36:53.0 (8475955)|STATEMENT_EXECUTE|[124]
17:36:53.0 (8478385)|STATEMENT_EXECUTE|[125]
17:36:53.0 (8481385)|HEAP_ALLOCATE|[125]|Bytes:99
17:36:53.0 (8496215)|HEAP_ALLOCATE|[125]|Bytes:4
17:36:53.0 (9035438)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
17:36:53.0 (17373729)|SOQL_EXECUTE_END|[125]|Rows:1
17:36:53.0 (17409870)|HEAP_ALLOCATE|[125]|Bytes:8
17:36:53.0 (17439851)|HEAP_ALLOCATE|[125]|Bytes:60
17:36:53.0 (17505932)|HEAP_ALLOCATE|[125]|Bytes:8
17:36:53.0 (17535363)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
17:36:53.0 (17647726)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x6022ca4
17:36:53.0 (17660396)|SYSTEM_MODE_EXIT|false
17:36:53.0 (17696177)|METHOD_EXIT|[6]|RMDCommonHelper
17:36:53.0 (17711117)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
17:36:53.0 (17726178)|SYSTEM_MODE_ENTER|false
17:36:53.0 (17740958)|HEAP_ALLOCATE|[446]|Bytes:5
17:36:53.0 (17746828)|STATEMENT_EXECUTE|[445]
17:36:53.0 (17749278)|STATEMENT_EXECUTE|[446]
17:36:53.0 (17771249)|HEAP_ALLOCATE|[446]|Bytes:16
17:36:53.0 (17781209)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
17:36:53.0 (17785619)|STATEMENT_EXECUTE|[1]
17:36:53.0 (17789329)|STATEMENT_EXECUTE|[1]
17:36:53.0 (17796629)|METHOD_EXIT|[1]|RMDSelectorCommon
17:36:53.0 (17804930)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
17:36:53.0 (17811330)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
17:36:53.0 (17821750)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
17:36:53.0 (17826350)|STATEMENT_EXECUTE|[3]
17:36:53.0 (17838850)|STATEMENT_EXECUTE|[4]
17:36:53.0 (17856721)|HEAP_ALLOCATE|[4]|Bytes:4
17:36:53.0 (17880091)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
17:36:53.0 (17887952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:36:53.0 (17897102)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x1748dd50
17:36:53.0 (17903142)|STATEMENT_EXECUTE|[5]
17:36:53.0 (17907492)|HEAP_ALLOCATE|[5]|Bytes:42
17:36:53.0 (17921382)|HEAP_ALLOCATE|[5]|Bytes:4
17:36:53.0 (18257511)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
