60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:57.0 (191423)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:51:57.0 (276246)|EXECUTION_STARTED
16:51:57.0 (310656)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:51:57.0 (831249)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:57.0 (924000)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:57.0 (946521)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:57.0 (967132)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:57.0 (996762)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:57.0 (1024064)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:57.0 (1030494)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:51:57.0 (1034033)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:57.0 (1042454)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:51:57.0 (1047574)|STATEMENT_EXECUTE|[1]
16:51:57.0 (1053584)|STATEMENT_EXECUTE|[1]
16:51:57.0 (1087524)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:57.0 (1113675)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:57.0 (1125376)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:57.0 (1138136)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:57.0 (1154206)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:51:57.0 (1160347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:57.0 (1169196)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:57.0 (1175796)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:57.0 (1179396)|STATEMENT_EXECUTE|[15]
16:51:57.0 (1186567)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:57.0 (1190138)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:57.0 (1230339)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:57.0 (1237808)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:51:57.0 (1307719)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x73ccfa32"}|0x1f4af7e0
16:51:57.0 (1314101)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:51:57.0 (1467933)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:51:57.0 (1475224)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:51:57.0 (1746671)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8hAMQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8hAMQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007a3zRAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007a3zRAAQ"},"CreatedDate":"2025-10-21T08:59:14.000Z","Id":"801e2000009edvBAAQ","RMD_ECC_Order_ID__c":"6691293621"}]|0x5430318c
16:51:57.0 (1776482)|HEAP_ALLOCATE|[17]|Bytes:5
16:51:57.0 (1784101)|STATEMENT_EXECUTE|[16]
16:51:57.0 (1786712)|STATEMENT_EXECUTE|[17]
16:51:57.0 (1790482)|HEAP_ALLOCATE|[17]|Bytes:18
16:51:57.0 (1850692)|HEAP_ALLOCATE|[17]|Bytes:1
16:51:57.0 (1868213)|HEAP_ALLOCATE|[17]|Bytes:19
16:51:57.0 (1896933)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:51:57.0 (1906374)|STATEMENT_EXECUTE|[18]
16:51:57.0 (1921384)|HEAP_ALLOCATE|[18]|Bytes:4
16:51:57.0 (1969865)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x1f4af7e0
16:51:57.0 (2009687)|HEAP_ALLOCATE|[19]|Bytes:5
16:51:57.0 (2053947)|HEAP_ALLOCATE|[19]|Bytes:40
16:51:57.0 (2068147)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:51:57.0 (2199202)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8hAMQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8hAMQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007a3zRAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007a3zRAAQ"},"CreatedDate":"2025-10-21T08:59:14.000Z","Id":"801e2000009edvBAAQ","RMD_ECC_Order_ID__c":"6691293621"}|0x10537e5e
16:51:57.0 (2210111)|STATEMENT_EXECUTE|[19]
16:51:57.0 (2212741)|STATEMENT_EXECUTE|[20]
16:51:57.0 (2241173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:51:57.0 (2259182)|HEAP_ALLOCATE|[19]|Bytes:5
16:51:57.0 (2273333)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:51:57.0 (2278843)|STATEMENT_EXECUTE|[23]
16:51:57.0 (2281952)|HEAP_ALLOCATE|[23]|Bytes:13
16:51:57.0 (2307054)|HEAP_ALLOCATE|[23]|Bytes:1
16:51:57.0 (2319774)|HEAP_ALLOCATE|[23]|Bytes:14
16:51:57.0 (2331285)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:51:57.0 (2339085)|STATEMENT_EXECUTE|[24]
16:51:57.0 (2356104)|HEAP_ALLOCATE|[24]|Bytes:20
16:51:57.0 (2366544)|HEAP_ALLOCATE|[24]|Bytes:33
16:51:57.0 (2374595)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000009edvBAAQ}
16:51:57.0 (2390835)|STATEMENT_EXECUTE|[25]
16:51:57.0 (2393176)|STATEMENT_EXECUTE|[26]
16:51:57.0 (2404176)|HEAP_ALLOCATE|[26]|Bytes:122
16:51:57.0 (2409006)|HEAP_ALLOCATE|[26]|Bytes:24
16:51:57.0 (2412356)|HEAP_ALLOCATE|[26]|Bytes:187
16:51:57.0 (2419516)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:51:57.0 (2423777)|STATEMENT_EXECUTE|[1]
16:51:57.0 (2427306)|STATEMENT_EXECUTE|[1]
16:51:57.0 (2434777)|HEAP_ALLOCATE|[26]|Bytes:5
16:51:57.0 (2439186)|STATEMENT_EXECUTE|[998]
16:51:57.0 (2441746)|STATEMENT_EXECUTE|[1015]
16:51:57.0 (2444017)|STATEMENT_EXECUTE|[1036]
16:51:57.0 (2451567)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:51:57.0 (2461517)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:51:57.0 (2468098)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:51:57.0 (2479867)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000009edvBAAQ"]|0x55d23117
16:51:57.0 (2488757)|HEAP_ALLOCATE|[59]|Bytes:5
16:51:57.0 (2493357)|STATEMENT_EXECUTE|[57]
16:51:57.0 (2495619)|STATEMENT_EXECUTE|[59]
16:51:57.0 (2499078)|HEAP_ALLOCATE|[59]|Bytes:27
16:51:57.0 (2575869)|HEAP_ALLOCATE|[59]|Bytes:96
16:51:57.0 (2584251)|HEAP_ALLOCATE|[59]|Bytes:69
16:51:57.0 (2647852)|HEAP_ALLOCATE|[59]|Bytes:33
16:51:57.0 (2657321)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:51:57.0 (2660502)|STATEMENT_EXECUTE|[1]
16:51:57.0 (2667663)|SYSTEM_METHOD_EXIT|[1]|Type
16:51:57.0 (2673463)|HEAP_ALLOCATE|[59]|Bytes:8
16:51:57.0 (2688743)|HEAP_ALLOCATE|[59]|Bytes:8
16:51:57.0 (2692872)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:51:57.0 (2712483)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x10d3c8ed
16:51:57.0 (2718683)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:51:57.0 (2777554)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x34a3c901
16:51:57.0 (4234210)|HEAP_ALLOCATE|[59]|Bytes:8
16:51:57.0 (4252839)|HEAP_ALLOCATE|[59]|Bytes:24
16:51:57.0 (4259629)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:51:57.0 (4262799)|STATEMENT_EXECUTE|[1]
16:51:57.0 (4267709)|SYSTEM_METHOD_EXIT|[1]|JSON
16:51:57.0 (4276750)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:51:57.0 (4647379)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:51:57.0 (4659359)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:51:57.0 (4688180)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x5f6725c6
16:51:57.0 (4696209)|HEAP_ALLOCATE|[60]|Bytes:9
16:51:57.0 (4723960)|STATEMENT_EXECUTE|[60]
16:51:57.0 (4727421)|STATEMENT_EXECUTE|[67]
16:51:57.0 (4730821)|STATEMENT_EXECUTE|[67]
16:51:57.0 (4733970)|STATEMENT_EXECUTE|[68]
16:51:57.0 (4775331)|HEAP_ALLOCATE|[68]|Bytes:4
16:51:57.0 (4811562)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:51:57.0 (4827024)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x4ba56d38
16:51:57.0 (4832933)|STATEMENT_EXECUTE|[70]
16:51:57.0 (4845683)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:51:57.0 (4851994)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
