60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:43.0 (174045)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:43:43.0 (215446)|EXECUTION_STARTED
16:43:43.0 (226067)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:43:43.0 (1452615)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:43.0 (1546506)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:43.0 (1567997)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:43.0 (1587758)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:43.0 (1619450)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:43.0 (1649251)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:43.0 (1657750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:43:43.0 (1663520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:43.0 (1674960)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:43:43.0 (1682721)|STATEMENT_EXECUTE|[1]
16:43:43.0 (1689911)|STATEMENT_EXECUTE|[1]
16:43:43.0 (1722872)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:43.0 (1750923)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:43.0 (1760563)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:43.0 (1772264)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:43.0 (1784295)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:43:43.0 (1790065)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:43.0 (1798154)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:43.0 (1803394)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:43.0 (1806874)|STATEMENT_EXECUTE|[15]
16:43:43.0 (1813645)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:43.0 (1817565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:43.0 (1852837)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:43.0 (1861617)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:43:43.0 (1942469)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x275370cb"}|0x121d8d58
16:43:43.0 (1949150)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:43:43.0 (2076003)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:43:43.0 (2082853)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:43:43.0 (2327881)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bivtbQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bivtbQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000758KJAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e200000758KJAAY"},"CreatedDate":"2025-10-14T06:44:10.000Z","Id":"801e20000098OcjAAE","RMD_ECC_Order_ID__c":"6691270241"}]|0x13769a2
16:43:43.0 (2349252)|HEAP_ALLOCATE|[17]|Bytes:5
16:43:43.0 (2355592)|STATEMENT_EXECUTE|[16]
16:43:43.0 (2357742)|STATEMENT_EXECUTE|[17]
16:43:43.0 (2361172)|HEAP_ALLOCATE|[17]|Bytes:18
16:43:43.0 (2453685)|HEAP_ALLOCATE|[17]|Bytes:1
16:43:43.0 (2471995)|HEAP_ALLOCATE|[17]|Bytes:19
16:43:43.0 (2497846)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:43:43.0 (2508096)|STATEMENT_EXECUTE|[18]
16:43:43.0 (2521527)|HEAP_ALLOCATE|[18]|Bytes:4
16:43:43.0 (2567418)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:43:43.0 (2605589)|HEAP_ALLOCATE|[19]|Bytes:5
16:43:43.0 (2650611)|HEAP_ALLOCATE|[19]|Bytes:40
16:43:43.0 (2665021)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:43:43.0 (2787465)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bivtbQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bivtbQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000758KJAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e200000758KJAAY"},"CreatedDate":"2025-10-14T06:44:10.000Z","Id":"801e20000098OcjAAE","RMD_ECC_Order_ID__c":"6691270241"}|0x137b341a
