60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:09:12.0 (180875)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:09:12.0 (235867)|EXECUTION_STARTED
17:09:12.0 (249497)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:09:12.0 (1427486)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:12.0 (1516827)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:12.0 (1536968)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:12.0 (1551078)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:12.0 (1576838)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:12.0 (1602860)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:09:12.0 (1608909)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:09:12.0 (1612660)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:09:12.0 (1623980)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:09:12.0 (1630181)|STATEMENT_EXECUTE|[1]
17:09:12.0 (1635950)|STATEMENT_EXECUTE|[1]
17:09:12.0 (1663110)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:12.0 (1689801)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:12.0 (1698132)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:12.0 (1737482)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:12.0 (1751743)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:09:12.0 (1756824)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:12.0 (1766054)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:09:12.0 (1772363)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:09:12.0 (1775534)|STATEMENT_EXECUTE|[15]
17:09:12.0 (1782113)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:09:12.0 (1786134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:09:12.0 (1818735)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:12.0 (1825594)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:09:12.0 (1899217)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x69b0514f"}|0x726104f7
17:09:12.0 (1904876)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:09:12.0 (2063640)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:09:12.0 (2070271)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:09:12.0 (2344657)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001Waje1QAB","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001Waje1QAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HCcpIAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HCcpIAG"},"CreatedDate":"2025-01-13T11:24:47.000Z","Id":"801Ie000001HtTEIA0","RMD_ECC_Order_ID__c":"6689871395"}]|0x58d02a6c
17:09:12.0 (2366838)|HEAP_ALLOCATE|[17]|Bytes:5
17:09:12.0 (2372908)|STATEMENT_EXECUTE|[16]
17:09:12.0 (2375137)|STATEMENT_EXECUTE|[17]
17:09:12.0 (2378568)|HEAP_ALLOCATE|[17]|Bytes:18
17:09:12.0 (2433030)|HEAP_ALLOCATE|[17]|Bytes:1
17:09:12.0 (2452099)|HEAP_ALLOCATE|[17]|Bytes:19
17:09:12.0 (2476690)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:09:12.0 (2487081)|STATEMENT_EXECUTE|[18]
17:09:12.0 (2501381)|HEAP_ALLOCATE|[18]|Bytes:4
17:09:12.0 (2546492)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:09:12.0 (2584653)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:12.0 (2624844)|HEAP_ALLOCATE|[19]|Bytes:40
17:09:12.0 (2637024)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:09:12.0 (2753497)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001Waje1QAB","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001Waje1QAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HCcpIAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HCcpIAG"},"CreatedDate":"2025-01-13T11:24:47.000Z","Id":"801Ie000001HtTEIA0","RMD_ECC_Order_ID__c":"6689871395"}|0x68646a31
17:09:12.0 (2765187)|STATEMENT_EXECUTE|[19]
17:09:12.0 (2768718)|STATEMENT_EXECUTE|[20]
17:09:12.0 (2803548)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:12.0 (2828908)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:12.0 (2849349)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:09:12.0 (2857400)|STATEMENT_EXECUTE|[23]
17:09:12.0 (2861619)|HEAP_ALLOCATE|[23]|Bytes:13
17:09:12.0 (2886260)|HEAP_ALLOCATE|[23]|Bytes:1
17:09:12.0 (2900171)|HEAP_ALLOCATE|[23]|Bytes:14
17:09:12.0 (2912860)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:09:12.0 (2923111)|STATEMENT_EXECUTE|[24]
17:09:12.0 (2944631)|HEAP_ALLOCATE|[24]|Bytes:20
17:09:12.0 (2960512)|HEAP_ALLOCATE|[24]|Bytes:33
17:09:12.0 (2971413)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HtTEIA0}
17:09:12.0 (2993182)|STATEMENT_EXECUTE|[25]
17:09:12.0 (2996382)|STATEMENT_EXECUTE|[26]
17:09:12.0 (3010244)|HEAP_ALLOCATE|[26]|Bytes:122
17:09:12.0 (3016513)|HEAP_ALLOCATE|[26]|Bytes:24
17:09:12.0 (3020124)|HEAP_ALLOCATE|[26]|Bytes:187
