60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:09:13.0 (161974)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:09:13.0 (199984)|EXECUTION_STARTED
17:09:13.0 (213815)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:09:13.0 (1417614)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:13.0 (1510976)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:13.0 (1530686)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:13.0 (1546127)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:13.0 (1572508)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:13.0 (1596718)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:09:13.0 (1602368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:09:13.0 (1606608)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:09:13.0 (1617599)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:09:13.0 (1624099)|STATEMENT_EXECUTE|[1]
17:09:13.0 (1629969)|STATEMENT_EXECUTE|[1]
17:09:13.0 (1662960)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:13.0 (1690660)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:13.0 (1700352)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:13.0 (1710661)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:13.0 (1723941)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:09:13.0 (1729721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:13.0 (1738211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:09:13.0 (1745402)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:09:13.0 (1748642)|STATEMENT_EXECUTE|[15]
17:09:13.0 (1755782)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:09:13.0 (1759513)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:09:13.0 (1794063)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:13.0 (1800634)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:09:13.0 (1879285)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x4280370b"}|0x726104f7
17:09:13.0 (1888055)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:09:13.0 (2088441)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:09:13.0 (2099340)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:09:13.0 (2424388)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"001Ie000002R87cIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R87cIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HLzIIAW","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HLzIIAW"},"CreatedDate":"2025-01-18T06:42:33.000Z","Coupon_Type__c":"P","Id":"801Ie000001I0CVIA0","RMD_ECC_Order_ID__c":"6689893504"}]|0x32db47cc
17:09:13.0 (2451939)|HEAP_ALLOCATE|[17]|Bytes:5
17:09:13.0 (2458039)|STATEMENT_EXECUTE|[16]
17:09:13.0 (2460399)|STATEMENT_EXECUTE|[17]
17:09:13.0 (2464429)|HEAP_ALLOCATE|[17]|Bytes:18
17:09:13.0 (2523910)|HEAP_ALLOCATE|[17]|Bytes:1
17:09:13.0 (2543021)|HEAP_ALLOCATE|[17]|Bytes:19
17:09:13.0 (2569671)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:09:13.0 (2579882)|STATEMENT_EXECUTE|[18]
17:09:13.0 (2597742)|HEAP_ALLOCATE|[18]|Bytes:4
17:09:13.0 (2656703)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:09:13.0 (2702616)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:13.0 (2749417)|HEAP_ALLOCATE|[19]|Bytes:44
17:09:13.0 (2765366)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:09:13.0 (2925640)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"001Ie000002R87cIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R87cIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HLzIIAW","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HLzIIAW"},"CreatedDate":"2025-01-18T06:42:33.000Z","Coupon_Type__c":"P","Id":"801Ie000001I0CVIA0","RMD_ECC_Order_ID__c":"6689893504"}|0x48e4c366
17:09:13.0 (2940730)|STATEMENT_EXECUTE|[19]
17:09:13.0 (2943781)|STATEMENT_EXECUTE|[20]
17:09:13.0 (2977542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:13.0 (3001002)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:13.0 (3018383)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:09:13.0 (3025892)|STATEMENT_EXECUTE|[23]
17:09:13.0 (3029992)|HEAP_ALLOCATE|[23]|Bytes:13
17:09:13.0 (3060123)|HEAP_ALLOCATE|[23]|Bytes:1
17:09:13.0 (3075483)|HEAP_ALLOCATE|[23]|Bytes:14
17:09:13.0 (3089225)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:09:13.0 (3100154)|STATEMENT_EXECUTE|[24]
17:09:13.0 (3119615)|HEAP_ALLOCATE|[24]|Bytes:20
17:09:13.0 (3134775)|HEAP_ALLOCATE|[24]|Bytes:33
17:09:13.0 (3145845)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001I0CVIA0}
17:09:13.0 (3168616)|STATEMENT_EXECUTE|[25]
17:09:13.0 (3171516)|STATEMENT_EXECUTE|[26]
17:09:13.0 (3185856)|HEAP_ALLOCATE|[26]|Bytes:122
17:09:13.0 (3192867)|HEAP_ALLOCATE|[26]|Bytes:24
17:09:13.0 (3198196)|HEAP_ALLOCATE|[26]|Bytes:187
17:09:13.0 (3208637)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:09:13.0 (3214337)|STATEMENT_EXECUTE|[1]
17:09:13.0 (3219097)|STATEMENT_EXECUTE|[1]
17:09:13.0 (3226517)|HEAP_ALLOCATE|[26]|Bytes:5
17:09:13.0 (3232237)|STATEMENT_EXECUTE|[998]
17:09:13.0 (3235327)|STATEMENT_EXECUTE|[1015]
17:09:13.0 (3238497)|STATEMENT_EXECUTE|[1036]
17:09:13.0 (3248738)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:09:13.0 (3259598)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:09:13.0 (3267458)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:09:13.0 (3283058)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001I0CVIA0"]|0xb9ba937
17:09:13.0 (3294089)|HEAP_ALLOCATE|[59]|Bytes:5
17:09:13.0 (3300299)|STATEMENT_EXECUTE|[57]
17:09:13.0 (3303419)|STATEMENT_EXECUTE|[59]
17:09:13.0 (3308030)|HEAP_ALLOCATE|[59]|Bytes:27
17:09:13.0 (3351170)|HEAP_ALLOCATE|[59]|Bytes:96
17:09:13.0 (3359380)|HEAP_ALLOCATE|[59]|Bytes:69
17:09:13.0 (3438633)|HEAP_ALLOCATE|[59]|Bytes:33
17:09:13.0 (3450062)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:09:13.0 (3454563)|STATEMENT_EXECUTE|[1]
17:09:13.0 (3462243)|SYSTEM_METHOD_EXIT|[1]|Type
17:09:13.0 (3469954)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:13.0 (3487194)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:13.0 (3492983)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:09:13.0 (3518614)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2d4973dd
17:09:13.0 (3525715)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:09:13.0 (3628727)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:09:13.0 (5630415)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:13.0 (5658806)|HEAP_ALLOCATE|[59]|Bytes:24
17:09:13.0 (5668647)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:09:13.0 (5674896)|STATEMENT_EXECUTE|[1]
17:09:13.0 (5681367)|SYSTEM_METHOD_EXIT|[1]|JSON
17:09:13.0 (5692807)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:09:13.0 (6112276)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:09:13.0 (6125117)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:09:13.0 (6160167)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x15dcb1bc
17:09:13.0 (6271070)|HEAP_ALLOCATE|[60]|Bytes:9
17:09:13.0 (6361712)|STATEMENT_EXECUTE|[60]
17:09:13.0 (6364903)|STATEMENT_EXECUTE|[67]
17:09:13.0 (6367292)|STATEMENT_EXECUTE|[67]
17:09:13.0 (6369413)|STATEMENT_EXECUTE|[68]
17:09:13.0 (6434854)|HEAP_ALLOCATE|[68]|Bytes:4
17:09:13.0 (6489815)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:09:13.0 (6520486)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x753472d0
17:09:13.0 (6525867)|STATEMENT_EXECUTE|[70]
17:09:13.0 (6542428)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:09:13.0 (6548277)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:09:13.0 (6553167)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:09:13.0 (6558857)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:09:13.0 (6564537)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:09:13.0 (6569657)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:09:13.0 (6582728)|HEAP_ALLOCATE|[70]|Bytes:150
17:09:13.0 (6589798)|HEAP_ALLOCATE|[70]|Bytes:51
17:09:13.0 (6593918)|HEAP_ALLOCATE|[70]|Bytes:13
17:09:13.0 (6606949)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:09:13.0 (6612038)|HEAP_ALLOCATE|[70]|Bytes:7
17:09:13.0 (6619150)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
17:09:13.0 (6652129)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
17:09:13.0 (6658190)|STATEMENT_EXECUTE|[6]
17:09:13.0 (6662831)|STATEMENT_EXECUTE|[6]
17:09:13.0 (8133986)|SYSTEM_MODE_ENTER|false
17:09:13.0 (8158796)|HEAP_ALLOCATE|[7]|Bytes:5
17:09:13.0 (8169587)|STATEMENT_EXECUTE|[7]
17:09:13.0 (8177936)|HEAP_ALLOCATE|[7]|Bytes:12
17:09:13.0 (8225668)|HEAP_ALLOCATE|[7]|Bytes:68
17:09:13.0 (8260048)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
17:09:13.0 (8265538)|STATEMENT_EXECUTE|[9]
17:09:13.0 (8271878)|HEAP_ALLOCATE|[9]|Bytes:5
17:09:13.0 (8284439)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
17:09:13.0 (8288299)|STATEMENT_EXECUTE|[12]
17:09:13.0 (8307639)|HEAP_ALLOCATE|[12]|Bytes:53
17:09:13.0 (8320440)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
17:09:13.0 (8325620)|STATEMENT_EXECUTE|[1]
17:09:13.0 (8330420)|STATEMENT_EXECUTE|[1]
17:09:13.0 (8336970)|METHOD_EXIT|[1]|RMDSelectorUser
17:09:13.0 (8349520)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
17:09:13.0 (8357930)|STATEMENT_EXECUTE|[124]
17:09:13.0 (8360140)|STATEMENT_EXECUTE|[125]
17:09:13.0 (8362881)|HEAP_ALLOCATE|[125]|Bytes:99
17:09:13.0 (8385821)|HEAP_ALLOCATE|[125]|Bytes:4
17:09:13.0 (8928394)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
17:09:13.0 (17700635)|SOQL_EXECUTE_END|[125]|Rows:1
17:09:13.0 (17740836)|HEAP_ALLOCATE|[125]|Bytes:8
17:09:13.0 (17765967)|HEAP_ALLOCATE|[125]|Bytes:60
17:09:13.0 (17828739)|HEAP_ALLOCATE|[125]|Bytes:8
