60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:09:14.0 (222645)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:09:14.0 (274267)|EXECUTION_STARTED
17:09:14.0 (291967)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:09:14.0 (1651910)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:14.0 (1786053)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:14.0 (1808334)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:14.0 (1828314)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:14.0 (1865605)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:14.0 (1897896)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:09:14.0 (1905696)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:09:14.0 (1910936)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:09:14.0 (1924756)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:09:14.0 (1932277)|STATEMENT_EXECUTE|[1]
17:09:14.0 (1939797)|STATEMENT_EXECUTE|[1]
17:09:14.0 (1972388)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:14.0 (2004238)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:14.0 (2017869)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:14.0 (2033439)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:14.0 (2050079)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:09:14.0 (2057460)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:14.0 (2069410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:09:14.0 (2078800)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:09:14.0 (2083460)|STATEMENT_EXECUTE|[15]
17:09:14.0 (2093150)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:09:14.0 (2099121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:09:14.0 (2127921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:14.0 (2136821)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:09:14.0 (2219013)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xb9ba937"}|0x726104f7
17:09:14.0 (2228514)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:09:14.0 (2400238)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:09:14.0 (2410798)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:09:14.0 (3001162)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001b908bQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b908bQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HX7DIAW","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003HX7DIAW"},"CreatedDate":"2025-01-22T11:38:41.000Z","Coupon_Type__c":"P","Id":"801Ie000001I7TBIA0","RMD_ECC_Order_ID__c":"6689916470"}]|0x3f4a9386
17:09:14.0 (3030393)|HEAP_ALLOCATE|[17]|Bytes:5
17:09:14.0 (3038853)|STATEMENT_EXECUTE|[16]
17:09:14.0 (3042543)|STATEMENT_EXECUTE|[17]
17:09:14.0 (3047303)|HEAP_ALLOCATE|[17]|Bytes:18
17:09:14.0 (3211207)|HEAP_ALLOCATE|[17]|Bytes:1
17:09:14.0 (3272219)|HEAP_ALLOCATE|[17]|Bytes:19
17:09:14.0 (3305850)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:09:14.0 (3321010)|STATEMENT_EXECUTE|[18]
17:09:14.0 (3339450)|HEAP_ALLOCATE|[18]|Bytes:4
17:09:14.0 (3404172)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:09:14.0 (3455153)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:14.0 (3505874)|HEAP_ALLOCATE|[19]|Bytes:44
17:09:14.0 (3521445)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:09:14.0 (3697889)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001b908bQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b908bQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HX7DIAW","Opportunity":{"StageName":"Closed Lost","Id":"006Ie000003HX7DIAW"},"CreatedDate":"2025-01-22T11:38:41.000Z","Coupon_Type__c":"P","Id":"801Ie000001I7TBIA0","RMD_ECC_Order_ID__c":"6689916470"}|0x5a19be4f
17:09:14.0 (3713899)|STATEMENT_EXECUTE|[19]
17:09:14.0 (3717230)|STATEMENT_EXECUTE|[20]
17:09:14.0 (3750090)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:14.0 (3776121)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:14.0 (3794721)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:09:14.0 (3802552)|STATEMENT_EXECUTE|[23]
17:09:14.0 (3806522)|HEAP_ALLOCATE|[23]|Bytes:13
17:09:14.0 (3836492)|HEAP_ALLOCATE|[23]|Bytes:1
17:09:14.0 (3852853)|HEAP_ALLOCATE|[23]|Bytes:14
17:09:14.0 (3866693)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:09:14.0 (3876963)|STATEMENT_EXECUTE|[24]
17:09:14.0 (3897804)|HEAP_ALLOCATE|[24]|Bytes:20
17:09:14.0 (3912994)|HEAP_ALLOCATE|[24]|Bytes:33
