60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:33.0 (228055)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:33.0 (300447)|EXECUTION_STARTED
16:22:33.0 (315737)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:33.0 (848999)|HEAP_ALLOCATE|[95]|Bytes:3
16:22:33.0 (926771)|HEAP_ALLOCATE|[100]|Bytes:152
16:22:33.0 (942201)|HEAP_ALLOCATE|[417]|Bytes:408
16:22:33.0 (956691)|HEAP_ALLOCATE|[430]|Bytes:408
16:22:33.0 (979943)|HEAP_ALLOCATE|[317]|Bytes:6
16:22:33.0 (1004363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:33.0 (1009954)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:33.0 (1013363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:33.0 (1020443)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:33.0 (1025394)|STATEMENT_EXECUTE|[1]
16:22:33.0 (1031264)|STATEMENT_EXECUTE|[1]
16:22:33.0 (1052265)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:33.0 (1074515)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:33.0 (1084275)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:33.0 (1095325)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:33.0 (1105716)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:33.0 (1111876)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:33.0 (1119916)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:22:33.0 (1125876)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:22:33.0 (1129507)|STATEMENT_EXECUTE|[15]
16:22:33.0 (1135326)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:22:33.0 (1139056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:33.0 (1162166)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:33.0 (1167837)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:33.0 (1242498)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x77277d2a"}|0x110fe3d2
16:22:33.0 (1248509)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:33.0 (1394092)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:22:33.0 (1399833)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:33.0 (1667868)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000DGSk9AAH","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000DGSk9AAH","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005z6SDAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005z6SDAAY"},"CreatedDate":"2025-09-29T06:02:43.000Z","Id":"801e2000007wajpAAA","RMD_ECC_Order_ID__c":"6691206635"}]|0x725a5c4
16:22:33.0 (1688899)|HEAP_ALLOCATE|[17]|Bytes:5
16:22:33.0 (1695010)|STATEMENT_EXECUTE|[16]
16:22:33.0 (1697330)|STATEMENT_EXECUTE|[17]
16:22:33.0 (1700400)|HEAP_ALLOCATE|[17]|Bytes:18
16:22:33.0 (1744350)|HEAP_ALLOCATE|[17]|Bytes:1
16:22:33.0 (1761011)|HEAP_ALLOCATE|[17]|Bytes:19
16:22:33.0 (1783852)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:22:33.0 (1793261)|STATEMENT_EXECUTE|[18]
