60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:43.0 (150454)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:43.0 (183195)|EXECUTION_STARTED
17:08:43.0 (197755)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:43.0 (1341973)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:43.0 (1418255)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:43.0 (1436375)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:43.0 (1452075)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:43.0 (1477926)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:43.0 (1501037)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:43.0 (1506297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:43.0 (1509687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:43.0 (1519067)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:43.0 (1525127)|STATEMENT_EXECUTE|[1]
17:08:43.0 (1530917)|STATEMENT_EXECUTE|[1]
17:08:43.0 (1558048)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:43.0 (1582159)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:43.0 (1590459)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:43.0 (1599689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:43.0 (1612569)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:43.0 (1617519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:43.0 (1626160)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:43.0 (1632180)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:43.0 (1635620)|STATEMENT_EXECUTE|[15]
17:08:43.0 (1641980)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:43.0 (1645730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:43.0 (1675641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:43.0 (1682861)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:43.0 (1743352)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6b3aca45"}|0x726104f7
17:08:43.0 (1748963)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:43.0 (1879986)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:08:43.0 (1886576)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:43.0 (2335057)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002R3QWIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3QWIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H17dIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H17dIAC"},"CreatedDate":"2025-01-11T11:03:43.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrN8IAK","RMD_ECC_Order_ID__c":"Akhil1635"}]|0x7c71c0d8
17:08:43.0 (2356837)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:43.0 (2361737)|STATEMENT_EXECUTE|[16]
17:08:43.0 (2364107)|STATEMENT_EXECUTE|[17]
17:08:43.0 (2368237)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:43.0 (2417409)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:43.0 (2434269)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:43.0 (2458480)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:43.0 (2468330)|STATEMENT_EXECUTE|[18]
17:08:43.0 (2479640)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:43.0 (2527321)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:08:43.0 (2569632)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:43.0 (2609023)|HEAP_ALLOCATE|[19]|Bytes:44
17:08:43.0 (2622104)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:08:43.0 (2738326)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002R3QWIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002R3QWIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H17dIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H17dIAC"},"CreatedDate":"2025-01-11T11:03:43.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrN8IAK","RMD_ECC_Order_ID__c":"Akhil1635"}|0x4f9d50c3
17:08:43.0 (2748047)|STATEMENT_EXECUTE|[19]
17:08:43.0 (2750357)|STATEMENT_EXECUTE|[20]
17:08:43.0 (2775057)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:43.0 (2793018)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:43.0 (2805898)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:08:43.0 (2811718)|STATEMENT_EXECUTE|[23]
17:08:43.0 (2814808)|HEAP_ALLOCATE|[23]|Bytes:13
17:08:43.0 (2837619)|HEAP_ALLOCATE|[23]|Bytes:1
17:08:43.0 (2849009)|HEAP_ALLOCATE|[23]|Bytes:14
17:08:43.0 (2858229)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:08:43.0 (2865809)|STATEMENT_EXECUTE|[24]
17:08:43.0 (2880540)|HEAP_ALLOCATE|[24]|Bytes:20
17:08:43.0 (2891240)|HEAP_ALLOCATE|[24]|Bytes:33
17:08:43.0 (2899100)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HrN8IAK}
17:08:43.0 (2916161)|STATEMENT_EXECUTE|[25]
17:08:43.0 (2918351)|STATEMENT_EXECUTE|[26]
17:08:43.0 (2928711)|HEAP_ALLOCATE|[26]|Bytes:122
17:08:43.0 (2933721)|HEAP_ALLOCATE|[26]|Bytes:24
17:08:43.0 (2937741)|HEAP_ALLOCATE|[26]|Bytes:187
17:08:43.0 (2944811)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:08:43.0 (2949071)|STATEMENT_EXECUTE|[1]
17:08:43.0 (2952492)|STATEMENT_EXECUTE|[1]
17:08:43.0 (2957612)|HEAP_ALLOCATE|[26]|Bytes:5
17:08:43.0 (2961562)|STATEMENT_EXECUTE|[998]
17:08:43.0 (2963942)|STATEMENT_EXECUTE|[1015]
17:08:43.0 (2966012)|STATEMENT_EXECUTE|[1036]
17:08:43.0 (2986432)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:08:43.0 (2993913)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:08:43.0 (2999753)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:08:43.0 (3010373)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001HrN8IAK"]|0x67a17e17
17:08:43.0 (3019643)|HEAP_ALLOCATE|[59]|Bytes:5
17:08:43.0 (3024183)|STATEMENT_EXECUTE|[57]
17:08:43.0 (3026333)|STATEMENT_EXECUTE|[59]
17:08:43.0 (3030603)|HEAP_ALLOCATE|[59]|Bytes:27
17:08:43.0 (3060634)|HEAP_ALLOCATE|[59]|Bytes:96
17:08:43.0 (3066644)|HEAP_ALLOCATE|[59]|Bytes:69
17:08:43.0 (3120556)|HEAP_ALLOCATE|[59]|Bytes:33
17:08:43.0 (3129926)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:08:43.0 (3133146)|STATEMENT_EXECUTE|[1]
17:08:43.0 (3138596)|SYSTEM_METHOD_EXIT|[1]|Type
17:08:43.0 (3143896)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:43.0 (3156966)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:43.0 (3161377)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:08:43.0 (3177317)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x327009
17:08:43.0 (3182027)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:08:43.0 (3229298)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:08:43.0 (5607185)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:43.0 (5621406)|HEAP_ALLOCATE|[59]|Bytes:24
