60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:26:42.0 (140153)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:26:42.0 (203866)|EXECUTION_STARTED
16:26:42.0 (215565)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:26:42.0 (908894)|HEAP_ALLOCATE|[95]|Bytes:3
16:26:42.0 (985115)|HEAP_ALLOCATE|[100]|Bytes:152
16:26:42.0 (1003676)|HEAP_ALLOCATE|[417]|Bytes:408
16:26:42.0 (1018007)|HEAP_ALLOCATE|[430]|Bytes:408
16:26:42.0 (1041317)|HEAP_ALLOCATE|[317]|Bytes:6
16:26:42.0 (1064608)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:26:42.0 (1069987)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:26:42.0 (1073168)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:26:42.0 (1081249)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:26:42.0 (1086699)|STATEMENT_EXECUTE|[1]
16:26:42.0 (1092529)|STATEMENT_EXECUTE|[1]
16:26:42.0 (1121460)|HEAP_ALLOCATE|[68]|Bytes:5
16:26:42.0 (1146679)|HEAP_ALLOCATE|[74]|Bytes:5
16:26:42.0 (1156611)|HEAP_ALLOCATE|[82]|Bytes:7
16:26:42.0 (1168191)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:26:42.0 (1179571)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:26:42.0 (1184891)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:26:42.0 (1193462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:26:42.0 (1198972)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:26:42.0 (1202672)|STATEMENT_EXECUTE|[15]
16:26:42.0 (1208262)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:26:42.0 (1212161)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:26:42.0 (1242893)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:26:42.0 (1249073)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:26:42.0 (1306494)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x796ad0fd"}|0x161dfdae
16:26:42.0 (1312265)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:26:42.0 (1430567)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:26:42.0 (1436198)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:26:42.0 (1670104)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bivgCQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bivgCQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IRPmAAO","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IRPmAAO"},"CreatedDate":"2025-10-03T11:08:17.000Z","Id":"801e2000008IsGiAAK","RMD_ECC_Order_ID__c":"6691220546"}]|0x151c4676
16:26:42.0 (1689574)|HEAP_ALLOCATE|[17]|Bytes:5
16:26:42.0 (1696275)|STATEMENT_EXECUTE|[16]
16:26:42.0 (1698665)|STATEMENT_EXECUTE|[17]
16:26:42.0 (1702225)|HEAP_ALLOCATE|[17]|Bytes:18
16:26:42.0 (1757226)|HEAP_ALLOCATE|[17]|Bytes:1
16:26:42.0 (1773077)|HEAP_ALLOCATE|[17]|Bytes:19
16:26:42.0 (1799717)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:26:42.0 (1808017)|STATEMENT_EXECUTE|[18]
16:26:42.0 (1821368)|HEAP_ALLOCATE|[18]|Bytes:4
16:26:42.0 (1863709)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:26:42.0 (1898770)|HEAP_ALLOCATE|[19]|Bytes:5
16:26:42.0 (1934411)|HEAP_ALLOCATE|[19]|Bytes:40
16:26:42.0 (1946151)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:26:42.0 (2076164)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bivgCQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bivgCQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IRPmAAO","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IRPmAAO"},"CreatedDate":"2025-10-03T11:08:17.000Z","Id":"801e2000008IsGiAAK","RMD_ECC_Order_ID__c":"6691220546"}|0x1241ede9
16:26:42.0 (2085905)|STATEMENT_EXECUTE|[19]
16:26:42.0 (2088295)|STATEMENT_EXECUTE|[20]
16:26:42.0 (2111785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:26:42.0 (2128916)|HEAP_ALLOCATE|[19]|Bytes:5
16:26:42.0 (2143336)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:26:42.0 (2149086)|STATEMENT_EXECUTE|[23]
16:26:42.0 (2152286)|HEAP_ALLOCATE|[23]|Bytes:13
16:26:42.0 (2179217)|HEAP_ALLOCATE|[23]|Bytes:1
16:26:42.0 (2190597)|HEAP_ALLOCATE|[23]|Bytes:14
16:26:42.0 (2202368)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:26:42.0 (2209738)|STATEMENT_EXECUTE|[24]
16:26:42.0 (2225618)|HEAP_ALLOCATE|[24]|Bytes:20
16:26:42.0 (2236679)|HEAP_ALLOCATE|[24]|Bytes:33
16:26:42.0 (2245039)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008IsGiAAK}
16:26:42.0 (2264039)|STATEMENT_EXECUTE|[25]
16:26:42.0 (2266209)|STATEMENT_EXECUTE|[26]
16:26:42.0 (2276070)|HEAP_ALLOCATE|[26]|Bytes:122
16:26:42.0 (2280820)|HEAP_ALLOCATE|[26]|Bytes:24
16:26:42.0 (2283900)|HEAP_ALLOCATE|[26]|Bytes:187
16:26:42.0 (2291470)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:26:42.0 (2295670)|STATEMENT_EXECUTE|[1]
16:26:42.0 (2298840)|STATEMENT_EXECUTE|[1]
16:26:42.0 (2304010)|HEAP_ALLOCATE|[26]|Bytes:5
16:26:42.0 (2307980)|STATEMENT_EXECUTE|[998]
16:26:42.0 (2310611)|STATEMENT_EXECUTE|[1015]
16:26:42.0 (2312681)|STATEMENT_EXECUTE|[1036]
16:26:42.0 (2318951)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:26:42.0 (2326711)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:26:42.0 (2332911)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:26:42.0 (2343091)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008IsGiAAK"]|0x6869ff0c
16:26:42.0 (2351702)|HEAP_ALLOCATE|[59]|Bytes:5
16:26:42.0 (2356892)|STATEMENT_EXECUTE|[57]
16:26:42.0 (2359032)|STATEMENT_EXECUTE|[59]
16:26:42.0 (2362392)|HEAP_ALLOCATE|[59]|Bytes:27
16:26:42.0 (2395623)|HEAP_ALLOCATE|[59]|Bytes:96
16:26:42.0 (2401373)|HEAP_ALLOCATE|[59]|Bytes:69
16:26:42.0 (2453754)|HEAP_ALLOCATE|[59]|Bytes:33
16:26:42.0 (2462335)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:26:42.0 (2466525)|STATEMENT_EXECUTE|[1]
16:26:42.0 (2471555)|SYSTEM_METHOD_EXIT|[1]|Type
16:26:42.0 (2476695)|HEAP_ALLOCATE|[59]|Bytes:8
16:26:42.0 (2489525)|HEAP_ALLOCATE|[59]|Bytes:8
16:26:42.0 (2494905)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:26:42.0 (2510306)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3269734a
16:26:42.0 (2515046)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:26:42.0 (2568607)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x264fd2b2
16:26:42.0 (4022266)|HEAP_ALLOCATE|[59]|Bytes:8
16:26:42.0 (4036915)|HEAP_ALLOCATE|[59]|Bytes:24
16:26:42.0 (4043297)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:26:42.0 (4046947)|STATEMENT_EXECUTE|[1]
16:26:42.0 (4052236)|SYSTEM_METHOD_EXIT|[1]|JSON
16:26:42.0 (4060836)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:26:42.0 (4352655)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:26:42.0 (4362245)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:26:42.0 (4386596)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x86cf533
16:26:42.0 (4392596)|HEAP_ALLOCATE|[60]|Bytes:9
16:26:42.0 (4412436)|STATEMENT_EXECUTE|[60]
16:26:42.0 (4414926)|STATEMENT_EXECUTE|[67]
16:26:42.0 (4416966)|STATEMENT_EXECUTE|[67]
16:26:42.0 (4419056)|STATEMENT_EXECUTE|[68]
16:26:42.0 (4444257)|HEAP_ALLOCATE|[68]|Bytes:4
16:26:42.0 (4474338)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:26:42.0 (4486748)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x40868480
16:26:42.0 (4490938)|STATEMENT_EXECUTE|[70]
16:26:42.0 (4501358)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:26:42.0 (4506789)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:26:42.0 (4511459)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:26:42.0 (4516559)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:26:42.0 (4521319)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:26:42.0 (4525959)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:26:42.0 (4533669)|HEAP_ALLOCATE|[70]|Bytes:150
16:26:42.0 (4538519)|HEAP_ALLOCATE|[70]|Bytes:51
16:26:42.0 (4542320)|HEAP_ALLOCATE|[70]|Bytes:13
16:26:42.0 (4551640)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:26:42.0 (4556230)|HEAP_ALLOCATE|[70]|Bytes:7
16:26:42.0 (4562140)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:26:42.0 (4592931)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:26:42.0 (4597691)|STATEMENT_EXECUTE|[6]
16:26:42.0 (4600921)|STATEMENT_EXECUTE|[6]
16:26:42.0 (5449503)|SYSTEM_MODE_ENTER|false
16:26:42.0 (5460213)|HEAP_ALLOCATE|[7]|Bytes:5
16:26:42.0 (5465965)|STATEMENT_EXECUTE|[7]
16:26:42.0 (5469664)|HEAP_ALLOCATE|[7]|Bytes:12
16:26:42.0 (5494174)|HEAP_ALLOCATE|[7]|Bytes:68
16:26:42.0 (5512555)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:26:42.0 (5517625)|STATEMENT_EXECUTE|[9]
16:26:42.0 (5522275)|HEAP_ALLOCATE|[9]|Bytes:5
