60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:28.0 (180026)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:10:28.0 (248218)|EXECUTION_STARTED
17:10:28.0 (261168)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:10:28.0 (1606278)|HEAP_ALLOCATE|[95]|Bytes:3
17:10:28.0 (1694040)|HEAP_ALLOCATE|[100]|Bytes:152
17:10:28.0 (1711302)|HEAP_ALLOCATE|[417]|Bytes:408
17:10:28.0 (1726952)|HEAP_ALLOCATE|[430]|Bytes:408
17:10:28.0 (1752593)|HEAP_ALLOCATE|[317]|Bytes:6
17:10:28.0 (1776744)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:28.0 (1782464)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:10:28.0 (1785784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:10:28.0 (1795034)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:10:28.0 (1800613)|STATEMENT_EXECUTE|[1]
17:10:28.0 (1806785)|STATEMENT_EXECUTE|[1]
17:10:28.0 (1837364)|HEAP_ALLOCATE|[68]|Bytes:5
17:10:28.0 (1937278)|HEAP_ALLOCATE|[74]|Bytes:5
17:10:28.0 (1954088)|HEAP_ALLOCATE|[82]|Bytes:7
17:10:28.0 (1968199)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:10:28.0 (1984769)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:10:28.0 (1992129)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:28.0 (2004680)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:10:28.0 (2014241)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:10:28.0 (2018980)|STATEMENT_EXECUTE|[15]
17:10:28.0 (2026980)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:10:28.0 (2032231)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:28.0 (2068272)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:28.0 (2077883)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:10:28.0 (2165095)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x163d2a33"}|0x6582ac98
17:10:28.0 (2173135)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:10:28.0 (2363561)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0xa7052eb
17:10:28.0 (2373021)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:10:28.0 (3050321)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002RC48IAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RC48IAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HYgEIAW","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HYgEIAW"},"CreatedDate":"2025-01-27T09:08:45.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICtRIAW","RMD_ECC_Order_ID__c":"Akhil1643"}]|0x35eb3460
17:10:28.0 (3077922)|HEAP_ALLOCATE|[17]|Bytes:5
17:10:28.0 (3083672)|STATEMENT_EXECUTE|[16]
17:10:28.0 (3086042)|STATEMENT_EXECUTE|[17]
17:10:28.0 (3089392)|HEAP_ALLOCATE|[17]|Bytes:18
17:10:28.0 (3149114)|HEAP_ALLOCATE|[17]|Bytes:1
17:10:28.0 (3166915)|HEAP_ALLOCATE|[17]|Bytes:19
17:10:28.0 (3192515)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:10:28.0 (3201796)|STATEMENT_EXECUTE|[18]
17:10:28.0 (3216346)|HEAP_ALLOCATE|[18]|Bytes:4
17:10:28.0 (3260657)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x6582ac98
17:10:28.0 (3295608)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:28.0 (3334119)|HEAP_ALLOCATE|[19]|Bytes:44
17:10:28.0 (3346030)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:10:28.0 (3484594)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002RC48IAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RC48IAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HYgEIAW","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HYgEIAW"},"CreatedDate":"2025-01-27T09:08:45.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICtRIAW","RMD_ECC_Order_ID__c":"Akhil1643"}|0xf6d21da
17:10:28.0 (3494284)|STATEMENT_EXECUTE|[19]
17:10:28.0 (3496434)|STATEMENT_EXECUTE|[20]
17:10:28.0 (3522435)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:10:28.0 (3539946)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:28.0 (3553896)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:10:28.0 (3558716)|STATEMENT_EXECUTE|[23]
17:10:28.0 (3561626)|HEAP_ALLOCATE|[23]|Bytes:13
17:10:28.0 (3583017)|HEAP_ALLOCATE|[23]|Bytes:1
17:10:28.0 (3594287)|HEAP_ALLOCATE|[23]|Bytes:14
17:10:28.0 (3605017)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:10:28.0 (3612698)|STATEMENT_EXECUTE|[24]
17:10:28.0 (3627478)|HEAP_ALLOCATE|[24]|Bytes:20
17:10:28.0 (3638858)|HEAP_ALLOCATE|[24]|Bytes:33
17:10:28.0 (3648139)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001ICtRIAW}
17:10:28.0 (3666289)|STATEMENT_EXECUTE|[25]
17:10:28.0 (3668409)|STATEMENT_EXECUTE|[26]
17:10:28.0 (3678910)|HEAP_ALLOCATE|[26]|Bytes:122
17:10:28.0 (3683660)|HEAP_ALLOCATE|[26]|Bytes:24
17:10:28.0 (3687010)|HEAP_ALLOCATE|[26]|Bytes:187
17:10:28.0 (3693940)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:10:28.0 (3698740)|STATEMENT_EXECUTE|[1]
17:10:28.0 (3701950)|STATEMENT_EXECUTE|[1]
17:10:28.0 (3707870)|HEAP_ALLOCATE|[26]|Bytes:5
17:10:28.0 (3711981)|STATEMENT_EXECUTE|[998]
17:10:28.0 (3714221)|STATEMENT_EXECUTE|[1015]
17:10:28.0 (3716331)|STATEMENT_EXECUTE|[1036]
17:10:28.0 (3743982)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:10:28.0 (3751732)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:10:28.0 (3756662)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
